file,candidate_cloned,percent,numCands,ff
Ward2-Leven_west dunbartonshire2022ward 2.csv,none,0,8,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Ronnie MCCOLL (SNP)'}),0.0,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Sian WILKIE (Ind)'}),0.0,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Michelle Marie MCGINTY (Lab)'}),0.0,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Paula BAKER (Grn)'}),0.0,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Ian DICKSON (SNP)'}),0.0,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'John Kelly MILLAR (Lab)'}),0.0,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Jim BOLLAN (WDuns)'}),0.0,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Matthew DILLON (Con)'}),0.0,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Ronnie MCCOLL (SNP)'}),0.1,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Sian WILKIE (Ind)'}),0.1,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Michelle Marie MCGINTY (Lab)'}),0.1,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Paula BAKER (Grn)'}),0.1,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Ian DICKSON (SNP)'}),0.1,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'John Kelly MILLAR (Lab)'}),0.1,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Jim BOLLAN (WDuns)'}),0.1,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Matthew DILLON (Con)'}),0.1,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Ronnie MCCOLL (SNP)'}),0.2,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Sian WILKIE (Ind)'}),0.2,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Michelle Marie MCGINTY (Lab)'}),0.2,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Paula BAKER (Grn)'}),0.2,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Ian DICKSON (SNP)'}),0.2,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'John Kelly MILLAR (Lab)'}),0.2,9,['Ian DICKSON (SNP)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Jim BOLLAN (WDuns)'}),0.2,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Matthew DILLON (Con)'}),0.2,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Ronnie MCCOLL (SNP)'}),0.3,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Sian WILKIE (Ind)'}),0.3,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Michelle Marie MCGINTY (Lab)'}),0.3,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Paula BAKER (Grn)'}),0.3,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Ian DICKSON (SNP)'}),0.3,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'John Kelly MILLAR (Lab)'}),0.3,9,['Clone']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Jim BOLLAN (WDuns)'}),0.3,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Matthew DILLON (Con)'}),0.3,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Ronnie MCCOLL (SNP)'}),0.4,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Sian WILKIE (Ind)'}),0.4,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Michelle Marie MCGINTY (Lab)'}),0.4,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Paula BAKER (Grn)'}),0.4,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Ian DICKSON (SNP)'}),0.4,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'John Kelly MILLAR (Lab)'}),0.4,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Jim BOLLAN (WDuns)'}),0.4,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Matthew DILLON (Con)'}),0.4,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Ronnie MCCOLL (SNP)'}),0.5,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Sian WILKIE (Ind)'}),0.5,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Michelle Marie MCGINTY (Lab)'}),0.5,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Paula BAKER (Grn)'}),0.5,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Ian DICKSON (SNP)'}),0.5,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'John Kelly MILLAR (Lab)'}),0.5,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Jim BOLLAN (WDuns)'}),0.5,9,['John Kelly MILLAR (Lab)']
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Matthew DILLON (Con)'}),0.5,9,['John Kelly MILLAR (Lab)']
govan_govan.csv,none,0,11,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 7: Will Jess (Grn)'}),0.0,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 8: Irene Lang (Sol)'}),0.0,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 1: Shaukat Butt (Lab)'}),0.0,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 10: George Douglas Mcnee (Ind)'}),0.0,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 5: Alan L Hughes (SU)'}),0.0,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 11: Carolina Perez (Soc)'}),0.0,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 2: Michael Cobley (LD)'}),0.0,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 6: Allison Hunter (SNP)'}),0.0,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 3: Stephen Dornan (Lab)'}),0.0,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 4: John Flanagan (Lab)'}),0.0,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 9: Patricia Mcintyre (Con)'}),0.0,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 7: Will Jess (Grn)'}),0.1,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 8: Irene Lang (Sol)'}),0.1,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 1: Shaukat Butt (Lab)'}),0.1,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 10: George Douglas Mcnee (Ind)'}),0.1,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 5: Alan L Hughes (SU)'}),0.1,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 11: Carolina Perez (Soc)'}),0.1,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 2: Michael Cobley (LD)'}),0.1,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 6: Allison Hunter (SNP)'}),0.1,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 3: Stephen Dornan (Lab)'}),0.1,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 4: John Flanagan (Lab)'}),0.1,12,['Clone']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 9: Patricia Mcintyre (Con)'}),0.1,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 7: Will Jess (Grn)'}),0.2,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 8: Irene Lang (Sol)'}),0.2,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 1: Shaukat Butt (Lab)'}),0.2,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 10: George Douglas Mcnee (Ind)'}),0.2,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 5: Alan L Hughes (SU)'}),0.2,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 11: Carolina Perez (Soc)'}),0.2,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 2: Michael Cobley (LD)'}),0.2,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 6: Allison Hunter (SNP)'}),0.2,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 3: Stephen Dornan (Lab)'}),0.2,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 4: John Flanagan (Lab)'}),0.2,12,['Clone']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 9: Patricia Mcintyre (Con)'}),0.2,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 7: Will Jess (Grn)'}),0.3,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 8: Irene Lang (Sol)'}),0.3,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 1: Shaukat Butt (Lab)'}),0.3,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 10: George Douglas Mcnee (Ind)'}),0.3,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 5: Alan L Hughes (SU)'}),0.3,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 11: Carolina Perez (Soc)'}),0.3,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 2: Michael Cobley (LD)'}),0.3,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 6: Allison Hunter (SNP)'}),0.3,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 3: Stephen Dornan (Lab)'}),0.3,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 4: John Flanagan (Lab)'}),0.3,12,['Clone']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 9: Patricia Mcintyre (Con)'}),0.3,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 7: Will Jess (Grn)'}),0.4,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 8: Irene Lang (Sol)'}),0.4,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 1: Shaukat Butt (Lab)'}),0.4,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 10: George Douglas Mcnee (Ind)'}),0.4,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 5: Alan L Hughes (SU)'}),0.4,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 11: Carolina Perez (Soc)'}),0.4,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 2: Michael Cobley (LD)'}),0.4,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 6: Allison Hunter (SNP)'}),0.4,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 3: Stephen Dornan (Lab)'}),0.4,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 4: John Flanagan (Lab)'}),0.4,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 9: Patricia Mcintyre (Con)'}),0.4,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 7: Will Jess (Grn)'}),0.5,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 8: Irene Lang (Sol)'}),0.5,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 1: Shaukat Butt (Lab)'}),0.5,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 10: George Douglas Mcnee (Ind)'}),0.5,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 5: Alan L Hughes (SU)'}),0.5,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 11: Carolina Perez (Soc)'}),0.5,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 2: Michael Cobley (LD)'}),0.5,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 6: Allison Hunter (SNP)'}),0.5,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 3: Stephen Dornan (Lab)'}),0.5,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 4: John Flanagan (Lab)'}),0.5,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
govan_govan.csv,frozenset({'# ALTERNATIVE NAME 9: Patricia Mcintyre (Con)'}),0.5,12,['# ALTERNATIVE NAME 4: John Flanagan (Lab)']
GlenrothesCentralAndThorntonWard_fife12-16.csv,none,0,7,['Ian SLOAN (Lab)']
GlenrothesCentralAndThorntonWard_fife12-16.csv,frozenset({'Brian MILLS (Con)'}),0.0,8,['Ian SLOAN (Lab)']
GlenrothesCentralAndThorntonWard_fife12-16.csv,frozenset({'Vikki WILTON (SNP)'}),0.0,8,['Ian SLOAN (Lab)']
GlenrothesCentralAndThorntonWard_fife12-16.csv,frozenset({'Jim BENVIE (SSC)'}),0.0,8,['Ian SLOAN (Lab)']
GlenrothesCentralAndThorntonWard_fife12-16.csv,frozenset({'Ross VETTRAINO (SNP)'}),0.0,8,['Ian SLOAN (Lab)']
GlenrothesCentralAndThorntonWard_fife12-16.csv,frozenset({'Jane KERR (LD)'}),0.0,8,['Ian SLOAN (Lab)']
GlenrothesCentralAndThorntonWard_fife12-16.csv,frozenset({'Ian CRICHTON (Lab)'}),0.0,8,['Ian SLOAN (Lab)']
GlenrothesCentralAndThorntonWard_fife12-16.csv,frozenset({'Ian SLOAN (Lab)'}),0.0,8,['Ian SLOAN (Lab)']
GlenrothesCentralAndThorntonWard_fife12-16.csv,frozenset({'Brian MILLS (Con)'}),0.1,8,['Ian SLOAN (Lab)']
GlenrothesCentralAndThorntonWard_fife12-16.csv,frozenset({'Vikki WILTON (SNP)'}),0.1,8,['Ian SLOAN (Lab)']
GlenrothesCentralAndThorntonWard_fife12-16.csv,frozenset({'Jim BENVIE (SSC)'}),0.1,8,['Ian SLOAN (Lab)']
GlenrothesCentralAndThorntonWard_fife12-16.csv,frozenset({'Ross VETTRAINO (SNP)'}),0.1,8,['Ian SLOAN (Lab)']
GlenrothesCentralAndThorntonWard_fife12-16.csv,frozenset({'Jane KERR (LD)'}),0.1,8,['Ian SLOAN (Lab)']
GlenrothesCentralAndThorntonWard_fife12-16.csv,frozenset({'Ian CRICHTON (Lab)'}),0.1,8,['Ian SLOAN (Lab)']
GlenrothesCentralAndThorntonWard_fife12-16.csv,frozenset({'Ian SLOAN (Lab)'}),0.1,8,['Ross VETTRAINO (SNP)']
GlenrothesCentralAndThorntonWard_fife12-16.csv,frozenset({'Brian MILLS (Con)'}),0.2,8,['Ian SLOAN (Lab)']
GlenrothesCentralAndThorntonWard_fife12-16.csv,frozenset({'Vikki WILTON (SNP)'}),0.2,8,['Ian SLOAN (Lab)']
GlenrothesCentralAndThorntonWard_fife12-16.csv,frozenset({'Jim BENVIE (SSC)'}),0.2,8,['Ian SLOAN (Lab)']
GlenrothesCentralAndThorntonWard_fife12-16.csv,frozenset({'Ross VETTRAINO (SNP)'}),0.2,8,['Ian SLOAN (Lab)']
GlenrothesCentralAndThorntonWard_fife12-16.csv,frozenset({'Jane KERR (LD)'}),0.2,8,['Ian SLOAN (Lab)']
GlenrothesCentralAndThorntonWard_fife12-16.csv,frozenset({'Ian CRICHTON (Lab)'}),0.2,8,['Ian SLOAN (Lab)']
GlenrothesCentralAndThorntonWard_fife12-16.csv,frozenset({'Ian SLOAN (Lab)'}),0.2,8,['Ross VETTRAINO (SNP)']
GlenrothesCentralAndThorntonWard_fife12-16.csv,frozenset({'Brian MILLS (Con)'}),0.3,8,['Ian SLOAN (Lab)']
GlenrothesCentralAndThorntonWard_fife12-16.csv,frozenset({'Vikki WILTON (SNP)'}),0.3,8,['Ian SLOAN (Lab)']
GlenrothesCentralAndThorntonWard_fife12-16.csv,frozenset({'Jim BENVIE (SSC)'}),0.3,8,['Ian SLOAN (Lab)']
GlenrothesCentralAndThorntonWard_fife12-16.csv,frozenset({'Ross VETTRAINO (SNP)'}),0.3,8,['Ian SLOAN (Lab)']
GlenrothesCentralAndThorntonWard_fife12-16.csv,frozenset({'Jane KERR (LD)'}),0.3,8,['Ian SLOAN (Lab)']
GlenrothesCentralAndThorntonWard_fife12-16.csv,frozenset({'Ian CRICHTON (Lab)'}),0.3,8,['Ian SLOAN (Lab)']
GlenrothesCentralAndThorntonWard_fife12-16.csv,frozenset({'Ian SLOAN (Lab)'}),0.3,8,['Ross VETTRAINO (SNP)']
GlenrothesCentralAndThorntonWard_fife12-16.csv,frozenset({'Brian MILLS (Con)'}),0.4,8,['Ian SLOAN (Lab)']
GlenrothesCentralAndThorntonWard_fife12-16.csv,frozenset({'Vikki WILTON (SNP)'}),0.4,8,['Ian SLOAN (Lab)']
GlenrothesCentralAndThorntonWard_fife12-16.csv,frozenset({'Jim BENVIE (SSC)'}),0.4,8,['Ian SLOAN (Lab)']
GlenrothesCentralAndThorntonWard_fife12-16.csv,frozenset({'Ross VETTRAINO (SNP)'}),0.4,8,['Ian SLOAN (Lab)']
GlenrothesCentralAndThorntonWard_fife12-16.csv,frozenset({'Jane KERR (LD)'}),0.4,8,['Ian SLOAN (Lab)']
GlenrothesCentralAndThorntonWard_fife12-16.csv,frozenset({'Ian CRICHTON (Lab)'}),0.4,8,['Ian SLOAN (Lab)']
GlenrothesCentralAndThorntonWard_fife12-16.csv,frozenset({'Ian SLOAN (Lab)'}),0.4,8,['Clone']
GlenrothesCentralAndThorntonWard_fife12-16.csv,frozenset({'Brian MILLS (Con)'}),0.5,8,['Ian SLOAN (Lab)']
GlenrothesCentralAndThorntonWard_fife12-16.csv,frozenset({'Vikki WILTON (SNP)'}),0.5,8,['Ian SLOAN (Lab)']
GlenrothesCentralAndThorntonWard_fife12-16.csv,frozenset({'Jim BENVIE (SSC)'}),0.5,8,['Ian SLOAN (Lab)']
GlenrothesCentralAndThorntonWard_fife12-16.csv,frozenset({'Ross VETTRAINO (SNP)'}),0.5,8,['Ian SLOAN (Lab)']
