file,method,candidate_cloned,percent,baseline_winner,new_winner
Cambridge_11062007_SchoolCommittee.csv,AVG,McGovern Marc C.,0.1,McGovern Marc C.,Clone
Cambridge_11082005_SchoolCommittee.csv,AVG,Walser Nancy,0.1,Walser Nancy,Clone
Cambridge_11082005_SchoolCommittee.csv,AVG,Walser Nancy,0.1,Walser Nancy,Clone
LasCruces_11052019_MAYORCITYOFLASCRUCES.csv,AVG,KEN MIYAGISHIMA,0.1,KEN MIYAGISHIMA,Clone
Lehi_11022021_CityCouncil.csv,AVG,CHRIS CONDIE,0.1,CHRIS CONDIE,Clone
Lehi_11022021_CityCouncil.csv,AVG,CHRIS CONDIE,0.2,CHRIS CONDIE,Clone
NewYorkCity_06222021_DEMCouncilMember15thCouncilDistrict.csv,AVG,Oswald Feliz,0.4,Oswald Feliz,Clone
NewYorkCity_06222021_DEMCouncilMember18thCouncilDistrict.csv,AVG,Amanda Farias,0.4,Amanda Farias,Clone
NewYorkCity_06222021_DEMCouncilMember1stCouncilDistrict.csv,AVG,Christopher Marte,0.4,Christopher Marte,Clone
NewYorkCity_06222021_DEMCouncilMember20thCouncilDistrict.csv,AVG,Sandra Ung,0.4,Sandra Ung,Clone
NewYorkCity_06222021_DEMCouncilMember25thCouncilDistrict.csv,AVG,Shekar Krishnan,0.4,Shekar Krishnan,Clone
NewYorkCity_06222021_DEMCouncilMember46thCouncilDistrict.csv,AVG,Mercedes Narcisse,0.4,Mercedes Narcisse,Clone
NewYorkCity_06222021_DEMCouncilMember49thCouncilDistrict.csv,AVG,Kamillah Hanks,0.3,Kamillah Hanks,Clone
NewYorkCity_06222021_DEMCouncilMember49thCouncilDistrict.csv,AVG,Kamillah Hanks,0.4,Kamillah Hanks,Clone
Portland_06082021_charter_commission_at_large.csv,AVG,Chann Marpheen S.,0.1,Chann Marpheen S.,Clone
Portland_06142022_SchoolboardAL-1.csv,AVG,Lentz Sarah M.,0.4,Lentz Sarah M.,Clone
Springville_11022021_CityCouncil4yr.csv,AVG,MICHAEL SNELSON,0.3,MICHAEL SNELSON,Clone
Springville_11022021_CityCouncil4yr.csv,AVG,MICHAEL SNELSON,0.4,MICHAEL SNELSON,Clone
Vineyard_11052019_CityCouncil.csv,AVG,CRISTY WELSH,0.1,CRISTY WELSH,Clone
Vineyard_11052019_CityCouncil.csv,AVG,CRISTY WELSH,0.2,CRISTY WELSH,Clone
Vineyard_11052019_CityCouncil.csv,AVG,CRISTY WELSH,0.3,CRISTY WELSH,Clone
Vineyard_11052019_CityCouncil.csv,AVG,CRISTY WELSH,0.4,CRISTY WELSH,Clone
APA 1999.csv,OM,Cand 2,0.5,Cand 3,Clone
APA 2005.csv,OM,Cand 0,0.5,Cand 1,Clone
APA 2007.csv,OM,Cand 2,0.5,Cand 1,Clone
APA 2009.csv,OM,Cand 0,0.5,Cand 4,Clone
APA 2009.csv,OM,Cand 2,0.5,Cand 4,Cand 0
APA 2018 BOD race2.csv,OM,Kim E. Dixon PhD,0.5,Shannon L. Wiltsey Stirman PhD,Clone
APA 2020 BOD race2.csv,OM,Erica H. Wise PhD,0.5,M. Lynne Cooper PhD,Clone
Alaska_08162022_HouseofRepresentativesSpecial.csv,OM,Peltola Mary S.,0.4,Begich Nick,Peltola Mary S.
Alaska_08162022_HouseofRepresentativesSpecial.csv,OM,Peltola Mary S.,0.5,Begich Nick,Clone
Alaska_11052024_StateHouseD11.csv,OM,Featherly Walter T.,0.3,Coulombe Julie,Featherly Walter T.
Alaska_11052024_StateHouseD11.csv,OM,Featherly Walter T.,0.4,Coulombe Julie,Featherly Walter T.
Alaska_11052024_StateHouseD11.csv,OM,Featherly Walter T.,0.5,Coulombe Julie,Clone
Alaska_11052024_StateHouseD13.csv,OM,Gottshall Heather,0.4,Josephson Andrew L. Andy,Gottshall Heather
Alaska_11052024_StateHouseD13.csv,OM,Gottshall Heather,0.5,Josephson Andrew L. Andy,Gottshall Heather
Alaska_11052024_StateHouseD13.csv,OM,Gottshall Heather,0.5,Josephson Andrew L. Andy,Gottshall Heather
Alaska_11052024_StateHouseD13.csv,OM,Gottshall Heather,0.5,Josephson Andrew L. Andy,Gottshall Heather
Alaska_11052024_StateHouseD13.csv,OM,Gottshall Heather,0.5,Josephson Andrew L. Andy,Gottshall Heather
Alaska_11052024_StateHouseD13.csv,OM,Gottshall Heather,0.5,Josephson Andrew L. Andy,Clone
Alaska_11052024_StateHouseD13.csv,OM,Gottshall Heather,0.5,Josephson Andrew L. Andy,Clone
Alaska_11052024_StateHouseD13.csv,OM,Gottshall Heather,0.5,Josephson Andrew L. Andy,Clone
Alaska_11052024_StateHouseD13.csv,OM,Gottshall Heather,0.5,Josephson Andrew L. Andy,Clone
