file,first_flip_percent,method
City_of_Orange-mayoral-finalpreferencedatafile,0.4,AVG
Eurobodalla-mayoral-finalpreferencedatafile,0.4,AVG
Port_Stephens-mayoral-finalpreferencedatafile,0.1,OM
SGE2019 LA Pref Data East Hills,0.1,OM
City_of_Orange-mayoral-finalpreferencedatafile,0.2,OM
Kempsey-mayoral-finalpreferencedatafile,0.2,OM
SG2301 LA Pref Data Ryde,0.2,OM
SGE2015 LA Pref Data_NA_East Hills,0.2,OM
City_of_Liverpool-mayoral-finalpreferencedatafile,0.3,OM
City_of_Maitland-mayoral-finalpreferencedatafile,0.3,OM
City_of_Shellharbour-mayoral-finalpreferencedatafile,0.3,OM
City_of_Shoalhaven-mayoral-finalpreferencedatafile,0.3,OM
City_of_Wollongong-mayoral-finalpreferencedatafile,0.3,OM
SB2201 LA Pref Data_NA_Willoughby,0.3,OM
SG2301 LA Pref Data Drummoyne,0.3,OM
SG2301 LA Pref Data Goulburn,0.3,OM
SG2301 LA Pref Data Holsworthy,0.3,OM
SG2301 LA Pref Data Kiama,0.3,OM
SG2301 LA Pref Data Lane Cove,0.3,OM
SG2301 LA Pref Data Miranda,0.3,OM
SG2301 LA Pref Data Monaro,0.3,OM
SG2301 LA Pref Data Oatley,0.3,OM
SG2301 LA Pref Data Penrith,0.3,OM
SG2301 LA Pref Data Pittwater,0.3,OM
SG2301 LA Pref Data Terrigal,0.3,OM
SG2301 LA Pref Data Tweed,0.3,OM
SG2301 LA Pref Data Winston Hills,0.3,OM
SGE2015 LA Pref Data_NA_Coogee,0.3,OM
SGE2015 LA Pref Data_NA_Monaro,0.3,OM
SGE2015 LA Pref Data_NA_Tweed,0.3,OM
SGE2015 LA Pref Data_NA_Upper Hunter,0.3,OM
SGE2019 LA Pref Data Dubbo,0.3,OM
SGE2019 LA Pref Data Goulburn,0.3,OM
SGE2019 LA Pref Data Holsworthy,0.3,OM
SGE2019 LA Pref Data Kogarah,0.3,OM
Eurobodalla-mayoral-finalpreferencedatafile,0.4,OM
Hornsby-mayoral-finalpreferencedatafile,0.4,OM
SB1702 LA Pref Data_NA_Murray,0.4,OM
SB2201 LA Pref Data_NA_Bega,0.4,OM
SB2201 LA Pref Data_NA_Monaro,0.4,OM
SG2301 LA Pref Data Camden,0.4,OM
SG2301 LA Pref Data Epping,0.4,OM
SG2301 LA Pref Data Manly,0.4,OM
SG2301 LA Pref Data North Shore,0.4,OM
SG2301 LA Pref Data South Coast,0.4,OM
SG2301 LA Pref Data Willoughby,0.4,OM
SGE2015 LA Pref Data_NA_Gosford,0.4,OM
SGE2015 LA Pref Data_NA_Granville,0.4,OM
SGE2015 LA Pref Data_NA_Rockdale,0.4,OM
SGE2015 LA Pref Data_NA_Strathfield,0.4,OM
SGE2015 LA Pref Data_NA_The Entrance,0.4,OM
SGE2019 LA Pref Data Heathcote,0.4,OM
SGE2019 LA Pref Data Tweed,0.4,OM
Wollondilly-mayoral-finalpreferencedatafile,0.4,OM
City_of_Willoughby-mayoral-finalpreferencedatafile,0.5,OM
Hunters_Hill-mayoral-finalpreferencedatafile,0.5,OM
SG2301 LA Pref Data Balmain,0.5,OM
SG2301 LA Pref Data East Hills,0.5,OM
SG2301 LA Pref Data Riverstone,0.5,OM
SG2301 LA Pref Data Wollondilly,0.5,OM
SGE2015 LA Pref Data_NA_Auburn,0.5,OM
SGE2015 LA Pref Data_NA_Goulburn,0.5,OM
SGE2015 LA Pref Data_NA_Heathcote,0.5,OM
SGE2015 LA Pref Data_NA_Holsworthy,0.5,OM
SGE2015 LA Pref Data_NA_Kogarah,0.5,OM
SGE2015 LA Pref Data_NA_Lismore,0.5,OM
SGE2015 LA Pref Data_NA_Oatley,0.5,OM
SGE2015 LA Pref Data_NA_Prospect,0.5,OM
SGE2019 LA Pref Data Bega,0.5,OM
SGE2019 LA Pref Data Londonderry,0.5,OM
SGE2019 LA Pref Data Port Stephens,0.5,OM
SGE2019 LA Pref Data Riverstone,0.5,OM
SGE2019 LA Pref Data Seven Hills,0.5,OM
Singleton-mayoral-finalpreferencedatafile,0.5,OM
City_of_Orange-mayoral-finalpreferencedatafile,0.4,PM
Eurobodalla-mayoral-finalpreferencedatafile,0.4,PM
