file,percent,rows,all_agree_pct,om_avg_agree_pct,om_pm_agree_pct,avg_pm_agree_pct
Ballina-mayoral-finalpreferencedatafile 1,0.0,6,100.0,100.0,100.0,100.0
Ballina-mayoral-finalpreferencedatafile 1,0.1,5,100.0,100.0,100.0,100.0
Ballina-mayoral-finalpreferencedatafile 1,0.2,5,100.0,100.0,100.0,100.0
Ballina-mayoral-finalpreferencedatafile 1,0.3,5,100.0,100.0,100.0,100.0
Ballina-mayoral-finalpreferencedatafile 1,0.4,5,100.0,100.0,100.0,100.0
Ballina-mayoral-finalpreferencedatafile 1,0.5,4,100.0,100.0,100.0,100.0
Bellingen-mayoral-finalpreferencedatafile 1,0.0,4,100.0,100.0,100.0,100.0
Bellingen-mayoral-finalpreferencedatafile 1,0.1,3,100.0,100.0,100.0,100.0
Bellingen-mayoral-finalpreferencedatafile 1,0.2,3,100.0,100.0,100.0,100.0
Bellingen-mayoral-finalpreferencedatafile 1,0.3,3,100.0,100.0,100.0,100.0
Bellingen-mayoral-finalpreferencedatafile 1,0.4,3,100.0,100.0,100.0,100.0
Bellingen-mayoral-finalpreferencedatafile 1,0.5,2,100.0,100.0,100.0,100.0
Burwood-mayoral-finalpreferencedatafile,0.0,5,100.0,100.0,100.0,100.0
Burwood-mayoral-finalpreferencedatafile,0.1,4,100.0,100.0,100.0,100.0
Burwood-mayoral-finalpreferencedatafile,0.2,4,100.0,100.0,100.0,100.0
Burwood-mayoral-finalpreferencedatafile,0.3,4,100.0,100.0,100.0,100.0
Burwood-mayoral-finalpreferencedatafile,0.4,4,100.0,100.0,100.0,100.0
Burwood-mayoral-finalpreferencedatafile,0.5,3,100.0,100.0,100.0,100.0
City_of_Broken_Hill-mayoral-finalpreferencedatafile,0.0,4,100.0,100.0,100.0,100.0
City_of_Broken_Hill-mayoral-finalpreferencedatafile,0.1,3,100.0,100.0,100.0,100.0
City_of_Broken_Hill-mayoral-finalpreferencedatafile,0.2,3,100.0,100.0,100.0,100.0
City_of_Broken_Hill-mayoral-finalpreferencedatafile,0.3,3,100.0,100.0,100.0,100.0
City_of_Broken_Hill-mayoral-finalpreferencedatafile,0.4,3,100.0,100.0,100.0,100.0
City_of_Broken_Hill-mayoral-finalpreferencedatafile,0.5,2,100.0,100.0,100.0,100.0
City_of_Cessnock-mayoral-finalpreferencedatafile,0.0,5,100.0,100.0,100.0,100.0
City_of_Cessnock-mayoral-finalpreferencedatafile,0.1,4,100.0,100.0,100.0,100.0
City_of_Cessnock-mayoral-finalpreferencedatafile,0.2,4,100.0,100.0,100.0,100.0
City_of_Cessnock-mayoral-finalpreferencedatafile,0.3,4,100.0,100.0,100.0,100.0
City_of_Cessnock-mayoral-finalpreferencedatafile,0.4,4,100.0,100.0,100.0,100.0
City_of_Cessnock-mayoral-finalpreferencedatafile,0.5,3,100.0,100.0,100.0,100.0
City_of_Griffith-mayoral-finalpreferencedatafile,0.0,6,100.0,100.0,100.0,100.0
City_of_Griffith-mayoral-finalpreferencedatafile,0.1,5,100.0,100.0,100.0,100.0
City_of_Griffith-mayoral-finalpreferencedatafile,0.2,5,100.0,100.0,100.0,100.0
City_of_Griffith-mayoral-finalpreferencedatafile,0.3,5,100.0,100.0,100.0,100.0
City_of_Griffith-mayoral-finalpreferencedatafile,0.4,5,100.0,100.0,100.0,100.0
City_of_Griffith-mayoral-finalpreferencedatafile,0.5,4,100.0,100.0,100.0,100.0
City_of_Lake_Macquarie-mayoral-finalpreferencedatafile,0.0,5,100.0,100.0,100.0,100.0
City_of_Lake_Macquarie-mayoral-finalpreferencedatafile,0.1,4,100.0,100.0,100.0,100.0
City_of_Lake_Macquarie-mayoral-finalpreferencedatafile,0.2,4,100.0,100.0,100.0,100.0
City_of_Lake_Macquarie-mayoral-finalpreferencedatafile,0.3,4,100.0,100.0,100.0,100.0
City_of_Lake_Macquarie-mayoral-finalpreferencedatafile,0.4,4,100.0,100.0,100.0,100.0
City_of_Lake_Macquarie-mayoral-finalpreferencedatafile,0.5,3,100.0,100.0,100.0,100.0
City_of_Lismore-mayoral-finalpreferencedatafile,0.0,7,100.0,100.0,100.0,100.0
City_of_Lismore-mayoral-finalpreferencedatafile,0.1,6,100.0,100.0,100.0,100.0
City_of_Lismore-mayoral-finalpreferencedatafile,0.2,6,100.0,100.0,100.0,100.0
