file,candidate_cloned,percent,numCands,om,om_tie_path,om_tie_dropped,avg,avg_tie_path,avg_tie_dropped,pm,pm_tie_path,pm_tie_dropped
APA 1998.csv,none,0,5,Cand 2,,,Cand 2,,,Cand 2,,
APA 1998.csv,Cand 3,0.0,6,Cand 2,,,Cand 2,,,Cand 2,,
APA 1998.csv,Cand 2,0.0,6,Cand 2,,,Cand 2,,,Cand 2,,
APA 1998.csv,Cand 0,0.0,6,Cand 2,,,Cand 2,,,Cand 2,,
APA 1998.csv,Cand 4,0.0,6,Cand 2,,,Cand 2,,,Cand 2,,
APA 1998.csv,Cand 1,0.0,6,Cand 2,,,Cand 2,,,Cand 2,,
APA 1998.csv,Cand 3,0.1,6,Cand 2,,,Cand 2,,,Cand 2,,
APA 1998.csv,Cand 2,0.1,6,Cand 2,,,Cand 2,,,Cand 2,,
APA 1998.csv,Cand 0,0.1,6,Cand 2,,,Cand 2,,,Cand 2,,
APA 1998.csv,Cand 4,0.1,6,Cand 2,,,Cand 2,,,Cand 2,,
APA 1998.csv,Cand 1,0.1,6,Cand 2,,,Cand 2,,,Cand 2,,
APA 1998.csv,Cand 3,0.2,6,Cand 2,,,Cand 2,,,Cand 2,,
APA 1998.csv,Cand 2,0.2,6,Cand 2,,,Cand 2,,,Cand 2,,
APA 1998.csv,Cand 0,0.2,6,Cand 2,,,Cand 2,,,Cand 2,,
APA 1998.csv,Cand 4,0.2,6,Cand 2,,,Cand 2,,,Cand 2,,
APA 1998.csv,Cand 1,0.2,6,Cand 2,,,Cand 2,,,Cand 2,,
APA 1998.csv,Cand 3,0.3,6,Cand 2,,,Cand 2,,,Cand 2,,
APA 1998.csv,Cand 2,0.3,6,Cand 2,,,Cand 2,,,Cand 2,,
APA 1998.csv,Cand 0,0.3,6,Cand 2,,,Cand 2,,,Cand 2,,
APA 1998.csv,Cand 4,0.3,6,Cand 2,,,Cand 2,,,Cand 2,,
APA 1998.csv,Cand 1,0.3,6,Cand 2,,,Cand 2,,,Cand 2,,
APA 1998.csv,Cand 3,0.4,6,Cand 2,,,Cand 2,,,Cand 2,,
APA 1998.csv,Cand 2,0.4,6,Cand 2,,,Cand 2,,,Cand 2,,
APA 1998.csv,Cand 0,0.4,6,Cand 2,,,Cand 2,,,Cand 2,,
APA 1998.csv,Cand 4,0.4,6,Cand 2,,,Cand 2,,,Cand 2,,
APA 1998.csv,Cand 1,0.4,6,Cand 2,,,Cand 2,,,Cand 2,,
APA 1998.csv,Cand 3,0.5,6,Cand 2,,,Cand 2,,,Cand 2,,
APA 1998.csv,Cand 2,0.5,6,Clone,,,Clone,,,Clone,,
APA 1998.csv,Cand 0,0.5,6,Cand 2,,,Cand 2,,,Cand 2,,
APA 1998.csv,Cand 4,0.5,6,Cand 2,,,Cand 2,,,Cand 2,,
APA 1998.csv,Cand 1,0.5,6,Cand 2,,,Cand 2,,,Cand 2,,
APA 1999.csv,none,0,5,Cand 3,,,Cand 3,,,Cand 3,,
APA 1999.csv,Cand 4,0.0,6,Cand 3,,,Cand 3,,,Cand 3,,
APA 1999.csv,Cand 2,0.0,6,Cand 3,,,Cand 3,,,Cand 3,,
APA 1999.csv,Cand 0,0.0,6,Cand 3,,,Cand 3,,,Cand 3,,
APA 1999.csv,Cand 1,0.0,6,Cand 3,,,Cand 3,,,Cand 3,,
APA 1999.csv,Cand 3,0.0,6,Cand 3,,,Cand 3,,,Cand 3,,
APA 1999.csv,Cand 4,0.1,6,Cand 3,,,Cand 3,,,Cand 3,,
APA 1999.csv,Cand 2,0.1,6,Cand 3,,,Cand 3,,,Cand 3,,
APA 1999.csv,Cand 0,0.1,6,Cand 3,,,Cand 3,,,Cand 3,,
APA 1999.csv,Cand 1,0.1,6,Cand 3,,,Cand 3,,,Cand 3,,
