file,candidate_cloned,percent,numCands,om,om_tie_path,om_tie_dropped,avg,avg_tie_path,avg_tie_dropped,pm,pm_tie_path,pm_tie_dropped
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,none,0,9,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,Ind Angela JOSS,0.0,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,Lab Graeme LAWRENCE,0.0,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,Lab Barney CROCKETT,0.0,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,LD Brian MALONE,0.0,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,SNP Gill SAMARAI,0.0,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,SNP Caroline Elizabeth LITTLE,0.0,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,SNP Neil MACGREGOR,0.0,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,Con Duncan STEWART,0.0,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,Grn Rhonda REEKIE,0.0,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,Ind Angela JOSS,0.1,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,Lab Graeme LAWRENCE,0.1,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,Lab Barney CROCKETT,0.1,10,Lab Barney CROCKETT,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,LD Brian MALONE,0.1,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,SNP Gill SAMARAI,0.1,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,SNP Caroline Elizabeth LITTLE,0.1,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,SNP Neil MACGREGOR,0.1,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,Con Duncan STEWART,0.1,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,Grn Rhonda REEKIE,0.1,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,Ind Angela JOSS,0.2,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,Lab Graeme LAWRENCE,0.2,10,Lab Barney CROCKETT,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,Lab Barney CROCKETT,0.2,10,Lab Barney CROCKETT,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,LD Brian MALONE,0.2,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,SNP Gill SAMARAI,0.2,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,SNP Caroline Elizabeth LITTLE,0.2,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,SNP Neil MACGREGOR,0.2,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,Con Duncan STEWART,0.2,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,Grn Rhonda REEKIE,0.2,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,Ind Angela JOSS,0.3,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,Lab Graeme LAWRENCE,0.3,10,Lab Barney CROCKETT,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,Lab Barney CROCKETT,0.3,10,Clone,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,LD Brian MALONE,0.3,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,SNP Gill SAMARAI,0.3,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,SNP Caroline Elizabeth LITTLE,0.3,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,SNP Neil MACGREGOR,0.3,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,Con Duncan STEWART,0.3,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,Grn Rhonda REEKIE,0.3,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,Ind Angela JOSS,0.4,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,Lab Graeme LAWRENCE,0.4,10,Lab Barney CROCKETT,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,Lab Barney CROCKETT,0.4,10,Clone,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,LD Brian MALONE,0.4,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,SNP Gill SAMARAI,0.4,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,SNP Caroline Elizabeth LITTLE,0.4,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,SNP Neil MACGREGOR,0.4,10,Clone,,,Clone,,,Clone,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,Con Duncan STEWART,0.4,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,Grn Rhonda REEKIE,0.4,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,Ind Angela JOSS,0.5,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,Lab Graeme LAWRENCE,0.5,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,Lab Barney CROCKETT,0.5,10,Clone,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,LD Brian MALONE,0.5,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,SNP Gill SAMARAI,0.5,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,SNP Caroline Elizabeth LITTLE,0.5,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,SNP Neil MACGREGOR,0.5,10,Clone,,,Clone,,,Clone,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,Con Duncan STEWART,0.5,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward1-Dyce-Bucksburn-Danestone_aberdeen12-01.csv,Grn Rhonda REEKIE,0.5,10,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,,SNP Neil MACGREGOR,,
Ward10-Hazlehead-Ashley-QueensCross_aberdeen12-10.csv,none,0,8,LD Jennifer STEWART,,,LD Jennifer STEWART,,,LD Jennifer STEWART,,
Ward10-Hazlehead-Ashley-QueensCross_aberdeen12-10.csv,SNP Stephen Mark FLYNN,0.0,9,LD Jennifer STEWART,,,LD Jennifer STEWART,,,LD Jennifer STEWART,,
Ward10-Hazlehead-Ashley-QueensCross_aberdeen12-10.csv,Grn Peter Alexander KENNEDY,0.0,9,LD Jennifer STEWART,,,LD Jennifer STEWART,,,LD Jennifer STEWART,,
Ward10-Hazlehead-Ashley-QueensCross_aberdeen12-10.csv,LD Jennifer STEWART,0.0,9,LD Jennifer STEWART,,,LD Jennifer STEWART,,,LD Jennifer STEWART,,
Ward10-Hazlehead-Ashley-QueensCross_aberdeen12-10.csv,Con Ross THOMSON,0.0,9,LD Jennifer STEWART,,,LD Jennifer STEWART,,,LD Jennifer STEWART,,
Ward10-Hazlehead-Ashley-QueensCross_aberdeen12-10.csv,Ind Jim FARQUHARSON,0.0,9,LD Jennifer STEWART,,,LD Jennifer STEWART,,,LD Jennifer STEWART,,
Ward10-Hazlehead-Ashley-QueensCross_aberdeen12-10.csv,SNP John Munro CORALL,0.0,9,LD Jennifer STEWART,,,LD Jennifer STEWART,,,LD Jennifer STEWART,,
Ward10-Hazlehead-Ashley-QueensCross_aberdeen12-10.csv,Lab Sandra MACDONALD,0.0,9,LD Jennifer STEWART,,,LD Jennifer STEWART,,,LD Jennifer STEWART,,
Ward10-Hazlehead-Ashley-QueensCross_aberdeen12-10.csv,LD Martin GREIG,0.0,9,LD Jennifer STEWART,,,LD Jennifer STEWART,,,LD Jennifer STEWART,,
Ward10-Hazlehead-Ashley-QueensCross_aberdeen12-10.csv,SNP Stephen Mark FLYNN,0.1,9,LD Jennifer STEWART,,,LD Jennifer STEWART,,,LD Jennifer STEWART,,
