file,first_flip_percent,method
Ward21NorthEast_glasgow17-021.csv,0.0,AVG
COWALWARD_argyll-bute12-06.csv,0.1,AVG
DingwallandSeaforthWard_highland12-09,0.1,AVG
Dunoon_argyll-bute17-07.csv,0.1,AVG
KirkwallEastWard_orkney17-01,0.1,AVG
KirkwallEast_orkney12-01,0.1,AVG
KirkwallWestandOrphir_orkney12-02,0.1,AVG
LerwickSouth_shetland12-07,0.1,AVG
NorthIslesWard_orkney17-06,0.1,AVG
OBANNORTHANDLORNWARD_argyll-bute12-05.csv,0.1,AVG
ObanNorthandLorn_argyll-bute17-05.csv,0.1,AVG
SgireAnRubha_eilean-siar12-05.csv,0.1,AVG
ShetlandWest_shetland12-03,0.1,AVG
StAndrewsWard_fife12-19.csv,0.1,AVG
SteornabhaghaTuath_eilean-siar12-07.csv,0.1,AVG
Ward12-LeithWalk_edinburgh17-12.csv,0.1,AVG
Ward2-KirkwallWestandOrphirWard_ward2,0.1,AVG
Ward2UibhistaDeasEirisgeighagusBeinnnaFaoghla_ward02_preferenceprofile.csv,0.1,AVG
Ward3-FraserburghandDistrict_aberdeenshire17-03.csv,0.1,AVG
Ward3-WickandEastCaithness_highland17-03,0.1,AVG
Ward6-CromartyFirth_Highland 2023 by-election Ward 6,0.1,AVG
Ward6-CromartyFirth_highland17-06,0.1,AVG
Ward6-LerwickSouth_ward-6-lerwick-south-preference-profile,0.1,AVG
Ward9-BurntislandKinghornWesternKirkcaldy_fife17-09.csv,0.1,AVG
Ward9SteornabhaghaTuath_ward09_preferenceprofile.csv,0.1,AVG
WestMainland_orkney12-04,0.1,AVG
Andersonward_anderston.csv,0.2,AVG
BarraighBhatarsaighEirisgeighAgusUibhistADeas_eilean-siar12-01.csv,0.2,AVG
BarraighBhatarsaighEirisgeighagusUibhistaDeas_eilean-siar17-01.csv,0.2,AVG
BeinnnaFoghlaagusUibhistaTuath_eilean-siar17-02.csv,0.2,AVG
BlackIsleWard_highland12-10,0.2,AVG
BlackIsle_PreferenceProfile_V0001_Black_Isle_06052022_161539,0.2,AVG
ClarkstonNetherleeandWilliamwood_e-renfs17-4.csv,0.2,AVG
CromartyFirthWard_highland12-07,0.2,AVG
CromartyFirth_PreferenceProfile_V0001_Cromarty_Firth_06052022_161538,0.2,AVG
CullodenandArdersierWard_highland12-18,0.2,AVG
Eileana_Cheo_PreferenceProfile_V0001_Eilean_a__Che___06052022_161539,0.2,AVG
FortWilliamandArdnamurchanWard_highland12-22,0.2,AVG
Kinross-shire_perth-kinross12-08,0.2,AVG
Nith_dumgal17-09.csv,0.2,AVG
NorthWestandCentralSutherlandWard_highland12-01,0.2,AVG
ObanSouthandtheIsles_argyll-bute17-04.csv,0.2,AVG
ShetlandNorth_shetland12-02,0.2,AVG
StonehavenandLowerDeesideWard_aberdeenshire12-18.csv,0.2,AVG
Ward1-NorthWestandCentralSutherland_highland17-01,0.2,AVG
Ward10SteornabhaghaDeas_ward10_preferenceprofile.csv,0.2,AVG
Ward18-StAndrews_fife17-18.csv,0.2,AVG
Ward19-Mearns_preferenceprofile_v0001_ward-19-mearns_06052022_172124.csv,0.2,AVG
Ward1Linn_glasgow17-001.csv,0.2,AVG
Ward3-ShetlandWest_ward-3-shetland-west-preference-profile,0.2,AVG
Ward4-ObanSouthandtheIsles_ward4.csv,0.2,AVG
Ward5-WesterRossStrathpefferandLochalsh_highland17-05,0.2,AVG
7.JohnstoneSouthElderslieHowwoodWard_renfs12-07,0.3,AVG
AnTaobhSiaragusNis_eilean-siar12-09.csv,0.3,AVG
AnTaobhSiaragusNis_eilean-siar17-09.csv,0.3,AVG
AnnandaleEastandEskdaleWard_dumgal12-13.csv,0.3,AVG
AnnandaleNorthWard_dumgal12-12.csv,0.3,AVG
ArbroathEastandLunan_angus17-07.csv,0.3,AVG
ArbroathWestandLetham_angus12-06.csv,0.3,AVG
BadenochandStrathspey_PreferenceProfile_V0001_Badenoch_and_Strathspey_06052022_161540,0.3,AVG
BeinnNaFoghlaAgusUibhistATuath_eilean-siar12-02.csv,0.3,AVG
BridgeofDonWard_aberdeen17-02.csv,0.3,AVG
CastleWard_stirling12-04,0.3,AVG
Coldside_dundee17-04.csv,0.3,AVG
DalryandWestKilbride_n-ayrshire17-06,0.3,AVG
DeeandGlenkens_dumgal17-03.csv,0.3,AVG
EastMainlandSouthRonaldsayandBurray_orkney12-05,0.3,AVG
FraserburghandDistrictWard_aberdeenshire12-03.csv,0.3,AVG
GalashielsandDistrictWard_sc-borders12-03,0.3,AVG
GeorgeStHarbourWard_aberdeen17-08.csv,0.3,AVG
Greaterpollok_greater pollok,0.3,AVG
InvernessCentral_PreferenceProfile_V0001_Inverness_Central_06052022_161539,0.3,AVG
InvernessNess-sideWard_highland12-16,0.3,AVG
InvernessSouthWard_highland12-20,0.3,AVG
InvernessWestWard_highland12-14,0.3,AVG
InvernessWest_PreferenceProfile_V0001_Inverness_West_06052022_161539,0.3,AVG
InverurieandDistrictWard_aberdeenshire12-11.csv,0.3,AVG
JedburghandDistrictWard_sc-borders12-09,0.3,AVG
KelsoDistrictWard_sc-borders12-08,0.3,AVG
KirkwallWestandOrphirWard_orkney17-02,0.3,AVG
