method,percent,total_flips,clone_wins,spoiler_wins,pct_clone_wins,pct_spoiler_wins
AVG,0.0,16,0,16,0.0,100.0
AVG,0.1,42,26,16,61.9,38.1
AVG,0.2,68,52,16,76.5,23.5
AVG,0.3,200,181,19,90.5,9.5
AVG,0.4,635,619,16,97.5,2.5
AVG,0.5,14,0,14,0.0,100.0
OM,0.0,45,0,45,0.0,100.0
OM,0.1,414,43,371,10.4,89.6
OM,0.2,604,93,511,15.4,84.6
OM,0.3,934,341,593,36.5,63.5
OM,0.4,1453,992,461,68.3,31.7
OM,0.5,594,387,207,65.2,34.8
PM,0.0,16,0,16,0.0,100.0
PM,0.1,42,26,16,61.9,38.1
PM,0.2,68,52,16,76.5,23.5
PM,0.3,197,181,16,91.9,8.1
PM,0.4,634,620,14,97.8,2.2
PM,0.5,13,0,13,0.0,100.0
