file,method,candidate_cloned,percent,baseline_winner,new_winner
11.ErskineInchinnanWard_renfs12-11,AVG,James HARTE Lab,0.4,James HARTE Lab,Clone
4.PaisleyNorthWestWard_renfs12-04,AVG,Terry KELLY Lab,0.4,Terry KELLY Lab,Clone
5.PaisleySouthWard_renfs12-05,AVG,Eddie DEVINE Lab,0.4,Eddie DEVINE Lab,Clone
7.JohnstoneSouthElderslieHowwoodWard_renfs12-07,AVG,John CALDWELL Lab,0.3,John CALDWELL Lab,Iain MCMILLAN Lab
7.JohnstoneSouthElderslieHowwoodWard_renfs12-07,AVG,John CALDWELL Lab,0.4,John CALDWELL Lab,Iain MCMILLAN Lab
7.JohnstoneSouthElderslieHowwoodWard_renfs12-07,AVG,John CALDWELL Lab,0.5,John CALDWELL Lab,Iain MCMILLAN Lab
Abbey_dumgal17-05.csv,AVG,Ian BLAKE Con,0.4,Ian BLAKE Con,Clone
AirdandLochNessWard_highland12-13,AVG,Margaret Christine DAVIDSON Ind,0.4,Margaret Christine DAVIDSON Ind,Clone
AirdandLochNess_PreferenceProfile_V0001_Aird_and_Loch_Ness_06052022_161539,AVG,David FRASER Ind,0.4,David FRASER Ind,Clone
AlmondWard_edinburgh12-01.csv,AVG,Norman James WORKSNP,0.4,Norman James WORKSNP,Clone
AnTaobhSiaragusNis_eilean-siar12-09.csv,AVG,Iain MORRISON Ind,0.3,Iain MORRISON Ind,Clone
AnTaobhSiaragusNis_eilean-siar12-09.csv,AVG,Iain MORRISON Ind,0.4,Iain MORRISON Ind,Clone
AnTaobhSiaragusNis_eilean-siar17-09.csv,AVG,John Norman MACLEOD Ind,0.3,John Norman MACLEOD Ind,Clone
AnTaobhSiaragusNis_eilean-siar17-09.csv,AVG,John Norman MACLEOD Ind,0.4,John Norman MACLEOD Ind,Clone
Andersonward_anderston.csv,AVG,ALTERNATIVE NAME 3 Philip Braat Lab,0.2,ALTERNATIVE NAME 3 Philip Braat Lab,Clone
Andersonward_anderston.csv,AVG,ALTERNATIVE NAME 3 Philip Braat Lab,0.3,ALTERNATIVE NAME 3 Philip Braat Lab,Clone
Andersonward_anderston.csv,AVG,ALTERNATIVE NAME 3 Philip Braat Lab,0.4,ALTERNATIVE NAME 3 Philip Braat Lab,Clone
AnnandaleEastandEskdaleWard_dumgal12-13.csv,AVG,Con Denis MALE,0.3,Con Denis MALE,Clone
AnnandaleEastandEskdaleWard_dumgal12-13.csv,AVG,Con Denis MALE,0.4,Con Denis MALE,Clone
AnnandaleNorthWard_dumgal12-12.csv,AVG,Con Peter DIGGLE,0.3,Con Peter DIGGLE,Clone
AnnandaleNorthWard_dumgal12-12.csv,AVG,Con Peter DIGGLE,0.4,Con Peter DIGGLE,Clone
AnnandaleSouthWard_dumgal12-11.csv,AVG,Lab Sean MARSHALL,0.4,Lab Sean MARSHALL,Clone
AnnandaleSouth_dumgal17-10.csv,AVG,Ian CARRUTHERS Con,0.4,Ian CARRUTHERS Con,Clone
Annick_e-ayrshire17-01.csv,AVG,John MCFADZEAN Con,0.4,John MCFADZEAN Con,Clone
ArbroathEastandLunan_angus17-07.csv,AVG,Lois SPEED Ind,0.3,Lois SPEED Ind,Clone
ArbroathEastandLunan_angus17-07.csv,AVG,Lois SPEED Ind,0.4,Lois SPEED Ind,Clone
ArbroathWestandLetham_angus12-06.csv,AVG,SNP Alex KING,0.3,SNP Alex KING,Clone
ArbroathWestandLetham_angus12-06.csv,AVG,SNP Alex KING,0.4,SNP Alex KING,Clone
ArdrossanandArran_n-ayrshire17-05,AVG,Tony GURNEY SNP,0.4,Tony GURNEY SNP,Clone
BadenochandStrathspeyWard_highland12-21,AVG,Jaci DOUGLAS Ind,0.4,Jaci DOUGLAS Ind,Clone
BadenochandStrathspey_PreferenceProfile_V0001_Badenoch_and_Strathspey_06052022_161540,AVG,Russell JONES Ind,0.3,Russell JONES Ind,Clone
BadenochandStrathspey_PreferenceProfile_V0001_Badenoch_and_Strathspey_06052022_161540,AVG,Russell JONES Ind,0.4,Russell JONES Ind,Clone
Bailliestonward_baillieston.csv,AVG,ALTERNATIVE NAME 2 Jim Coleman Lab,0.4,ALTERNATIVE NAME 2 Jim Coleman Lab,Clone
Ballochmyle_e-ayrshire17-07.csv,AVG,Claire LEITCH SNP,0.4,Claire LEITCH SNP,Clone
Bannockburn_stirling17-07,AVG,Alasdair MACPHERSON SNP,0.4,Alasdair MACPHERSON SNP,Clone
BarraighBhatarsaighEirisgeighAgusUibhistADeas_eilean-siar12-01.csv,AVG,Donald MANFORD SNP,0.2,Donald MANFORD SNP,Clone
BarraighBhatarsaighEirisgeighAgusUibhistADeas_eilean-siar12-01.csv,AVG,Donald MANFORD SNP,0.3,Donald MANFORD SNP,Clone
BarraighBhatarsaighEirisgeighAgusUibhistADeas_eilean-siar12-01.csv,AVG,Donald MANFORD SNP,0.4,Donald MANFORD SNP,Clone
BarraighBhatarsaighEirisgeighagusUibhistaDeas_eilean-siar17-01.csv,AVG,Donald MANFORD SNP,0.2,Donald MANFORD SNP,Clone
BarraighBhatarsaighEirisgeighagusUibhistaDeas_eilean-siar17-01.csv,AVG,Donald MANFORD SNP,0.3,Donald MANFORD SNP,Clone
BarraighBhatarsaighEirisgeighagusUibhistaDeas_eilean-siar17-01.csv,AVG,Donald MANFORD SNP,0.4,Donald MANFORD SNP,Clone
BarrheadLibosideandUplawmoor_e-renfs17-1.csv,AVG,Danny DEVLIN Ind,0.4,Danny DEVLIN Ind,Clone
BarrheadWard_e-renfs12-02.csv,AVG,Danny DEVLIN Ind,0.4,Danny DEVLIN Ind,Clone
Bathgate_w-lothian12-08,AVG,Jim WALKER SNP,0.4,Jim WALKER SNP,Clone
BearsdenNorth_e-duns12-02.csv,AVG,Duncan CUMMING Ind,0.4,Duncan CUMMING Ind,Clone
BeinnNaFoghlaAgusUibhistATuath_eilean-siar12-02.csv,AVG,Uisdean ROBERTSON Ind,0.3,Uisdean ROBERTSON Ind,Clone
BeinnNaFoghlaAgusUibhistATuath_eilean-siar12-02.csv,AVG,Uisdean ROBERTSON Ind,0.4,Uisdean ROBERTSON Ind,Clone
BeinnnaFoghlaagusUibhistaTuath_eilean-siar17-02.csv,AVG,Uisdean ROBERTSON Ind,0.2,Uisdean ROBERTSON Ind,Clone
BeinnnaFoghlaagusUibhistaTuath_eilean-siar17-02.csv,AVG,Uisdean ROBERTSON Ind,0.3,Uisdean ROBERTSON Ind,Clone
BeinnnaFoghlaagusUibhistaTuath_eilean-siar17-02.csv,AVG,Uisdean ROBERTSON Ind,0.4,Uisdean ROBERTSON Ind,Clone
BishopbriggsNorthandCampsie_e-duns17-04.csv,AVG,Paul FERRETTI SNP,0.4,Paul FERRETTI SNP,Clone
BlackIsleWard_highland12-10,AVG,Billy BARCLAY Ind,0.2,Billy BARCLAY Ind,Clone
BlackIsleWard_highland12-10,AVG,Billy BARCLAY Ind,0.3,Billy BARCLAY Ind,Clone
