file,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit0,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit1,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),LEA-BARRETT Janine (UG),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit2,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit3,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit4,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),LEA-BARRETT Janine (UG),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit5,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),LEA-BARRETT Janine (UG),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit6,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit7,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),LEA-BARRETT Janine (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit8,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),LEA-BARRETT Janine (UG),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit9,ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),LEA-BARRETT Janine (UG),PAYNE Julie (UG),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A),ABBOTT Peter (A)
