file,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09
CastleWard_stirling12-04.csv__hit0,Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Johanna BOYD (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit1,John HENDRY (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Johanna BOYD (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit2,Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit3,Jim THOMSON (SNP),Jim THOMSON (SNP),John HENDRY (Lab),John HENDRY (Lab),Johanna BOYD (Lab),Johanna BOYD (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit4,Jim THOMSON (SNP),Johanna BOYD (Lab),Jim THOMSON (SNP),Johanna BOYD (Lab),Johanna BOYD (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit5,Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit6,John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),Johanna BOYD (Lab),John HENDRY (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit7,Jim THOMSON (SNP),John HENDRY (Lab),Jim THOMSON (SNP),John HENDRY (Lab),Johanna BOYD (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit8,Jim THOMSON (SNP),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab)
CastleWard_stirling12-04.csv__hit9,Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Johanna BOYD (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit10,Jim THOMSON (SNP),Jim THOMSON (SNP),John HENDRY (Lab),Johanna BOYD (Lab),Johanna BOYD (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit11,Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),John HENDRY (Lab),Johanna BOYD (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit12,Jim THOMSON (SNP),John HENDRY (Lab),Jim THOMSON (SNP),John HENDRY (Lab),Johanna BOYD (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit13,John HENDRY (Lab),John HENDRY (Lab),John HENDRY (Lab),Jim THOMSON (SNP),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit14,John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Johanna BOYD (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
CastleWard_stirling12-04.csv__hit15,Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Johanna BOYD (Lab),John HENDRY (Lab),John HENDRY (Lab),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP),Jim THOMSON (SNP)
