file,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09
Minneapolis_11022021_CityCouncilWard2.csv__hit0,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit1,Yusra Arab,Yusra Arab,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,Yusra Arab,Yusra Arab,Yusra Arab,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit2,Yusra Arab,Yusra Arab,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,Yusra Arab,Yusra Arab,Yusra Arab,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit3,Yusra Arab,Yusra Arab,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab,Yusra Arab,Cam Gordon,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit4,Yusra Arab,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah
Minneapolis_11022021_CityCouncilWard2.csv__hit5,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit6,Yusra Arab,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah
Minneapolis_11022021_CityCouncilWard2.csv__hit7,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Cam Gordon,Yusra Arab,Robin Wonsley Worlobah,Robin Wonsley Worlobah
Minneapolis_11022021_CityCouncilWard2.csv__hit8,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit9,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Yusra Arab,Robin Wonsley Worlobah,Robin Wonsley Worlobah
Minneapolis_11022021_CityCouncilWard2.csv__hit10,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,Yusra Arab,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit11,Yusra Arab,Yusra Arab,Cam Gordon,Cam Gordon,Cam Gordon,Yusra Arab,Yusra Arab,Yusra Arab,Yusra Arab,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit12,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit13,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit14,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit15,Yusra Arab,Yusra Arab,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,Yusra Arab,Yusra Arab,Yusra Arab,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit16,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit17,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab,Yusra Arab,Robin Wonsley Worlobah
Minneapolis_11022021_CityCouncilWard2.csv__hit18,Yusra Arab,Yusra Arab,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Robin Wonsley Worlobah,Yusra Arab,Yusra Arab,Yusra Arab,Yusra Arab
Minneapolis_11022021_CityCouncilWard2.csv__hit19,Yusra Arab,Robin Wonsley Worlobah,Cam Gordon,Cam Gordon,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,Yusra Arab,Robin Wonsley Worlobah,Robin Wonsley Worlobah
