file,candidate_cloned,numCands,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,percent
Ward2-Leven_west dunbartonshire2022ward 2.csv,none,8,"('John Kelly MILLAR (Lab)', 5)","('John Kelly MILLAR (Lab)', 6)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 6)","('John Kelly MILLAR (Lab)', 6)","('John Kelly MILLAR (Lab)', 6)","('John Kelly MILLAR (Lab)', 6)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 7)",0
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Paula BAKER (Grn)'}),9,"('John Kelly MILLAR (Lab)', 6)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 8)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 8)","('John Kelly MILLAR (Lab)', 8)","('John Kelly MILLAR (Lab)', 8)",0
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Ian DICKSON (SNP)'}),9,"('John Kelly MILLAR (Lab)', 6)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 8)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 8)","('John Kelly MILLAR (Lab)', 8)","('John Kelly MILLAR (Lab)', 8)",0
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Ronnie MCCOLL (SNP)'}),9,"('John Kelly MILLAR (Lab)', 6)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 8)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 8)","('John Kelly MILLAR (Lab)', 8)","('John Kelly MILLAR (Lab)', 8)",0
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'John Kelly MILLAR (Lab)'}),9,"('John Kelly MILLAR (Lab)', 6)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 8)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 8)","('John Kelly MILLAR (Lab)', 8)","('John Kelly MILLAR (Lab)', 8)",0
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Jim BOLLAN (WDuns)'}),9,"('John Kelly MILLAR (Lab)', 6)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 8)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 8)","('John Kelly MILLAR (Lab)', 8)","('John Kelly MILLAR (Lab)', 8)",0
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Matthew DILLON (Con)'}),9,"('John Kelly MILLAR (Lab)', 6)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 8)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 8)","('John Kelly MILLAR (Lab)', 8)","('John Kelly MILLAR (Lab)', 8)",0
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Sian WILKIE (Ind)'}),9,"('John Kelly MILLAR (Lab)', 6)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 8)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 8)","('John Kelly MILLAR (Lab)', 8)","('John Kelly MILLAR (Lab)', 8)",0
Ward2-Leven_west dunbartonshire2022ward 2.csv,frozenset({'Michelle Marie MCGINTY (Lab)'}),9,"('John Kelly MILLAR (Lab)', 6)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 8)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 8)","('John Kelly MILLAR (Lab)', 8)","('John Kelly MILLAR (Lab)', 8)",0
Ward2-Leven_west dunbartonshire2022ward 2.csv,none,8,"('John Kelly MILLAR (Lab)', 5)","('John Kelly MILLAR (Lab)', 6)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 6)","('John Kelly MILLAR (Lab)', 6)","('John Kelly MILLAR (Lab)', 6)","('John Kelly MILLAR (Lab)', 6)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 7)","('John Kelly MILLAR (Lab)', 7)",10
