election_id,candidate_cloned,percent,numCands,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09
Minneapolis_11022021_CityCouncilWard2.csv__hit0,none,0,5,"('Robin Wonsley Worlobah', 4)","('Robin Wonsley Worlobah', 4)","('Cam Gordon', 4)","('Robin Wonsley Worlobah', 4)","('Robin Wonsley Worlobah', 4)","('Robin Wonsley Worlobah', 4)","('Yusra Arab', 4)","('Robin Wonsley Worlobah', 4)","('Robin Wonsley Worlobah', 4)","('Yusra Arab', 4)"
Minneapolis_11022021_CityCouncilWard2.csv__hit0,Cam Gordon,1/10,6,"('Robin Wonsley Worlobah', 5)","('Robin Wonsley Worlobah', 5)","('Cam Gordon', 5)","('Robin Wonsley Worlobah', 5)","('Robin Wonsley Worlobah', 5)","('Robin Wonsley Worlobah', 5)","('Yusra Arab', 5)","('Robin Wonsley Worlobah', 5)","('Robin Wonsley Worlobah', 5)","('Yusra Arab', 5)"
Minneapolis_11022021_CityCouncilWard2.csv__hit0,Cam Gordon,1/5,6,"('Robin Wonsley Worlobah', 5)","('Robin Wonsley Worlobah', 5)","('Cam Gordon', 5)","('Robin Wonsley Worlobah', 5)","('Robin Wonsley Worlobah', 5)","('Robin Wonsley Worlobah', 5)","('Yusra Arab', 5)","('Robin Wonsley Worlobah', 5)","('Robin Wonsley Worlobah', 5)","('Yusra Arab', 5)"
Minneapolis_11022021_CityCouncilWard2.csv__hit0,Cam Gordon,3/10,6,"('Robin Wonsley Worlobah', 5)","('Robin Wonsley Worlobah', 5)","('Cam Gordon', 5)","('Robin Wonsley Worlobah', 5)","('Robin Wonsley Worlobah', 5)","('Robin Wonsley Worlobah', 5)","('Yusra Arab', 5)","('Robin Wonsley Worlobah', 5)","('Robin Wonsley Worlobah', 5)","('Yusra Arab', 5)"
Minneapolis_11022021_CityCouncilWard2.csv__hit0,Cam Gordon,2/5,6,"('Robin Wonsley Worlobah', 5)","('Robin Wonsley Worlobah', 5)","('Cam Gordon', 5)","('Robin Wonsley Worlobah', 5)","('Robin Wonsley Worlobah', 5)","('Robin Wonsley Worlobah', 5)","('Yusra Arab', 5)","('Robin Wonsley Worlobah', 5)","('Robin Wonsley Worlobah', 5)","('Yusra Arab', 5)"
Minneapolis_11022021_CityCouncilWard2.csv__hit0,Robin Wonsley Worlobah,1/10,6,"('Clone', 5)","('Robin Wonsley Worlobah', 5)","('Cam Gordon', 5)","('Robin Wonsley Worlobah', 5)","('Robin Wonsley Worlobah', 5)","('Robin Wonsley Worlobah', 5)","('Yusra Arab', 5)","('Robin Wonsley Worlobah', 5)","('Robin Wonsley Worlobah', 5)","('Yusra Arab', 5)"
Minneapolis_11022021_CityCouncilWard2.csv__hit0,Robin Wonsley Worlobah,1/5,6,"('Clone', 5)","('Robin Wonsley Worlobah', 5)","('Cam Gordon', 5)","('Robin Wonsley Worlobah', 5)","('Robin Wonsley Worlobah', 5)","('Robin Wonsley Worlobah', 5)","('Yusra Arab', 5)","('Robin Wonsley Worlobah', 5)","('Robin Wonsley Worlobah', 5)","('Yusra Arab', 5)"
Minneapolis_11022021_CityCouncilWard2.csv__hit0,Robin Wonsley Worlobah,3/10,6,"('Clone', 5)","('Robin Wonsley Worlobah', 5)","('Cam Gordon', 5)","('Robin Wonsley Worlobah', 5)","('Robin Wonsley Worlobah', 5)","('Robin Wonsley Worlobah', 5)","('Yusra Arab', 5)","('Robin Wonsley Worlobah', 5)","('Robin Wonsley Worlobah', 5)","('Yusra Arab', 5)"
Minneapolis_11022021_CityCouncilWard2.csv__hit0,Robin Wonsley Worlobah,2/5,6,"('Clone', 5)","('Cam Gordon', 4)","('Cam Gordon', 5)","('Robin Wonsley Worlobah', 5)","('Robin Wonsley Worlobah', 5)","('Robin Wonsley Worlobah', 5)","('Yusra Arab', 5)","('Robin Wonsley Worlobah', 5)","('Robin Wonsley Worlobah', 5)","('Yusra Arab', 5)"
Minneapolis_11022021_CityCouncilWard2.csv__hit0,Yusra Arab,1/10,6,"('Robin Wonsley Worlobah', 5)","('Robin Wonsley Worlobah', 5)","('Cam Gordon', 5)","('Robin Wonsley Worlobah', 5)","('Robin Wonsley Worlobah', 5)","('Robin Wonsley Worlobah', 5)","('Yusra Arab', 5)","('Robin Wonsley Worlobah', 5)","('Robin Wonsley Worlobah', 5)","('Yusra Arab', 5)"
