file,candidate_cloned,percent,numCands,om,avg,pm
Eastpointe_11022021_CityCouncil.csv,none,0.1,6,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Shenita Lloyd'}),0.1,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Michael Jones'}),0.1,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Rob Baker'}),0.1,7,TIED,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Sylvia L. Moore'}),0.1,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Cardi DeMonaco Jr.'}),0.1,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Tonia Gladney'}),0.1,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,none,0.2,6,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Shenita Lloyd'}),0.2,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Michael Jones'}),0.2,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Rob Baker'}),0.2,7,TIED,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Sylvia L. Moore'}),0.2,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Cardi DeMonaco Jr.'}),0.2,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Tonia Gladney'}),0.2,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,none,0.3,6,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Shenita Lloyd'}),0.3,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Michael Jones'}),0.3,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Rob Baker'}),0.3,7,TIED,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Sylvia L. Moore'}),0.3,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Cardi DeMonaco Jr.'}),0.3,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Tonia Gladney'}),0.3,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,none,0.4,6,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Shenita Lloyd'}),0.4,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Michael Jones'}),0.4,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Rob Baker'}),0.4,7,TIED,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Sylvia L. Moore'}),0.4,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Cardi DeMonaco Jr.'}),0.4,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Tonia Gladney'}),0.4,7,TIED,TIED,TIED
Eastpointe_11022021_CityCouncil.csv,none,0.5,6,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Shenita Lloyd'}),0.5,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Michael Jones'}),0.5,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Rob Baker'}),0.5,7,TIED,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Sylvia L. Moore'}),0.5,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Cardi DeMonaco Jr.'}),0.5,7,Clone,Clone,Clone
Eastpointe_11022021_CityCouncil.csv,frozenset({'Tonia Gladney'}),0.5,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,none,0.6,6,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Shenita Lloyd'}),0.6,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Michael Jones'}),0.6,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Rob Baker'}),0.6,7,TIED,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Sylvia L. Moore'}),0.6,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,frozenset({'Cardi DeMonaco Jr.'}),0.6,7,Clone,Clone,Clone
Eastpointe_11022021_CityCouncil.csv,frozenset({'Tonia Gladney'}),0.6,7,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
Eastpointe_11022021_CityCouncil.csv,none,0.7,6,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
