file,percent,borda_type,cloned_candidate,original_winner,new_winner,num_cands
Minneapolis_11022021_CityCouncilWard2.csv,0.3,om,Yusra Arab,Cam Gordon,Robin Wonsley Worlobah,6
SanFrancisco_06052018_Mayor.csv,0.4,om,JANE KIM,LONDON BREED,MARK LENO,10
APA 1999.csv,0.5,om,Cand 2,Cand 3,Clone,6
APA 2005.csv,0.5,om,Cand 0,Cand 1,Clone,6
APA 2007.csv,0.5,om,Cand 2,Cand 1,Clone,6
APA 2009.csv,0.5,om,Cand 2,Cand 4,Cand 0,6
APA 2009.csv,0.5,om,Cand 0,Cand 4,Clone,6
APA 2018 BOD race2.csv,0.5,om,Kim E. Dixon PhD,Shannon L. Wiltsey Stirman PhD,Clone,4
APA 2020 BOD race2.csv,0.5,om,Erica H. Wise PhD,M. Lynne Cooper PhD,Clone,4
Alaska_08162022_HouseofRepresentativesSpecial.csv,0.5,om,"Peltola, Mary S.","Begich, Nick",Clone,4
Alaska_11052024_StateHouseD11.csv,0.5,om,"Featherly, Walter T.","Coulombe, Julie",Clone,3
Alaska_11052024_StateHouseD15.csv,0.5,om,"Wells, Denny","Costello, Mia",Clone,4
Alaska_11052024_StateHouseD16.csv,0.5,om,"Moe, Nick","Hall, Carolyn",Clone,3
Alaska_11052024_StateHouseD18.csv,0.5,om,"Groh, Cliff","Nelson, David",Clone,3
Alaska_11052024_StateHouseD21.csv,0.5,om,"Sims, Aimée","Mears, Donna C.",Clone,3
Alaska_11052024_StateHouseD22.csv,0.5,om,"Wright, Stanley A.","Eischeid, Ted J.",Clone,3
Alaska_11052024_StateHouseD27.csv,0.5,om,"Eastman, David","Underwood, Jubilee L.",Clone,3
Alaska_11052024_StateHouseD28.csv,0.5,om,"Menard, Steve","Moore, Elexie",Clone,4
Alaska_11052024_StateHouseD30.csv,0.5,om,"Holmes, Doyle E.","McCabe, Kevin J.",Clone,3
Alaska_11052024_StateHouseD31.csv,0.5,om,"LeBon, Bart","Dibert, Maxine L.",Clone,3
Alaska_11052024_StateHouseD34.csv,0.5,om,"Cottle, Joy ""Joy Beth","Tomaszewski, Frank",Clone,3
Alaska_11052024_StateHouseD35.csv,0.5,om,"McNeill, Ruben A. Jr.","Carrick, Ashley E.",Clone,3
Alaska_11052024_StateHouseD36.csv,0.5,om,"Kowalski, Brandon P. ""Putuuqti","Schwanke, Rebecca A.",Clone,5
Alaska_11052024_StateHouseD38.csv,0.5,om,"McCormick, C.J.","Jimmie, Nellie D. ""Unangik",Clone,5
Alaska_11052024_StateHouseD6.csv,0.5,om,"Johnson, Brent","Vance, Sarah L.",Clone,4
Alaska_11052024_StateHouseD8.csv,0.5,om,"Hillyer, John","Elam, Bill",Clone,3
Alaska_11052024_StateHouseD9.csv,0.5,om,"Bauer, Lucy","Holland, Ky",Clone,3
Alaska_11052024_StateSenateD.csv,0.5,om,"Carpenter, Ben","Bjorkman, Jesse J.",Clone,4
Alaska_11052024_StateSenateF.csv,0.5,om,"Park, Janice L.","Kaufman, James D.",Clone,4
Alaska_11052024_StateSenateH.csv,0.5,om,"Vazquez, Liz","Claman, Matt",Clone,3
Alaska_11052024_StateSenateL.csv,0.5,om,"Goecker, Jared D.","Merrick, Kelly R.",Clone,4
Alaska_11052024_StateSenateP.csv,0.5,om,"Hajdukovich, Leslie W.","Kawasaki, Scott",Clone,3
Alaska_11052024_StateSenateR.csv,0.5,om,"Fletcher, Savannah","Cronk, Mike",Clone,4
Alaska_11052024_US_House.csv,0.5,om,"Peltola, Mary S.","Begich, Nick",Clone,5
Alaska_11082022_GovernorLieutenantGovernor.csv,0.5,om,Gara/Cook,Dunleavy/Dahlstrom,Clone,5
Alaska_11082022_HouseDistrict10.csv,0.5,om,"Storm, Caroline","Johnson, Craig W.",Clone,4
Alaska_11082022_HouseDistrict11.csv,0.5,om,"Featherly, Walter T.","Coulombe, Julie",Clone,4
Alaska_11082022_HouseDistrict13.csv,0.5,om,"Henslee, Katherine J. ""Kathy","Josephson, Andy",Clone,3
Alaska_11082022_HouseDistrict15.csv,0.5,om,"Wells, Denny","McKay, Thomas W. ""Tom",Clone,4
Alaska_11082022_HouseDistrict16.csv,0.5,om,"Vazquez, Liz","Armstrong, Jennifer ""Jennie",Clone,3
Alaska_11082022_HouseDistrict18.csv,0.5,om,"Nelson, David","Groh, Cliff",Clone,4
Alaska_11082022_HouseDistrict21.csv,0.5,om,"Wolfe, Forrest M.","Mears, Donna C.",Clone,3
Alaska_11082022_HouseDistrict22.csv,0.5,om,"Eischeid, Ted J.","Wright, Stanley A.",Clone,3
Alaska_11082022_HouseDistrict34.csv,0.5,om,"Hopkins, Grier H.","Tomaszewski, Frank J.",Clone,4
Alaska_11082022_HouseDistrict39.csv,0.5,om,"Ivanoff, Tyler L.","Foster, Neal W.",Clone,3
Alaska_11082022_HouseDistrict6.csv,0.5,om,"Flora, Louis A. ""Louie","Vance, Sarah L.",Clone,4
Alaska_11082022_HouseDistrict7.csv,0.5,om,"Gillham, Ronald D. ""Ron","Ruffridge, Justin",Clone,3
Alaska_11082022_HouseDistrict9.csv,0.5,om,"Schaff, David L.","Shaw, Laddie H.",Clone,3
Alaska_11082022_SenateDistrictD.csv,0.5,om,"Babcock, Tuckerman","Bjorkman, Jesse J.",Clone,4
Alaska_11082022_SenateDistrictF.csv,0.5,om,"Park, Janice L.","Kaufman, James D.",Clone,3
Alaska_11082022_SenateDistrictG.csv,0.5,om,"Sanders, Marcus D.","Gray-Jackson, Elvi",Clone,3
Alaska_11082022_SenateDistrictH.csv,0.5,om,"Costello, Mia","Claman, Matt",Clone,3
Alaska_11082022_SenateDistrictO.csv,0.5,om,"Massie, Doug A.","Shower, Michael K.",Clone,3
Alaska_11082022_SenateDistrictP.csv,0.5,om,"Matherly, Jim","Kawasaki, Scott",Clone,4
Alaska_11082022_USRepresentative.csv,0.5,om,"Palin, Sarah","Peltola, Mary S.","Begich, Nick",5
Alaska_11082022_USSenator.csv,0.5,om,"Tshibaka, Kelly C.","Murkowski, Lisa",Clone,5
Berkeley_05282024_Citycouncildistrict4specialelection.csv,0.5,om,RUBEN STORY,IGOR A. TREGUB,Clone,5
Berkeley_11042014_CityCouncilDistrict8.csv,0.5,om,GEORGE BEIER,LORI DROSTE,Clone,5
Berkeley_11052024_Mayor.csv,0.5,om,SOPHIE HAHN,ADENA ISHII,Clone,6
Berkeley_11062012_CityCouncilDistrict5.csv,0.5,om,SOPHIE HAHN,LAURIE CAPITELLI,Clone,3
Berkeley_11082016_CityCouncilDistrict2.csv,0.5,om,DARRYL MOORE,CHERYL DAVILA,Clone,4
Bloomington_11072023_CityCouncilDistrict4.csv,0.5,om,Isaak Rooble,Victor Rivas,Clone,4
Bloomington_11072023_SpecialCityCouncilAtLarge.csv,0.5,om,Jonathan A. Minks,Chao Moua,Clone,4
Burlington_03052024_Mayor.csv,0.5,om,JOAN SHANNON,EMMA MULVANEY-STANAK,Clone,5
Burlington_03072023_CityCouncilEastDistrict.csv,0.5,om,JAKE SCHUMANN,"TIMOTHY C. DOHERTY,JR",Clone,3
Maine_11062018_CongressionalDistrict2.csv,0.5,om,"REP Poliquin, Bruce","DEM Golden, Jared F.",Clone,5
Maine_11082022_CongressionalDistrict2.csv,0.5,om,"Poliquin, Bruce","Golden, Jared Forrest",Clone,4
Minneapolis_08112020_Ward6CityCouncilSpecialElection.csv,0.5,om,AJ Awed,Jamal Osman,Clone,13
Minneapolis_11022021_CityCouncilWard1.csv,0.5,om,Kevin Reich,Elliott Payne,Clone,5
Minneapolis_11022021_CityCouncilWard2.csv,0.5,om,Yusra Arab,Cam Gordon,Clone,6
