file,percent,borda_type,cloned_candidate,original_winner,new_winner,num_cands
Alaska_11052024_StateHouseD18.csv,0.2,om,"Groh, Cliff","Nelson, David","Groh, Cliff",3
Alaska_11052024_StateHouseD6.csv,0.2,om,"Johnson, Brent","Vance, Sarah L.","Johnson, Brent",4
Alaska_11052024_US_House.csv,0.2,om,"Peltola, Mary S.","Begich, Nick","Peltola, Mary S.",5
Alaska_11082022_HouseDistrict15.csv,0.2,om,"Wells, Denny","McKay, Thomas W. ""Tom","Wells, Denny",4
SanFrancisco_11052024_BoS_D11.csv,0.2,om,MICHAEL LAI,CHYANNE CHEN,MICHAEL LAI,8
Alaska_11052024_StateHouseD11.csv,0.3,om,"Featherly, Walter T.","Coulombe, Julie","Featherly, Walter T.",3
Alaska_11052024_StateHouseD15.csv,0.3,om,"Wells, Denny","Costello, Mia","Wells, Denny",4
Alaska_11052024_StateHouseD18.csv,0.3,om,"Groh, Cliff","Nelson, David","Groh, Cliff",3
Alaska_11052024_StateHouseD27.csv,0.3,om,"Eastman, David","Underwood, Jubilee L.","Eastman, David",3
Alaska_11052024_StateHouseD28.csv,0.3,om,"Menard, Steve","Moore, Elexie","Menard, Steve",4
Alaska_11052024_StateHouseD6.csv,0.3,om,"Johnson, Brent","Vance, Sarah L.","Johnson, Brent",4
Alaska_11052024_StateSenateF.csv,0.3,om,"Park, Janice L.","Kaufman, James D.","Park, Janice L.",4
Alaska_11052024_StateSenateP.csv,0.3,om,"Hajdukovich, Leslie W.","Kawasaki, Scott","Hajdukovich, Leslie W.",3
Alaska_11052024_US_House.csv,0.3,om,"Peltola, Mary S.","Begich, Nick","Peltola, Mary S.",5
Alaska_11082022_HouseDistrict11.csv,0.3,om,"Featherly, Walter T.","Coulombe, Julie","Featherly, Walter T.",4
Alaska_11082022_HouseDistrict15.csv,0.3,om,"Wells, Denny","McKay, Thomas W. ""Tom","Wells, Denny",4
Alaska_11082022_HouseDistrict21.csv,0.3,om,"Wolfe, Forrest M.","Mears, Donna C.","Wolfe, Forrest M.",3
Alaska_11082022_HouseDistrict22.csv,0.3,om,"Eischeid, Ted J.","Wright, Stanley A.","Eischeid, Ted J.",3
Alaska_11082022_HouseDistrict6.csv,0.3,om,"Flora, Louis A. ""Louie","Vance, Sarah L.","Flora, Louis A. ""Louie",4
Alaska_11082022_SenateDistrictH.csv,0.3,om,"Costello, Mia","Claman, Matt","Costello, Mia",3
Maine_11062018_CongressionalDistrict2.csv,0.3,om,"REP Poliquin, Bruce","DEM Golden, Jared F.","REP Poliquin, Bruce",5
Minneapolis_08112020_Ward6CityCouncilSpecialElection.csv,0.3,om,AJ Awed,Jamal Osman,AJ Awed,13
Minneapolis_11072017_ParkBoardAtLarge.csv,0.3,om,Meg Forney,Latrisha Vetaw,Meg Forney,11
Minneapolis_11072017_Ward6CityCouncil.csv,0.3,om,Mohamud Noor,Abdi Warsame,Mohamud Noor,5
Oakland_11022010_Mayor.csv,0.3,om,DON PERATA,JEAN QUAN,DON PERATA,11
PierceCounty_11042008_CountyAssessorTreasurer.csv,0.3,om,Jan Shabro,Dale Washam,Jan Shabro,7
SanFrancisco_11022010_BoardofSupervisorsDistrict2.csv,0.3,om,JANET REILLY,MARK FARRELL,JANET REILLY,7
SanFrancisco_11052024_BoS_D11.csv,0.3,om,MICHAEL LAI,CHYANNE CHEN,MICHAEL LAI,8
SanFrancisco_11062012_BoardofSupervisorsDistrict7.csv,0.3,om,F. X. FRANCIS XAVIER CROWLEY,NORMAN YEE,F. X. FRANCIS XAVIER CROWLEY,10
SanLeandro_11022010_Mayor.csv,0.3,om,ANTHONY B. ''TONY'' SANTOS,STEPHEN H. CASSIDY,ANTHONY B. ''TONY'' SANTOS,7
Alaska_08162022_HouseofRepresentativesSpecial.csv,0.4,om,"Peltola, Mary S.","Begich, Nick","Peltola, Mary S.",4
Alaska_11052024_StateHouseD11.csv,0.4,om,"Featherly, Walter T.","Coulombe, Julie","Featherly, Walter T.",3
Alaska_11052024_StateHouseD13.csv,0.4,om,"Gottshall, Heather","Josephson, Andrew L. ""Andy","Gottshall, Heather",3
Alaska_11052024_StateHouseD15.csv,0.4,om,"Wells, Denny","Costello, Mia","Wells, Denny",4
Alaska_11052024_StateHouseD18.csv,0.4,om,"Groh, Cliff","Nelson, David","Groh, Cliff",3
Alaska_11052024_StateHouseD21.csv,0.4,om,"Sims, Aimée","Mears, Donna C.","Sims, Aimée",3
Alaska_11052024_StateHouseD22.csv,0.4,om,"Wright, Stanley A.","Eischeid, Ted J.","Wright, Stanley A.",3
Alaska_11052024_StateHouseD27.csv,0.4,om,"Eastman, David","Underwood, Jubilee L.","Eastman, David",3
Alaska_11052024_StateHouseD28.csv,0.4,om,"Menard, Steve","Moore, Elexie","Menard, Steve",4
Alaska_11052024_StateHouseD31.csv,0.4,om,"LeBon, Bart","Dibert, Maxine L.","LeBon, Bart",3
Alaska_11052024_StateHouseD35.csv,0.4,om,"McNeill, Ruben A. Jr.","Carrick, Ashley E.","McNeill, Ruben A. Jr.",3
Alaska_11052024_StateHouseD36.csv,0.4,om,"Kowalski, Brandon P. ""Putuuqti","Schwanke, Rebecca A.","Kowalski, Brandon P. ""Putuuqti",5
Alaska_11052024_StateHouseD6.csv,0.4,om,"Johnson, Brent","Vance, Sarah L.","Johnson, Brent",4
Alaska_11052024_StateHouseD8.csv,0.4,om,"Hillyer, John","Elam, Bill","Hillyer, John",3
Alaska_11052024_StateHouseD9.csv,0.4,om,"Bauer, Lucy","Holland, Ky","Bauer, Lucy",3
Alaska_11052024_StateSenateF.csv,0.4,om,"Park, Janice L.","Kaufman, James D.","Park, Janice L.",4
Alaska_11052024_StateSenateH.csv,0.4,om,"Vazquez, Liz","Claman, Matt","Vazquez, Liz",3
Alaska_11052024_StateSenateP.csv,0.4,om,"Hajdukovich, Leslie W.","Kawasaki, Scott","Hajdukovich, Leslie W.",3
Alaska_11052024_StateSenateR.csv,0.4,om,"Fletcher, Savannah","Cronk, Mike","Fletcher, Savannah",4
Alaska_11052024_US_House.csv,0.4,om,"Peltola, Mary S.","Begich, Nick","Peltola, Mary S.",5
Alaska_11082022_HouseDistrict1.csv,0.4,om,"Bynum, Jeremy T.","Ortiz, Daniel H. ""Dan","Bynum, Jeremy T.",3
Alaska_11082022_HouseDistrict10.csv,0.4,om,"Storm, Caroline","Johnson, Craig W.","Storm, Caroline",4
Alaska_11082022_HouseDistrict11.csv,0.4,om,"Featherly, Walter T.","Coulombe, Julie","Featherly, Walter T.",4
Alaska_11082022_HouseDistrict13.csv,0.4,om,"Henslee, Katherine J. ""Kathy","Josephson, Andy","Henslee, Katherine J. ""Kathy",3
Alaska_11082022_HouseDistrict15.csv,0.4,om,"Wells, Denny","McKay, Thomas W. ""Tom","Wells, Denny",4
Alaska_11082022_HouseDistrict16.csv,0.4,om,"Vazquez, Liz","Armstrong, Jennifer ""Jennie","Vazquez, Liz",3
Alaska_11082022_HouseDistrict18.csv,0.4,om,"Nelson, David","Groh, Cliff","Nelson, David",4
Alaska_11082022_HouseDistrict21.csv,0.4,om,"Wolfe, Forrest M.","Mears, Donna C.","Wolfe, Forrest M.",3
Alaska_11082022_HouseDistrict22.csv,0.4,om,"Eischeid, Ted J.","Wright, Stanley A.","Eischeid, Ted J.",3
Alaska_11082022_HouseDistrict34.csv,0.4,om,"Hopkins, Grier H.","Tomaszewski, Frank J.","Hopkins, Grier H.",4
Alaska_11082022_HouseDistrict39.csv,0.4,om,"Ivanoff, Tyler L.","Foster, Neal W.","Ivanoff, Tyler L.",3
Alaska_11082022_HouseDistrict6.csv,0.4,om,"Flora, Louis A. ""Louie","Vance, Sarah L.","Flora, Louis A. ""Louie",4
Alaska_11082022_HouseDistrict7.csv,0.4,om,"Gillham, Ronald D. ""Ron","Ruffridge, Justin","Gillham, Ronald D. ""Ron",3
Alaska_11082022_HouseDistrict9.csv,0.4,om,"Schaff, David L.","Shaw, Laddie H.","Schaff, David L.",3
Alaska_11082022_SenateDistrictF.csv,0.4,om,"Park, Janice L.","Kaufman, James D.","Park, Janice L.",3
Alaska_11082022_SenateDistrictH.csv,0.4,om,"Costello, Mia","Claman, Matt","Costello, Mia",3
Alaska_11082022_SenateDistrictO.csv,0.4,om,"Massie, Doug A.","Shower, Michael K.","Massie, Doug A.",3
Alaska_11082022_USSenator.csv,0.4,om,"Tshibaka, Kelly C.","Murkowski, Lisa","Tshibaka, Kelly C.",5
Berkeley_11042014_CityCouncilDistrict8.csv,0.4,om,GEORGE BEIER,LORI DROSTE,GEORGE BEIER,5
Bloomington_11072023_SpecialCityCouncilAtLarge.csv,0.4,om,Jonathan A. Minks,Chao Moua,Jonathan A. Minks,4
Maine_11062018_CongressionalDistrict2.csv,0.4,om,"REP Poliquin, Bruce","DEM Golden, Jared F.","REP Poliquin, Bruce",5
