file,percent,borda_type,cloned_candidate,original_winner,new_winner,num_cands
SanFrancisco_11032020_BOARDOFSUPERVISORSDISTRICT11.csv,0.1,avg,JASON CHUYUAN ZENG,AHSHA SAFAI,TIED,5
SanFrancisco_11062018_BoardofSupervisorsDistrict10.csv,0.1,avg,WRITE-IN NEO VEAVEA,SHAMANN WALTON,TIED,8
SanFrancisco_11082005_AssessorRecorder.csv,0.1,avg,Anthony Faber,Phil Ting,TIED,5
Eastpointe_11022021_CityCouncil.csv,0.1,om,Rob Baker,Cardi DeMonaco Jr.,TIED,7
SanFrancisco_11032015_Mayor.csv,0.1,om,WRITE-IN - JOHN E. FITCH,ED LEE,TIED,13
SanFrancisco_11032020_BOARDOFSUPERVISORSDISTRICT11.csv,0.1,om,JASON CHUYUAN ZENG,AHSHA SAFAI,TIED,5
SanFrancisco_11062018_BoardofSupervisorsDistrict10.csv,0.1,om,WRITE-IN NEO VEAVEA,SHAMANN WALTON,TIED,8
SanFrancisco_11082005_AssessorRecorder.csv,0.1,om,Anthony Faber,Phil Ting,TIED,5
SanFrancisco_11032015_Mayor.csv,0.1,pm,ED LEE,ED LEE,TIED,13
SanFrancisco_11032020_BOARDOFSUPERVISORSDISTRICT11.csv,0.1,pm,JASON CHUYUAN ZENG,AHSHA SAFAI,TIED,5
SanFrancisco_11062018_BoardofSupervisorsDistrict10.csv,0.1,pm,WRITE-IN NEO VEAVEA,SHAMANN WALTON,TIED,8
SanFrancisco_11082005_AssessorRecorder.csv,0.1,pm,Anthony Faber,Phil Ting,TIED,5
SanFrancisco_11032020_BOARDOFSUPERVISORSDISTRICT11.csv,0.2,avg,JASON CHUYUAN ZENG,AHSHA SAFAI,TIED,5
SanFrancisco_11082005_AssessorRecorder.csv,0.2,avg,Anthony Faber,Phil Ting,TIED,5
TakomaPark_11082022_CityCouncilWard5.csv,0.2,avg,Cara Honzak,Cara Honzak,TIED,4
Eastpointe_11022021_CityCouncil.csv,0.2,om,Rob Baker,Cardi DeMonaco Jr.,TIED,7
SanFrancisco_11032015_Mayor.csv,0.2,om,WRITE-IN - JOHN E. FITCH,ED LEE,TIED,13
SanFrancisco_11032020_BOARDOFSUPERVISORSDISTRICT11.csv,0.2,om,JASON CHUYUAN ZENG,AHSHA SAFAI,TIED,5
SanFrancisco_11082005_AssessorRecorder.csv,0.2,om,Anthony Faber,Phil Ting,TIED,5
SanFrancisco_11032015_Mayor.csv,0.2,pm,ED LEE,ED LEE,TIED,13
SanFrancisco_11032020_BOARDOFSUPERVISORSDISTRICT11.csv,0.2,pm,JASON CHUYUAN ZENG,AHSHA SAFAI,TIED,5
SanFrancisco_11082005_AssessorRecorder.csv,0.2,pm,Anthony Faber,Phil Ting,TIED,5
Eastpointe_11022021_CityCouncil.csv,0.3,om,Rob Baker,Cardi DeMonaco Jr.,TIED,7
SanFrancisco_11032015_Mayor.csv,0.3,om,WRITE-IN - JOHN E. FITCH,ED LEE,TIED,13
SanFrancisco_11032015_Mayor.csv,0.3,pm,ED LEE,ED LEE,TIED,13
Eastpointe_11022021_CityCouncil.csv,0.4,avg,Tonia Gladney,Cardi DeMonaco Jr.,TIED,7
Eastpointe_11022021_CityCouncil.csv,0.4,om,Rob Baker,Cardi DeMonaco Jr.,TIED,7
