election_id,plurality,IRV,top-two,borda-pm,borda-om,borda-avg,top-3-truncation,condorcet,minimax,smith-plurality,smith-irv,smith-minimax,ranked-pairs,bucklin,smith,tvr-om,tvr-avg,tvr-pm,diversity-0,diversity-1,diversity-2,diversity-3,diversity-4,diversity-5,diversity-6,diversity-7,diversity-8,diversity-9,diversity-10
250,"['C']","['C']","['C']","['C']","['C']","['C']","['C']","[]","['C']","['C']","['C']","['C']","['C']","['C']","['A', 'C', 'B']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']"
251,"['C']","['C']","['C']","['C']","['C']","['C']","['C']","[]","['C']","['C']","['C']","['C']","['C']","['C']","['A', 'C', 'B']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']"
252,"['C']","['B']","['B']","['C']","['C']","['C']","['C']","[]","['C']","['C']","['B']","['C']","['C']","['C']","['A', 'C', 'B']","['B']","['B']","['B']","['B']","['B']","['B']","['B']","['B']","['B']","['B']","['B']","['B']","['B']","['B']"
254,"['C']","['B']","['B']","['C']","['C']","['C']","['C']","[]","['C']","['C']","['B']","['C']","['C']","['C']","['A', 'C', 'B']","['C']","['C']","['C']","['B']","['B']","['B']","['B']","['B']","['B']","['B']","['B']","['B']","['B']","['B']"
256,"['A']","['C']","['C']","['C']","['C']","['C']","['C']","[]","['C']","['C']","['C']","['C']","['C']","['C']","['A', 'C', 'B']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']"
258,"['C']","['B']","['C']","['C']","['C']","['C']","['C']","[]","['C']","['C']","['B']","['C']","['C']","['C']","['A', 'C', 'B']","['B']","['B']","['B']","['B']","['B']","['B']","['B']","['B']","['B']","['B']","['B']","['B']","['B']","['B']"
259,"['C']","['C']","['B']","['C']","['C']","['C']","['C']","[]","['C']","['C']","['C']","['C']","['C']","['C']","['A', 'C', 'B']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']"
260,"['C']","['B']","['B']","['C']","['C']","['C']","['C']","[]","['C']","['C']","['B']","['C']","['C']","['C']","['A', 'C', 'B']","['B']","['B']","['B']","['B']","['B']","['B']","['B']","['B']","['B']","['B']","['B']","['B']","['B']","['B']"
261,"['C']","['B']","['C']","['C']","['C']","['C']","['C']","[]","['C']","['C']","['B']","['C']","['C']","['C']","['A', 'C', 'B']","['C']","['C']","['C']","['B']","['B']","['B']","['B']","['B']","['B']","['B']","['B']","['B']","['B']","['B']"
263,"['C']","['C']","['C']","['C']","['C']","['C']","['C']","[]","['C']","['C']","['C']","['C']","['C']","['C']","['A', 'C', 'B']","['B']","['B']","['B']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']"
266,"['C']","['C']","['C']","['C']","['C']","['C']","['C']","[]","['C']","['C']","['C']","['C']","['C']","['C']","['A', 'C', 'B']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']"
267,"['C']","['B']","['B']","['C']","['C']","['C']","['C']","[]","['C']","['C']","['B']","['C']","['C']","['C']","['A', 'C', 'B']","['B']","['B']","['B']","['B']","['B']","['B']","['B']","['B']","['B']","['B']","['B']","['B']","['B']","['B']"
269,"['C']","['C']","['C']","['C']","['C']","['C']","['C']","[]","['C']","['C']","['C']","['C']","['C']","['C']","['A', 'C', 'B']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']"
270,"['C']","['C']","['C']","['C']","['C']","['C']","['C']","[]","['C']","['C']","['C']","['C']","['C']","['C']","['A', 'C', 'B']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']"
271,"['C']","['C']","['C']","['C']","['C']","['C']","['C']","[]","['C']","['C']","['C']","['C']","['C']","['C']","['A', 'C', 'B']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']"
272,"['C']","['C']","['B']","['C']","['C']","['C']","['C']","[]","['C']","['C']","['C']","['C']","['C']","['C']","['A', 'C', 'B']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']"
273,"['C']","['C']","['C']","['C']","['C']","['C']","['C']","[]","['C']","['C']","['C']","['C']","['C']","['C']","['A', 'C', 'B']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']"
274,"['C']","['C']","['C']","['C']","['C']","['C']","['C']","[]","['C']","['C']","['C']","['C']","['C']","['C']","['A', 'C', 'B']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']","['C']"
