election_id,plurality,IRV,top-two,borda-pm,borda-om,borda-avg,top-3-truncation,condorcet,minimax,smith-plurality,smith-irv,smith-minimax,ranked-pairs,bucklin,smith,tvr-om,tvr-avg,tvr-pm,diversity-0,diversity-1,diversity-2,diversity-3,diversity-4,diversity-5,diversity-6,diversity-7,diversity-8,diversity-9,diversity-10
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit0,"['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['PAYNE Julie (UG)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","[]","['PAYNE Julie (UG)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['PAYNE Julie (UG)']","['PAYNE Julie (UG)']","['PAYNE Julie (UG)']","['LEA-BARRETT Janine (UG)', 'PAYNE Julie (UG)', 'ABBOTT Peter (A)']","LEA-BARRETT Janine (UG)","PAYNE Julie (UG)","PAYNE Julie (UG)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","PAYNE Julie (UG)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)"
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit1,"['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","[]","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['PAYNE Julie (UG)']","['LEA-BARRETT Janine (UG)', 'PAYNE Julie (UG)', 'ABBOTT Peter (A)']","LEA-BARRETT Janine (UG)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","LEA-BARRETT Janine (UG)","PAYNE Julie (UG)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)"
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit2,"['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['PAYNE Julie (UG)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['LEA-BARRETT Janine (UG)']","[]","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['PAYNE Julie (UG)']","['LEA-BARRETT Janine (UG)', 'PAYNE Julie (UG)', 'ABBOTT Peter (A)']","LEA-BARRETT Janine (UG)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)"
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit3,"['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","[]","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['PAYNE Julie (UG)']","['LEA-BARRETT Janine (UG)', 'PAYNE Julie (UG)', 'ABBOTT Peter (A)']","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)"
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit4,"['LEA-BARRETT Janine (UG)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","[]","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['PAYNE Julie (UG)']","['LEA-BARRETT Janine (UG)', 'PAYNE Julie (UG)', 'ABBOTT Peter (A)']","LEA-BARRETT Janine (UG)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","LEA-BARRETT Janine (UG)","PAYNE Julie (UG)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)"
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit5,"['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['PAYNE Julie (UG)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['LEA-BARRETT Janine (UG)']","[]","['ABBOTT Peter (A)', 'LEA-BARRETT Janine (UG)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)', 'LEA-BARRETT Janine (UG)']","['LEA-BARRETT Janine (UG)']","['PAYNE Julie (UG)']","['ABBOTT Peter (A)', 'LEA-BARRETT Janine (UG)', 'PAYNE Julie (UG)']","LEA-BARRETT Janine (UG)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","LEA-BARRETT Janine (UG)","PAYNE Julie (UG)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)"
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit6,"['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['PAYNE Julie (UG)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","[]","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['PAYNE Julie (UG)']","['ABBOTT Peter (A)', 'LEA-BARRETT Janine (UG)', 'PAYNE Julie (UG)']","LEA-BARRETT Janine (UG)","ABBOTT Peter (A)","PAYNE Julie (UG)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)"
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit7,"['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['PAYNE Julie (UG)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","[]","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['PAYNE Julie (UG)']","['ABBOTT Peter (A)', 'LEA-BARRETT Janine (UG)', 'PAYNE Julie (UG)']","LEA-BARRETT Janine (UG)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","LEA-BARRETT Janine (UG)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)"
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit8,"['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['PAYNE Julie (UG)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","[]","['LEA-BARRETT Janine (UG)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['LEA-BARRETT Janine (UG)']","['LEA-BARRETT Janine (UG)']","['PAYNE Julie (UG)']","['ABBOTT Peter (A)', 'LEA-BARRETT Janine (UG)', 'PAYNE Julie (UG)']","LEA-BARRETT Janine (UG)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","LEA-BARRETT Janine (UG)","PAYNE Julie (UG)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)"
NSW_Local_Government_2016_Cobar_Shire_Council 12 seats.csv__hit9,"['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['PAYNE Julie (UG)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","[]","['LEA-BARRETT Janine (UG)']","['ABBOTT Peter (A)']","['ABBOTT Peter (A)']","['LEA-BARRETT Janine (UG)']","['LEA-BARRETT Janine (UG)']","['PAYNE Julie (UG)']","['ABBOTT Peter (A)', 'LEA-BARRETT Janine (UG)', 'PAYNE Julie (UG)']","LEA-BARRETT Janine (UG)","LEA-BARRETT Janine (UG)","TIED","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","LEA-BARRETT Janine (UG)","PAYNE Julie (UG)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)","ABBOTT Peter (A)"
