election_id,num_candidates,total_ballot_weight,expected_rows
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit0",5,1992.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit1",5,1994.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit2",5,1994.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit3",5,1991.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit4",5,1995.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit5",5,1993.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit6",5,1992.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit7",5,1988.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit8",5,1999.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit9",5,1990.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit10",5,1992.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit11",5,1996.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit12",5,1990.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit13",5,1990.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit14",5,1991.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit15",5,1992.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit16",5,1993.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit17",5,1991.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit18",5,1993.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit19",5,1994.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit20",5,1994.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit21",5,1997.0,21
"NSW_Local_Government_2016_Cobar_Shire_Council, 12 seats.csv__hit22",5,1992.0,21
