election_id,plurality,IRV,top-two,borda-pm,borda-om,borda-avg,top-3-truncation,condorcet,minimax,smith-plurality,smith-irv,smith-minimax,ranked-pairs,bucklin,smith,tvr-om,tvr-avg,tvr-pm,diversity-0,diversity-1,diversity-2,diversity-3,diversity-4,diversity-5,diversity-6,diversity-7,diversity-8,diversity-9,diversity-10
CastleWard_stirling12-04.csv__hit0,"['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","[]","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['John HENDRY (Lab)', 'Johanna BOYD (Lab)', 'Jim THOMSON (SNP)']","Johanna BOYD (Lab)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Johanna BOYD (Lab)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)"
CastleWard_stirling12-04.csv__hit1,"['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","[]","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['John HENDRY (Lab)', 'Johanna BOYD (Lab)', 'Jim THOMSON (SNP)']","Johanna BOYD (Lab)","John HENDRY (Lab)","John HENDRY (Lab)","John HENDRY (Lab)","John HENDRY (Lab)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Johanna BOYD (Lab)","John HENDRY (Lab)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)"
CastleWard_stirling12-04.csv__hit2,"['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","[]","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['John HENDRY (Lab)', 'Johanna BOYD (Lab)', 'Jim THOMSON (SNP)']","Johanna BOYD (Lab)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","John HENDRY (Lab)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)"
CastleWard_stirling12-04.csv__hit3,"['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","[]","['Johanna BOYD (Lab)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Johanna BOYD (Lab)']","['Johanna BOYD (Lab)']","['John HENDRY (Lab)']","['John HENDRY (Lab)', 'Johanna BOYD (Lab)', 'Jim THOMSON (SNP)']","Johanna BOYD (Lab)","Johanna BOYD (Lab)","John HENDRY (Lab)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","John HENDRY (Lab)","John HENDRY (Lab)","Johanna BOYD (Lab)","Johanna BOYD (Lab)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)"
CastleWard_stirling12-04.csv__hit4,"['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","[]","['Johanna BOYD (Lab)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Johanna BOYD (Lab)']","['Johanna BOYD (Lab)']","['Jim THOMSON (SNP)']","['John HENDRY (Lab)', 'Johanna BOYD (Lab)', 'Jim THOMSON (SNP)']","Johanna BOYD (Lab)","Johanna BOYD (Lab)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Johanna BOYD (Lab)","Jim THOMSON (SNP)","Johanna BOYD (Lab)","Johanna BOYD (Lab)","John HENDRY (Lab)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)"
CastleWard_stirling12-04.csv__hit5,"['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['John HENDRY (Lab)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","[]","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Johanna BOYD (Lab)', 'John HENDRY (Lab)', 'Jim THOMSON (SNP)']","Johanna BOYD (Lab)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","John HENDRY (Lab)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)"
CastleWard_stirling12-04.csv__hit6,"['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","[]","['John HENDRY (Lab)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['John HENDRY (Lab)']","['John HENDRY (Lab)']","['Jim THOMSON (SNP)']","['Johanna BOYD (Lab)', 'John HENDRY (Lab)', 'Jim THOMSON (SNP)']","Johanna BOYD (Lab)","John HENDRY (Lab)","John HENDRY (Lab)","John HENDRY (Lab)","John HENDRY (Lab)","John HENDRY (Lab)","John HENDRY (Lab)","Johanna BOYD (Lab)","John HENDRY (Lab)","John HENDRY (Lab)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)"
CastleWard_stirling12-04.csv__hit7,"['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","[]","['John HENDRY (Lab)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['John HENDRY (Lab)']","['John HENDRY (Lab)']","['John HENDRY (Lab)']","['Johanna BOYD (Lab)', 'John HENDRY (Lab)', 'Jim THOMSON (SNP)']","Johanna BOYD (Lab)","John HENDRY (Lab)","John HENDRY (Lab)","Jim THOMSON (SNP)","John HENDRY (Lab)","Jim THOMSON (SNP)","John HENDRY (Lab)","Johanna BOYD (Lab)","John HENDRY (Lab)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)"
CastleWard_stirling12-04.csv__hit8,"['Jim THOMSON (SNP)']","['John HENDRY (Lab)']","['John HENDRY (Lab)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","[]","['John HENDRY (Lab)']","['Jim THOMSON (SNP)']","['John HENDRY (Lab)']","['John HENDRY (Lab)']","['John HENDRY (Lab)']","['John HENDRY (Lab)']","['Johanna BOYD (Lab)', 'John HENDRY (Lab)', 'Jim THOMSON (SNP)']","Johanna BOYD (Lab)","John HENDRY (Lab)","TIED","Jim THOMSON (SNP)","John HENDRY (Lab)","John HENDRY (Lab)","John HENDRY (Lab)","John HENDRY (Lab)","John HENDRY (Lab)","John HENDRY (Lab)","John HENDRY (Lab)","John HENDRY (Lab)","John HENDRY (Lab)","John HENDRY (Lab)"
CastleWard_stirling12-04.csv__hit9,"['Jim THOMSON (SNP)']","['John HENDRY (Lab)']","['John HENDRY (Lab)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","[]","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Jim THOMSON (SNP)']","['Johanna BOYD (Lab)', 'John HENDRY (Lab)', 'Jim THOMSON (SNP)']","Johanna BOYD (Lab)","Jim THOMSON (SNP)","John HENDRY (Lab)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Johanna BOYD (Lab)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)","Jim THOMSON (SNP)"
