election_id,plurality,IRV,top-two,borda-pm,borda-om,borda-avg,top-3-truncation,condorcet,minimax,smith-plurality,smith-irv,smith-minimax,ranked-pairs,bucklin,smith,tvr-om,tvr-avg,tvr-pm,diversity-0,diversity-1,diversity-2,diversity-3,diversity-4,diversity-5,diversity-6,diversity-7,diversity-8,diversity-9,diversity-10
Minneapolis_11022021_CityCouncilWard2.csv__hit0,"['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","[]","['Robin Wonsley Worlobah']","['Yusra Arab']","['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Yusra Arab']","['Cam Gordon', 'Robin Wonsley Worlobah', 'Yusra Arab']","Cam Gordon","Cam Gordon","Yusra Arab","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Cam Gordon","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Yusra Arab","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Yusra Arab","Robin Wonsley Worlobah"
Minneapolis_11022021_CityCouncilWard2.csv__hit1,"['Robin Wonsley Worlobah']","['Yusra Arab']","['Robin Wonsley Worlobah']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","[]","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Cam Gordon', 'Robin Wonsley Worlobah', 'Yusra Arab']","Cam Gordon","Yusra Arab","Yusra Arab","Yusra Arab","Yusra Arab","Cam Gordon","Cam Gordon","Robin Wonsley Worlobah","Yusra Arab","Yusra Arab","Yusra Arab","Yusra Arab","Yusra Arab","Yusra Arab"
Minneapolis_11022021_CityCouncilWard2.csv__hit2,"['Robin Wonsley Worlobah']","['Yusra Arab']","['Robin Wonsley Worlobah']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","[]","['Cam Gordon']","['Yusra Arab']","['Yusra Arab']","['Cam Gordon']","['Cam Gordon']","['Yusra Arab']","['Cam Gordon', 'Robin Wonsley Worlobah', 'Yusra Arab']","Cam Gordon","Yusra Arab","Yusra Arab","Yusra Arab","Yusra Arab","Cam Gordon","Cam Gordon","Robin Wonsley Worlobah","Yusra Arab","Yusra Arab","Yusra Arab","Yusra Arab","Yusra Arab","Yusra Arab"
Minneapolis_11022021_CityCouncilWard2.csv__hit3,"['Robin Wonsley Worlobah']","['Yusra Arab']","['Cam Gordon']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","[]","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Cam Gordon', 'Robin Wonsley Worlobah', 'Yusra Arab']","Cam Gordon","Yusra Arab","Yusra Arab","Yusra Arab","Yusra Arab","Cam Gordon","Cam Gordon","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Yusra Arab","Yusra Arab","Cam Gordon","Yusra Arab","Yusra Arab"
Minneapolis_11022021_CityCouncilWard2.csv__hit4,"['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","[]","['Robin Wonsley Worlobah']","['Yusra Arab']","['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Yusra Arab']","['Cam Gordon', 'Robin Wonsley Worlobah', 'Yusra Arab']","Cam Gordon","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Yusra Arab","Robin Wonsley Worlobah","Cam Gordon","Cam Gordon","Cam Gordon","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Robin Wonsley Worlobah"
Minneapolis_11022021_CityCouncilWard2.csv__hit5,"['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","[]","['Robin Wonsley Worlobah']","['Yusra Arab']","['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Yusra Arab']","['Cam Gordon', 'Robin Wonsley Worlobah', 'Yusra Arab']","Cam Gordon","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Cam Gordon","Cam Gordon","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Yusra Arab","Robin Wonsley Worlobah"
Minneapolis_11022021_CityCouncilWard2.csv__hit6,"['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","[]","['Cam Gordon']","['Yusra Arab']","['Robin Wonsley Worlobah']","['Cam Gordon']","['Cam Gordon']","['Yusra Arab']","['Cam Gordon', 'Robin Wonsley Worlobah', 'Yusra Arab']","Cam Gordon","Yusra Arab","Yusra Arab","Yusra Arab","Robin Wonsley Worlobah","Cam Gordon","Cam Gordon","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Cam Gordon","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Yusra Arab"
Minneapolis_11022021_CityCouncilWard2.csv__hit7,"['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","[]","['Yusra Arab']","['Yusra Arab']","['Robin Wonsley Worlobah']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Cam Gordon', 'Robin Wonsley Worlobah', 'Yusra Arab']","Cam Gordon","Robin Wonsley Worlobah","Yusra Arab","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Cam Gordon","Cam Gordon","Cam Gordon","Robin Wonsley Worlobah","Cam Gordon","Yusra Arab","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Robin Wonsley Worlobah"
Minneapolis_11022021_CityCouncilWard2.csv__hit8,"['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","[]","['Robin Wonsley Worlobah']","['Yusra Arab']","['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Yusra Arab']","['Cam Gordon', 'Robin Wonsley Worlobah', 'Yusra Arab']","Cam Gordon","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Cam Gordon","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Yusra Arab","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Yusra Arab","Yusra Arab"
Minneapolis_11022021_CityCouncilWard2.csv__hit9,"['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","[]","['Robin Wonsley Worlobah']","['Yusra Arab']","['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Yusra Arab']","['Cam Gordon', 'Robin Wonsley Worlobah', 'Yusra Arab']","Cam Gordon","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Cam Gordon","Cam Gordon","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Cam Gordon","Yusra Arab","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Robin Wonsley Worlobah"
Minneapolis_11022021_CityCouncilWard2.csv__hit10,"['Yusra Arab']","['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","[]","['Yusra Arab']","['Yusra Arab']","['Robin Wonsley Worlobah']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Cam Gordon', 'Robin Wonsley Worlobah', 'Yusra Arab']","Cam Gordon","Robin Wonsley Worlobah","Yusra Arab","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Cam Gordon","Cam Gordon","Robin Wonsley Worlobah","Yusra Arab","Yusra Arab","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Yusra Arab","Robin Wonsley Worlobah"
Minneapolis_11022021_CityCouncilWard2.csv__hit11,"['Robin Wonsley Worlobah']","['Yusra Arab']","['Cam Gordon']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","[]","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Cam Gordon', 'Robin Wonsley Worlobah', 'Yusra Arab']","Cam Gordon","Yusra Arab","Yusra Arab","Yusra Arab","Yusra Arab","Cam Gordon","Cam Gordon","Cam Gordon","Yusra Arab","Yusra Arab","Yusra Arab","Yusra Arab","Yusra Arab","Yusra Arab"
Minneapolis_11022021_CityCouncilWard2.csv__hit12,"['Yusra Arab']","['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","[]","['Cam Gordon']","['Yusra Arab']","['Robin Wonsley Worlobah']","['Cam Gordon']","['Cam Gordon']","['Yusra Arab']","['Cam Gordon', 'Robin Wonsley Worlobah', 'Yusra Arab']","Cam Gordon","Cam Gordon","Yusra Arab","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Cam Gordon","Cam Gordon","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Yusra Arab","Yusra Arab"
Minneapolis_11022021_CityCouncilWard2.csv__hit13,"['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","[]","['Cam Gordon']","['Yusra Arab']","['Robin Wonsley Worlobah']","['Cam Gordon']","['Cam Gordon']","['Yusra Arab']","['Cam Gordon', 'Robin Wonsley Worlobah', 'Yusra Arab']","Cam Gordon","Cam Gordon","Yusra Arab","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Cam Gordon","Cam Gordon","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Yusra Arab","Yusra Arab","Robin Wonsley Worlobah"
Minneapolis_11022021_CityCouncilWard2.csv__hit14,"['Yusra Arab']","['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","[]","['Yusra Arab']","['Yusra Arab']","['Robin Wonsley Worlobah']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Cam Gordon', 'Robin Wonsley Worlobah', 'Yusra Arab']","Cam Gordon","Yusra Arab","Yusra Arab","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Cam Gordon","Cam Gordon","Robin Wonsley Worlobah","Yusra Arab","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Yusra Arab","Yusra Arab"
Minneapolis_11022021_CityCouncilWard2.csv__hit15,"['Yusra Arab']","['Yusra Arab']","['Robin Wonsley Worlobah']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","[]","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Cam Gordon', 'Robin Wonsley Worlobah', 'Yusra Arab']","Cam Gordon","Yusra Arab","Yusra Arab","Yusra Arab","Yusra Arab","Cam Gordon","Cam Gordon","Robin Wonsley Worlobah","Yusra Arab","Yusra Arab","Yusra Arab","Yusra Arab","Yusra Arab","Yusra Arab"
Minneapolis_11022021_CityCouncilWard2.csv__hit16,"['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","[]","['Robin Wonsley Worlobah']","['Yusra Arab']","['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Yusra Arab']","['Cam Gordon', 'Robin Wonsley Worlobah', 'Yusra Arab']","Cam Gordon","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Cam Gordon","Cam Gordon","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Yusra Arab","Robin Wonsley Worlobah"
Minneapolis_11022021_CityCouncilWard2.csv__hit17,"['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","[]","['Cam Gordon']","['Yusra Arab']","['Robin Wonsley Worlobah']","['Cam Gordon']","['Cam Gordon']","['Yusra Arab']","['Cam Gordon', 'Robin Wonsley Worlobah', 'Yusra Arab']","Cam Gordon","Yusra Arab","Yusra Arab","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Cam Gordon","Cam Gordon","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Yusra Arab","Yusra Arab","Robin Wonsley Worlobah","Yusra Arab"
Minneapolis_11022021_CityCouncilWard2.csv__hit18,"['Robin Wonsley Worlobah']","['Yusra Arab']","['Robin Wonsley Worlobah']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","[]","['Cam Gordon']","['Yusra Arab']","['Yusra Arab']","['Cam Gordon']","['Cam Gordon']","['Yusra Arab']","['Cam Gordon', 'Robin Wonsley Worlobah', 'Yusra Arab']","Cam Gordon","Yusra Arab","Yusra Arab","Yusra Arab","Yusra Arab","Cam Gordon","Cam Gordon","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Yusra Arab","Yusra Arab","Yusra Arab","Yusra Arab","Yusra Arab"
Minneapolis_11022021_CityCouncilWard2.csv__hit19,"['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","[]","['Yusra Arab']","['Yusra Arab']","['Robin Wonsley Worlobah']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Cam Gordon', 'Robin Wonsley Worlobah', 'Yusra Arab']","Cam Gordon","Robin Wonsley Worlobah","Yusra Arab","Yusra Arab","Robin Wonsley Worlobah","Cam Gordon","Cam Gordon","Cam Gordon","Robin Wonsley Worlobah","Yusra Arab","Yusra Arab","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Robin Wonsley Worlobah"
Minneapolis_11022021_CityCouncilWard2.csv__hit20,"['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","[]","['Yusra Arab', 'Robin Wonsley Worlobah']","['Yusra Arab']","['Robin Wonsley Worlobah']","['Yusra Arab', 'Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Yusra Arab']","['Cam Gordon', 'Robin Wonsley Worlobah', 'Yusra Arab']","Cam Gordon","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Cam Gordon","Cam Gordon","Cam Gordon","Robin Wonsley Worlobah","Yusra Arab","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Robin Wonsley Worlobah"
Minneapolis_11022021_CityCouncilWard2.csv__hit21,"['Yusra Arab']","['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","[]","['Yusra Arab']","['Yusra Arab']","['Robin Wonsley Worlobah']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Cam Gordon', 'Robin Wonsley Worlobah', 'Yusra Arab']","Cam Gordon","Robin Wonsley Worlobah","Yusra Arab","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Cam Gordon","Cam Gordon","Cam Gordon","Robin Wonsley Worlobah","Yusra Arab","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Robin Wonsley Worlobah"
Minneapolis_11022021_CityCouncilWard2.csv__hit22,"['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","['Yusra Arab']","[]","['Robin Wonsley Worlobah']","['Yusra Arab']","['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Robin Wonsley Worlobah']","['Yusra Arab']","['Cam Gordon', 'Robin Wonsley Worlobah', 'Yusra Arab']","Cam Gordon","Robin Wonsley Worlobah","TIED","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Cam Gordon","Cam Gordon","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Robin Wonsley Worlobah","Yusra Arab"
