file,threshold,winner,rounds
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.0,Ian DICKSON (SNP),6
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.01,John Kelly MILLAR (Lab),6
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.02,John Kelly MILLAR (Lab),6
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.03,John Kelly MILLAR (Lab),6
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.04,John Kelly MILLAR (Lab),7
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.05,John Kelly MILLAR (Lab),7
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.06,John Kelly MILLAR (Lab),6
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.07,John Kelly MILLAR (Lab),6
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.08,John Kelly MILLAR (Lab),6
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.09,John Kelly MILLAR (Lab),6
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.1,John Kelly MILLAR (Lab),6
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.11,John Kelly MILLAR (Lab),6
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.12,John Kelly MILLAR (Lab),6
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.13,John Kelly MILLAR (Lab),6
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.14,John Kelly MILLAR (Lab),6
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.15,John Kelly MILLAR (Lab),6
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.16,John Kelly MILLAR (Lab),6
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.17,John Kelly MILLAR (Lab),6
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.18,John Kelly MILLAR (Lab),6
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.19,John Kelly MILLAR (Lab),6
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.2,John Kelly MILLAR (Lab),6
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.21,John Kelly MILLAR (Lab),6
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.22,John Kelly MILLAR (Lab),6
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.23,John Kelly MILLAR (Lab),6
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.24,John Kelly MILLAR (Lab),6
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.25,John Kelly MILLAR (Lab),6
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.26,John Kelly MILLAR (Lab),6
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.27,John Kelly MILLAR (Lab),6
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.28,John Kelly MILLAR (Lab),6
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.29,John Kelly MILLAR (Lab),6
govan_govan.csv,0.0,# ALTERNATIVE NAME 6: Allison Hunter (SNP),10
govan_govan.csv,0.01,# ALTERNATIVE NAME 3: Stephen Dornan (Lab),10
govan_govan.csv,0.02,# ALTERNATIVE NAME 3: Stephen Dornan (Lab),9
govan_govan.csv,0.03,# ALTERNATIVE NAME 3: Stephen Dornan (Lab),9
govan_govan.csv,0.04,# ALTERNATIVE NAME 4: John Flanagan (Lab),10
govan_govan.csv,0.05,# ALTERNATIVE NAME 6: Allison Hunter (SNP),10
govan_govan.csv,0.06,# ALTERNATIVE NAME 6: Allison Hunter (SNP),10
govan_govan.csv,0.07,# ALTERNATIVE NAME 6: Allison Hunter (SNP),10
govan_govan.csv,0.08,# ALTERNATIVE NAME 6: Allison Hunter (SNP),10
govan_govan.csv,0.09,# ALTERNATIVE NAME 6: Allison Hunter (SNP),10
govan_govan.csv,0.1,# ALTERNATIVE NAME 6: Allison Hunter (SNP),10
govan_govan.csv,0.11,# ALTERNATIVE NAME 6: Allison Hunter (SNP),10
govan_govan.csv,0.12,# ALTERNATIVE NAME 6: Allison Hunter (SNP),10
govan_govan.csv,0.13,# ALTERNATIVE NAME 6: Allison Hunter (SNP),10
govan_govan.csv,0.14,# ALTERNATIVE NAME 6: Allison Hunter (SNP),10
govan_govan.csv,0.15,# ALTERNATIVE NAME 6: Allison Hunter (SNP),10
govan_govan.csv,0.16,# ALTERNATIVE NAME 6: Allison Hunter (SNP),10
govan_govan.csv,0.17,# ALTERNATIVE NAME 6: Allison Hunter (SNP),10
govan_govan.csv,0.18,# ALTERNATIVE NAME 6: Allison Hunter (SNP),10
govan_govan.csv,0.19,# ALTERNATIVE NAME 6: Allison Hunter (SNP),10
govan_govan.csv,0.2,# ALTERNATIVE NAME 6: Allison Hunter (SNP),10
govan_govan.csv,0.21,# ALTERNATIVE NAME 6: Allison Hunter (SNP),10
govan_govan.csv,0.22,# ALTERNATIVE NAME 6: Allison Hunter (SNP),10
govan_govan.csv,0.23,# ALTERNATIVE NAME 6: Allison Hunter (SNP),10
govan_govan.csv,0.24,# ALTERNATIVE NAME 6: Allison Hunter (SNP),10
govan_govan.csv,0.25,# ALTERNATIVE NAME 6: Allison Hunter (SNP),10
govan_govan.csv,0.26,# ALTERNATIVE NAME 6: Allison Hunter (SNP),10
govan_govan.csv,0.27,# ALTERNATIVE NAME 6: Allison Hunter (SNP),10
govan_govan.csv,0.28,# ALTERNATIVE NAME 6: Allison Hunter (SNP),10
govan_govan.csv,0.29,# ALTERNATIVE NAME 6: Allison Hunter (SNP),10
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.0,Ian SLOAN (Lab),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.01,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.02,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.03,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.04,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.05,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.06,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.07,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.08,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.09,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.1,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.11,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.12,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.13,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.14,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.15,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.16,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.17,Ross VETTRAINO (SNP),6
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.18,Ross VETTRAINO (SNP),6
