Unnamed: 0,file,threshold,winner,rounds,candsLeft,numCands
0,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.0,John Kelly MILLAR (Lab),5,4,8
1,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.001,John Kelly MILLAR (Lab),5,4,8
2,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.002,John Kelly MILLAR (Lab),6,3,8
3,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.003,John Kelly MILLAR (Lab),6,3,8
4,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.004,John Kelly MILLAR (Lab),6,3,8
5,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.005,John Kelly MILLAR (Lab),6,3,8
6,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.006,John Kelly MILLAR (Lab),6,3,8
7,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.007,John Kelly MILLAR (Lab),6,3,8
8,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.008,John Kelly MILLAR (Lab),6,3,8
9,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.009,John Kelly MILLAR (Lab),6,3,8
10,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.01,John Kelly MILLAR (Lab),6,3,8
11,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.011,John Kelly MILLAR (Lab),6,3,8
12,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.012,John Kelly MILLAR (Lab),6,3,8
13,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.013,John Kelly MILLAR (Lab),6,3,8
14,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.014,John Kelly MILLAR (Lab),6,3,8
15,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.015,John Kelly MILLAR (Lab),6,3,8
16,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.016,John Kelly MILLAR (Lab),6,3,8
17,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.017,John Kelly MILLAR (Lab),6,3,8
18,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.018,John Kelly MILLAR (Lab),6,3,8
19,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.019,John Kelly MILLAR (Lab),7,2,8
20,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.02,John Kelly MILLAR (Lab),7,2,8
21,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.021,John Kelly MILLAR (Lab),7,2,8
22,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.022,John Kelly MILLAR (Lab),6,3,8
23,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.023,John Kelly MILLAR (Lab),6,3,8
24,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.024,John Kelly MILLAR (Lab),6,3,8
25,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.025,John Kelly MILLAR (Lab),6,3,8
26,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.026,John Kelly MILLAR (Lab),6,3,8
27,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.027,John Kelly MILLAR (Lab),6,3,8
28,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.028,John Kelly MILLAR (Lab),6,3,8
29,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.029,John Kelly MILLAR (Lab),6,3,8
30,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.03,John Kelly MILLAR (Lab),6,3,8
31,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.031,John Kelly MILLAR (Lab),6,3,8
32,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.032,John Kelly MILLAR (Lab),6,3,8
33,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.033,John Kelly MILLAR (Lab),6,3,8
34,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.034,John Kelly MILLAR (Lab),6,3,8
35,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.035,John Kelly MILLAR (Lab),7,2,8
36,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.036,John Kelly MILLAR (Lab),6,3,8
37,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.037,John Kelly MILLAR (Lab),6,3,8
38,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.038,John Kelly MILLAR (Lab),6,3,8
39,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.039,John Kelly MILLAR (Lab),6,3,8
40,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.04,John Kelly MILLAR (Lab),6,3,8
41,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.041,John Kelly MILLAR (Lab),6,3,8
42,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.042,John Kelly MILLAR (Lab),6,3,8
43,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.043,John Kelly MILLAR (Lab),6,3,8
44,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.044,John Kelly MILLAR (Lab),6,3,8
45,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.045,John Kelly MILLAR (Lab),6,3,8
46,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.046,John Kelly MILLAR (Lab),6,3,8
47,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.047,John Kelly MILLAR (Lab),6,3,8
48,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.048,John Kelly MILLAR (Lab),6,3,8
49,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.049,John Kelly MILLAR (Lab),6,3,8
50,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.05,John Kelly MILLAR (Lab),6,3,8
51,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.051,John Kelly MILLAR (Lab),6,3,8
52,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.052,John Kelly MILLAR (Lab),6,3,8
53,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.053,John Kelly MILLAR (Lab),6,3,8
54,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.054,John Kelly MILLAR (Lab),6,3,8
55,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.055,John Kelly MILLAR (Lab),6,3,8
56,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.056,John Kelly MILLAR (Lab),6,3,8
57,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.057,John Kelly MILLAR (Lab),6,3,8
58,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.058,John Kelly MILLAR (Lab),6,3,8
59,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.059,John Kelly MILLAR (Lab),6,3,8
60,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.06,John Kelly MILLAR (Lab),6,3,8
61,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.061,John Kelly MILLAR (Lab),6,3,8
62,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.062,John Kelly MILLAR (Lab),6,3,8
63,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.063,John Kelly MILLAR (Lab),6,3,8
64,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.064,John Kelly MILLAR (Lab),7,2,8
65,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.065,John Kelly MILLAR (Lab),7,2,8
66,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.066,John Kelly MILLAR (Lab),7,2,8
67,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.067,John Kelly MILLAR (Lab),7,2,8
68,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.068,John Kelly MILLAR (Lab),7,2,8
69,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.069,John Kelly MILLAR (Lab),7,2,8
70,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.07,John Kelly MILLAR (Lab),7,2,8
71,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.071,John Kelly MILLAR (Lab),7,2,8
72,Ward2-Leven_west dunbartonshire2022ward 2.csv,0.072,John Kelly MILLAR (Lab),7,2,8
