file,threshold,winner
BallotPaperDetails-Brighton with candidates.csv,OM,James Newbury
BallotPaperDetails-Brighton with candidates.csv,PM,James Newbury
BallotPaperDetails-Brighton with candidates.csv,AVG,James Newbury
BallotPaperDetails-Northcote with candidates.csv,OM,Kat Theophanous
BallotPaperDetails-Northcote with candidates.csv,PM,Kat Theophanous
BallotPaperDetails-Northcote with candidates.csv,AVG,Kat Theophanous
BallotPaperDetails-Werribee with candidates.csv,OM,Tim Pallas
BallotPaperDetails-Werribee with candidates.csv,PM,Tim Pallas
BallotPaperDetails-Point Cook with candidates.csv,OM,Mathew Hilakari
BallotPaperDetails-Point Cook with candidates.csv,PM,Mathew Hilakari
BallotPaperDetails-Hawthorn with candidates.csv,OM,John Pesutto
BallotPaperDetails-Hawthorn with candidates.csv,PM,John Pesutto
BallotPaperDetails-Hawthorn with candidates.csv,AVG,John Pesutto
BallotPaperDetails-Preston with Candidates.csv,OM,Nathan Lambert
BallotPaperDetails-Preston with Candidates.csv,PM,Nathan Lambert
BallotPaperDetails-Preston with Candidates.csv,AVG,Nathan Lambert
BallotPaperDetails-Melton with candidates.csv,OM,Steve McGhie
BallotPaperDetails-Melton with candidates.csv,PM,Steve McGhie
Ballina-mayoral-finalpreferencedatafile (1).csv,OM,CADWALLADER Sharon
Ballina-mayoral-finalpreferencedatafile (1).csv,PM,CADWALLADER Sharon
Ballina-mayoral-finalpreferencedatafile (1).csv,AVG,CADWALLADER Sharon
The_Hills_Shire-mayoral-finalpreferencedatafile.csv,OM,GANGEMI Peter
The_Hills_Shire-mayoral-finalpreferencedatafile.csv,PM,GANGEMI Peter
The_Hills_Shire-mayoral-finalpreferencedatafile.csv,AVG,GANGEMI Peter
Nambucca_Valley-mayoral-finalpreferencedatafile.csv,OM,HOBAN Rhonda
Nambucca_Valley-mayoral-finalpreferencedatafile.csv,PM,HOBAN Rhonda
Nambucca_Valley-mayoral-finalpreferencedatafile.csv,AVG,HOBAN Rhonda
City_of_Sydney-mayoral-finalpreferencedatafile.csv,OM,MOORE Clover
City_of_Sydney-mayoral-finalpreferencedatafile.csv,PM,MOORE Clover
City_of_Sydney-mayoral-finalpreferencedatafile.csv,AVG,MOORE Clover
City_of_Coffs_Harbour-mayoral-finalpreferencedatafile.csv,OM,AMOS Paul
City_of_Coffs_Harbour-mayoral-finalpreferencedatafile.csv,PM,AMOS Paul
City_of_Coffs_Harbour-mayoral-finalpreferencedatafile.csv,AVG,AMOS Paul
City_of_Lismore-mayoral-finalpreferencedatafile.csv,OM,KRIEG Steve
City_of_Lismore-mayoral-finalpreferencedatafile.csv,PM,KRIEG Steve
City_of_Lismore-mayoral-finalpreferencedatafile.csv,AVG,KRIEG Steve
Eurobodalla-mayoral-finalpreferencedatafile.csv,OM,HATCHER Mat
Eurobodalla-mayoral-finalpreferencedatafile.csv,PM,HATCHER Mat
Eurobodalla-mayoral-finalpreferencedatafile.csv,AVG,HATCHER Mat
City_of_Shellharbour-mayoral-finalpreferencedatafile.csv,OM,HOMER Chris
City_of_Shellharbour-mayoral-finalpreferencedatafile.csv,PM,HOMER Chris
City_of_Shellharbour-mayoral-finalpreferencedatafile.csv,AVG,HOMER Chris
Singleton-mayoral-finalpreferencedatafile.csv,OM,MOORE Sue
Singleton-mayoral-finalpreferencedatafile.csv,PM,MOORE Sue
Singleton-mayoral-finalpreferencedatafile.csv,AVG,MOORE Sue
Uralla-mayoral-finalpreferencedatafile.csv,OM,BELL Robert
Uralla-mayoral-finalpreferencedatafile.csv,PM,BELL Robert
Uralla-mayoral-finalpreferencedatafile.csv,AVG,BELL Robert
City_of_Shoalhaven-mayoral-finalpreferencedatafile.csv,OM,FINDLEY Amanda
City_of_Shoalhaven-mayoral-finalpreferencedatafile.csv,PM,FINDLEY Amanda
City_of_Shoalhaven-mayoral-finalpreferencedatafile.csv,AVG,FINDLEY Amanda
Port_Macquarie-Hastings-mayoral-finalpreferencedatafile.csv,OM,PINSON Peta
Port_Macquarie-Hastings-mayoral-finalpreferencedatafile.csv,PM,PINSON Peta
Port_Macquarie-Hastings-mayoral-finalpreferencedatafile.csv,AVG,PINSON Peta
Richmond_Valley-mayoral-finalpreferencedatafile.csv,OM,MUSTOW Robert
Richmond_Valley-mayoral-finalpreferencedatafile.csv,PM,MUSTOW Robert
Richmond_Valley-mayoral-finalpreferencedatafile.csv,AVG,MUSTOW Robert
City_of_Lake_Macquarie-mayoral-finalpreferencedatafile.csv,OM,FRASER Kay
City_of_Lake_Macquarie-mayoral-finalpreferencedatafile.csv,PM,FRASER Kay
City_of_Lake_Macquarie-mayoral-finalpreferencedatafile.csv,AVG,FRASER Kay
Port_Stephens-mayoral-finalpreferencedatafile.csv,OM,PALMER Ryan
Port_Stephens-mayoral-finalpreferencedatafile.csv,PM,PALMER Ryan
Port_Stephens-mayoral-finalpreferencedatafile.csv,AVG,PALMER Ryan
Wollondilly-mayoral-finalpreferencedatafile.csv,OM,GOULD Matt
Wollondilly-mayoral-finalpreferencedatafile.csv,PM,GOULD Matt
Wollondilly-mayoral-finalpreferencedatafile.csv,AVG,GOULD Matt
City_of_Griffith-mayoral-finalpreferencedatafile.csv,OM,CURRAN Doug
City_of_Griffith-mayoral-finalpreferencedatafile.csv,PM,CURRAN Doug
City_of_Griffith-mayoral-finalpreferencedatafile.csv,AVG,CURRAN Doug
Hunters_Hill-mayoral-finalpreferencedatafile.csv,OM,QUINN Richard
Hunters_Hill-mayoral-finalpreferencedatafile.csv,PM,QUINN Richard
Hunters_Hill-mayoral-finalpreferencedatafile.csv,AVG,QUINN Richard
City_of_Cessnock-mayoral-finalpreferencedatafile.csv,OM,SUVAAL Jay
City_of_Cessnock-mayoral-finalpreferencedatafile.csv,PM,SUVAAL Jay
City_of_Cessnock-mayoral-finalpreferencedatafile.csv,AVG,SUVAAL Jay
City_of_Newcastle-mayoral-finalpreferencedatafile.csv,OM,NELMES Nuatali
City_of_Newcastle-mayoral-finalpreferencedatafile.csv,PM,NELMES Nuatali
City_of_Newcastle-mayoral-finalpreferencedatafile.csv,AVG,NELMES Nuatali
City_of_Willoughby-mayoral-finalpreferencedatafile.csv,OM,TAYLOR Tanya
City_of_Willoughby-mayoral-finalpreferencedatafile.csv,PM,TAYLOR Tanya
City_of_Willoughby-mayoral-finalpreferencedatafile.csv,AVG,TAYLOR Tanya
City_of_Maitland-mayoral-finalpreferencedatafile.csv,OM,PENFOLD Philip
City_of_Maitland-mayoral-finalpreferencedatafile.csv,PM,PENFOLD Philip
City_of_Maitland-mayoral-finalpreferencedatafile.csv,AVG,PENFOLD Philip
City_of_Broken_Hill-mayoral-finalpreferencedatafile.csv,OM,KENNEDY Tom
City_of_Broken_Hill-mayoral-finalpreferencedatafile.csv,PM,KENNEDY Tom
City_of_Broken_Hill-mayoral-finalpreferencedatafile.csv,AVG,KENNEDY Tom
Bellingen-mayoral-finalpreferencedatafile (1).csv,OM,ALLAN Steve
Bellingen-mayoral-finalpreferencedatafile (1).csv,PM,ALLAN Steve
Bellingen-mayoral-finalpreferencedatafile (1).csv,AVG,ALLAN Steve
Byron-mayoral-finalpreferencedatafile.csv,OM,LYON Michael
Byron-mayoral-finalpreferencedatafile.csv,PM,LYON Michael
Byron-mayoral-finalpreferencedatafile.csv,AVG,LYON Michael
City_of_Orange-mayoral-finalpreferencedatafile.csv,OM,HAMLING Jason
City_of_Orange-mayoral-finalpreferencedatafile.csv,PM,HAMLING Jason
City_of_Orange-mayoral-finalpreferencedatafile.csv,AVG,HAMLING Jason
Hornsby-mayoral-finalpreferencedatafile.csv,OM,RUDDOCK Philip
Hornsby-mayoral-finalpreferencedatafile.csv,PM,RUDDOCK Philip
Hornsby-mayoral-finalpreferencedatafile.csv,AVG,RUDDOCK Philip
Kempsey-mayoral-finalpreferencedatafile.csv,OM,HAUVILLE Leo
Kempsey-mayoral-finalpreferencedatafile.csv,PM,HAUVILLE Leo
Kempsey-mayoral-finalpreferencedatafile.csv,AVG,HAUVILLE Leo
Burwood-mayoral-finalpreferencedatafile.csv,OM,FAKER John
Burwood-mayoral-finalpreferencedatafile.csv,PM,FAKER John
Burwood-mayoral-finalpreferencedatafile.csv,AVG,FAKER John
City_of_Wollongong-mayoral-finalpreferencedatafile.csv,OM,BRADBERY Gordon
City_of_Wollongong-mayoral-finalpreferencedatafile.csv,PM,BRADBERY Gordon
City_of_Wollongong-mayoral-finalpreferencedatafile.csv,AVG,BRADBERY Gordon
City_of_Liverpool-mayoral-finalpreferencedatafile.csv,OM,MANNOUN Ned
City_of_Liverpool-mayoral-finalpreferencedatafile.csv,PM,MANNOUN Ned
City_of_Liverpool-mayoral-finalpreferencedatafile.csv,AVG,MANNOUN Ned
SB1702 LA Pref Data_NA_Cootamundra.csv,OM,COOKE Steph
SB1702 LA Pref Data_NA_Cootamundra.csv,PM,COOKE Steph
SB1702 LA Pref Data_NA_Cootamundra.csv,AVG,COOKE Steph
SB1702 LA Pref Data_NA_Murray.csv,OM,EVANS Austin
SB1702 LA Pref Data_NA_Murray.csv,PM,EVANS Austin
SB1702 LA Pref Data_NA_Murray.csv,AVG,EVANS Austin
SB1701 LA Pref Data_NA_Gosford.csv,OM,TESCH Liesl
SB1701 LA Pref Data_NA_Gosford.csv,PM,TESCH Liesl
SB1701 LA Pref Data_NA_Gosford.csv,AVG,TESCH Liesl
SB1701 LA Pref Data_NA_North Shore.csv,OM,WILSON Felicity
SB1701 LA Pref Data_NA_North Shore.csv,PM,WILSON Felicity
SB1701 LA Pref Data_NA_North Shore.csv,AVG,WILSON Felicity
SB1701 LA Pref Data_NA_Manly.csv,OM,GRIFFIN James
SB1701 LA Pref Data_NA_Manly.csv,PM,GRIFFIN James
SB1701 LA Pref Data_NA_Manly.csv,AVG,GRIFFIN James
SB1702 LA Pref Data_NA_Blacktown.csv,OM,BALI Stephen
SB1702 LA Pref Data_NA_Blacktown.csv,PM,BALI Stephen
SB1702 LA Pref Data_NA_Blacktown.csv,AVG,BALI Stephen
SGE2019 LA Pref Data Murray.csv,OM,DALTON Helen
SGE2019 LA Pref Data Murray.csv,PM,DALTON Helen
SGE2019 LA Pref Data Murray.csv,AVG,DALTON Helen
SGE2019 LA Pref Data Sydney.csv,OM,GREENWICH Alex
SGE2019 LA Pref Data Sydney.csv,PM,GREENWICH Alex
SGE2019 LA Pref Data Sydney.csv,AVG,GREENWICH Alex
SGE2019 LA Pref Data Newtown.csv,OM,LEONG Jenny
SGE2019 LA Pref Data Newtown.csv,PM,LEONG Jenny
SGE2019 LA Pref Data Newtown.csv,AVG,LEONG Jenny
SGE2019 LA Pref Data Balmain.csv,OM,PARKER Jamie
SGE2019 LA Pref Data Balmain.csv,PM,PARKER Jamie
SGE2019 LA Pref Data Balmain.csv,AVG,PARKER Jamie
SGE2019 LA Pref Data Camden.csv,OM,SIDGREAVES Peter
SGE2019 LA Pref Data Camden.csv,PM,SIDGREAVES Peter
SGE2019 LA Pref Data Camden.csv,AVG,SIDGREAVES Peter
SGE2019 LA Pref Data Maitland.csv,OM,AITCHISON Jenny
