file,threshold,winner,rounds,numCands
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.0,['Jim BOLLAN (WDuns)'],0,8
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.01,"['Ian DICKSON (SNP)', 'John Kelly MILLAR (Lab)']",0,8
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.02,"['Ian DICKSON (SNP)', 'John Kelly MILLAR (Lab)']",0,8
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.03,['Ian DICKSON (SNP)'],0,8
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.04,"['Ian DICKSON (SNP)', 'John Kelly MILLAR (Lab)', 'Michelle Marie MCGINTY (Lab)']",0,8
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.05,"['Ian DICKSON (SNP)', 'John Kelly MILLAR (Lab)', 'Michelle Marie MCGINTY (Lab)']",0,8
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.06,['Ian DICKSON (SNP)'],0,8
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.07,"['Ian DICKSON (SNP)', 'Jim BOLLAN (WDuns)', 'John Kelly MILLAR (Lab)', 'Ronnie MCCOLL (SNP)', 'Matthew DILLON (Con)', 'Michelle Marie MCGINTY (Lab)', 'Paula BAKER (Grn)', 'Sian WILKIE (Ind)']",0,8
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.08,"['Ian DICKSON (SNP)', 'Jim BOLLAN (WDuns)', 'John Kelly MILLAR (Lab)', 'Ronnie MCCOLL (SNP)', 'Matthew DILLON (Con)', 'Michelle Marie MCGINTY (Lab)', 'Paula BAKER (Grn)', 'Sian WILKIE (Ind)']",0,8
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.09,"['Ian DICKSON (SNP)', 'Jim BOLLAN (WDuns)', 'John Kelly MILLAR (Lab)', 'Ronnie MCCOLL (SNP)', 'Matthew DILLON (Con)', 'Michelle Marie MCGINTY (Lab)', 'Paula BAKER (Grn)', 'Sian WILKIE (Ind)']",0,8
govan_govan.csv,0.0,['# ALTERNATIVE NAME 6: Allison Hunter (SNP)'],0,11
govan_govan.csv,0.01,['# ALTERNATIVE NAME 4: John Flanagan (Lab)'],0,11
govan_govan.csv,0.02,"['# ALTERNATIVE NAME 1: Shaukat Butt (Lab)', '# ALTERNATIVE NAME 4: John Flanagan (Lab)', '# ALTERNATIVE NAME 3: Stephen Dornan (Lab)']",0,11
govan_govan.csv,0.03,"['# ALTERNATIVE NAME 1: Shaukat Butt (Lab)', '# ALTERNATIVE NAME 4: John Flanagan (Lab)', '# ALTERNATIVE NAME 3: Stephen Dornan (Lab)']",0,11
govan_govan.csv,0.04,"['# ALTERNATIVE NAME 4: John Flanagan (Lab)', '# ALTERNATIVE NAME 6: Allison Hunter (SNP)']",0,11
govan_govan.csv,0.05,['# ALTERNATIVE NAME 6: Allison Hunter (SNP)'],0,11
govan_govan.csv,0.06,['# ALTERNATIVE NAME 6: Allison Hunter (SNP)'],0,11
govan_govan.csv,0.07,['# ALTERNATIVE NAME 6: Allison Hunter (SNP)'],0,11
govan_govan.csv,0.08,['# ALTERNATIVE NAME 6: Allison Hunter (SNP)'],0,11
govan_govan.csv,0.09,['# ALTERNATIVE NAME 6: Allison Hunter (SNP)'],0,11
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.0,['Ross VETTRAINO (SNP)'],0,7
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.01,['Ross VETTRAINO (SNP)'],0,7
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.02,"['Ian CRICHTON (Lab)', 'Ian SLOAN (Lab)', 'Vikki WILTON (SNP)', 'Ross VETTRAINO (SNP)']",0,7
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.03,"['Ian CRICHTON (Lab)', 'Ian SLOAN (Lab)', 'Ross VETTRAINO (SNP)']",0,7
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.04,"['Ian CRICHTON (Lab)', 'Ian SLOAN (Lab)', 'Vikki WILTON (SNP)', 'Ross VETTRAINO (SNP)']",0,7
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.05,"['Ian CRICHTON (Lab)', 'Ian SLOAN (Lab)', 'Vikki WILTON (SNP)', 'Ross VETTRAINO (SNP)']",0,7
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.06,"['Ian CRICHTON (Lab)', 'Ian SLOAN (Lab)', 'Vikki WILTON (SNP)', 'Ross VETTRAINO (SNP)']",0,7
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.07,"['Ian CRICHTON (Lab)', 'Ian SLOAN (Lab)', 'Ross VETTRAINO (SNP)']",0,7
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.08,"['Ian CRICHTON (Lab)', 'Ian SLOAN (Lab)', 'Ross VETTRAINO (SNP)']",0,7
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.09,"['Ian CRICHTON (Lab)', 'Ian SLOAN (Lab)', 'Ross VETTRAINO (SNP)']",0,7
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.0,['John CALDWELL (Lab)'],0,8
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.01,['John CALDWELL (Lab)'],0,8
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.02,"['Iain MCMILLAN (Lab)', 'John HOOD (Lab)']",0,8
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.03,"['Iain MCMILLAN (Lab)', 'John HOOD (Lab)']",0,8
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.04,"['Iain MCMILLAN (Lab)', 'John HOOD (Lab)']",0,8
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.05,['Iain MCMILLAN (Lab)'],0,8
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.06,['Iain MCMILLAN (Lab)'],0,8
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.07,"['Iain MCMILLAN (Lab)', 'John CALDWELL (Lab)']",0,8
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.08,"['Iain MCMILLAN (Lab)', 'John CALDWELL (Lab)']",0,8
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.09,"['Iain MCMILLAN (Lab)', 'John CALDWELL (Lab)']",0,8
Ward3-DeeandGlenkens_ward3.csv,0.0,['Dougie CAMPBELL (Ind)'],0,7
Ward3-DeeandGlenkens_ward3.csv,0.01,['Andy MCFARLANE (SNP)'],0,7
Ward3-DeeandGlenkens_ward3.csv,0.02,['Andy MCFARLANE (SNP)'],0,7
Ward3-DeeandGlenkens_ward3.csv,0.03,['Andy MCFARLANE (SNP)'],0,7
Ward3-DeeandGlenkens_ward3.csv,0.04,"['Susan MURDOCH (Con)', 'John DENERLEY (Con)']",0,7
Ward3-DeeandGlenkens_ward3.csv,0.05,"['Susan MURDOCH (Con)', 'John DENERLEY (Con)']",0,7
Ward3-DeeandGlenkens_ward3.csv,0.06,['John DENERLEY (Con)'],0,7
Ward3-DeeandGlenkens_ward3.csv,0.07,['John DENERLEY (Con)'],0,7
Ward3-DeeandGlenkens_ward3.csv,0.08,"['Andy MCFARLANE (SNP)', 'Anthony BIRD (LD)', 'Dougie CAMPBELL (Ind)', 'Graham TRICKEY (Lab)', 'Laura Elizabeth MOODIE (Grn)', 'Susan MURDOCH (Con)', 'John DENERLEY (Con)']",0,7
Ward3-DeeandGlenkens_ward3.csv,0.09,"['Andy MCFARLANE (SNP)', 'Anthony BIRD (LD)', 'Dougie CAMPBELL (Ind)', 'Graham TRICKEY (Lab)', 'Laura Elizabeth MOODIE (Grn)', 'Susan MURDOCH (Con)', 'John DENERLEY (Con)']",0,7
Ward2-KintyreandtheIslands_ward2.csv,0.0,['Dougie MCFADZEAN (SNP)'],0,6
Ward2-KintyreandtheIslands_ward2.csv,0.01,['Dougie MCFADZEAN (SNP)'],0,6
Ward2-KintyreandtheIslands_ward2.csv,0.02,['Dougie MCFADZEAN (SNP)'],0,6
Ward2-KintyreandtheIslands_ward2.csv,0.03,"['Dougie MCFADZEAN (SNP)', 'John MCALPINE (Ind)']",0,6
Ward2-KintyreandtheIslands_ward2.csv,0.04,"['Dougie MCFADZEAN (SNP)', 'John MCALPINE (Ind)']",0,6
Ward2-KintyreandtheIslands_ward2.csv,0.05,"['Dougie MCFADZEAN (SNP)', 'John MCALPINE (Ind)']",0,6
Ward2-KintyreandtheIslands_ward2.csv,0.06,"['Dougie MCFADZEAN (SNP)', 'John MCALPINE (Ind)']",0,6
Ward2-KintyreandtheIslands_ward2.csv,0.07,"['Dougie MCFADZEAN (SNP)', 'John MCALPINE (Ind)']",0,6
Ward2-KintyreandtheIslands_ward2.csv,0.08,['John MCALPINE (Ind)'],0,6
Ward2-KintyreandtheIslands_ward2.csv,0.09,"['Alastair John REDMAN (Ind)', 'Alec MCNEILLY (Con)', 'Dougie MCFADZEAN (SNP)', 'Jane B KELLY (Lab)', 'John MCALPINE (Ind)', 'Robin CURRIE (LD)']",0,6
Minneapolis_11022021_CityCouncilWard2.csv,0.0,"['Cam Gordon', 'Guy T Gaskin', 'Robin Wonsley Worlobah', 'Tom Anderson']",0,5
Minneapolis_11022021_CityCouncilWard2.csv,0.01,['Yusra Arab'],0,5
Minneapolis_11022021_CityCouncilWard2.csv,0.02,"['Robin Wonsley Worlobah', 'Yusra Arab']",0,5
Minneapolis_11022021_CityCouncilWard2.csv,0.03,['Robin Wonsley Worlobah'],0,5
Minneapolis_11022021_CityCouncilWard2.csv,0.04,['Robin Wonsley Worlobah'],0,5
Minneapolis_11022021_CityCouncilWard2.csv,0.05,['Cam Gordon'],0,5
Minneapolis_11022021_CityCouncilWard2.csv,0.06,"['Cam Gordon', 'Robin Wonsley Worlobah', 'Yusra Arab']",0,5
Minneapolis_11022021_CityCouncilWard2.csv,0.07,['Yusra Arab'],0,5
Minneapolis_11022021_CityCouncilWard2.csv,0.08,['Yusra Arab'],0,5
Minneapolis_11022021_CityCouncilWard2.csv,0.09,"['Cam Gordon', 'Guy T Gaskin', 'Robin Wonsley Worlobah', 'Tom Anderson', 'Yusra Arab']",0,5
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.0,['Tom JOHNSTON (SNP)'],0,8
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.01,"['Claire BARCLAY (SNP)', 'Paddy HOGG (SNP)', 'Tom JOHNSTON (SNP)', 'Stevie GRANT (Lab)', 'David STARK (Con)', 'Gillian FANNAN (Lab)']",0,8
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.02,"['Claire BARCLAY (SNP)', 'Tom JOHNSTON (SNP)']",0,8
Ward4-CumbernauldEast_n-lanarks17-004.csv,0.03,['Tom JOHNSTON (SNP)'],0,8
