file,threshold,winner_baseline,winner_fine,winner_condensed,winner_one_round,winner_one_round_condensed
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.0,"('John Kelly MILLAR (Lab)',)","('John Kelly MILLAR (Lab)',)","('John Kelly MILLAR (Lab)',)","('Ian DICKSON (SNP)',)","('Jim BOLLAN (WDuns)',)"
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.01,"('John Kelly MILLAR (Lab)',)","('John Kelly MILLAR (Lab)',)","('John Kelly MILLAR (Lab)',)","('Ian DICKSON (SNP)', 'John Kelly MILLAR (Lab)')","('Ian DICKSON (SNP)', 'John Kelly MILLAR (Lab)')"
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.02,"('John Kelly MILLAR (Lab)',)","('John Kelly MILLAR (Lab)',)","('John Kelly MILLAR (Lab)',)","('Ian DICKSON (SNP)', 'John Kelly MILLAR (Lab)')","('Ian DICKSON (SNP)', 'John Kelly MILLAR (Lab)')"
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.03,"('John Kelly MILLAR (Lab)',)","('John Kelly MILLAR (Lab)',)","('John Kelly MILLAR (Lab)',)","('Ian DICKSON (SNP)',)","('Ian DICKSON (SNP)',)"
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.04,"('John Kelly MILLAR (Lab)',)","('John Kelly MILLAR (Lab)',)","('John Kelly MILLAR (Lab)',)","('Ian DICKSON (SNP)', 'John Kelly MILLAR (Lab)', 'Michelle Marie MCGINTY (Lab)')","('Ian DICKSON (SNP)', 'John Kelly MILLAR (Lab)', 'Michelle Marie MCGINTY (Lab)')"
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.05,"('John Kelly MILLAR (Lab)',)","('John Kelly MILLAR (Lab)',)","('John Kelly MILLAR (Lab)',)","('Ian DICKSON (SNP)', 'John Kelly MILLAR (Lab)', 'Michelle Marie MCGINTY (Lab)')","('Ian DICKSON (SNP)', 'John Kelly MILLAR (Lab)', 'Michelle Marie MCGINTY (Lab)')"
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.06,"('John Kelly MILLAR (Lab)',)","('John Kelly MILLAR (Lab)',)","('John Kelly MILLAR (Lab)',)","('Ian DICKSON (SNP)',)","('Ian DICKSON (SNP)',)"
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.07,"('John Kelly MILLAR (Lab)',)","('John Kelly MILLAR (Lab)',)","('John Kelly MILLAR (Lab)',)","('Ian DICKSON (SNP)', 'Jim BOLLAN (WDuns)', 'John Kelly MILLAR (Lab)', 'Matthew DILLON (Con)', 'Michelle Marie MCGINTY (Lab)', 'Paula BAKER (Grn)', 'Ronnie MCCOLL (SNP)', 'Sian WILKIE (Ind)')","('Ian DICKSON (SNP)', 'Jim BOLLAN (WDuns)', 'John Kelly MILLAR (Lab)', 'Matthew DILLON (Con)', 'Michelle Marie MCGINTY (Lab)', 'Paula BAKER (Grn)', 'Ronnie MCCOLL (SNP)', 'Sian WILKIE (Ind)')"
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.08,"('John Kelly MILLAR (Lab)',)","('John Kelly MILLAR (Lab)',)","('John Kelly MILLAR (Lab)',)","('Ian DICKSON (SNP)', 'Jim BOLLAN (WDuns)', 'John Kelly MILLAR (Lab)', 'Matthew DILLON (Con)', 'Michelle Marie MCGINTY (Lab)', 'Paula BAKER (Grn)', 'Ronnie MCCOLL (SNP)', 'Sian WILKIE (Ind)')","('Ian DICKSON (SNP)', 'Jim BOLLAN (WDuns)', 'John Kelly MILLAR (Lab)', 'Matthew DILLON (Con)', 'Michelle Marie MCGINTY (Lab)', 'Paula BAKER (Grn)', 'Ronnie MCCOLL (SNP)', 'Sian WILKIE (Ind)')"
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.09,"('John Kelly MILLAR (Lab)',)","('John Kelly MILLAR (Lab)',)","('John Kelly MILLAR (Lab)',)","('Ian DICKSON (SNP)', 'Jim BOLLAN (WDuns)', 'John Kelly MILLAR (Lab)', 'Matthew DILLON (Con)', 'Michelle Marie MCGINTY (Lab)', 'Paula BAKER (Grn)', 'Ronnie MCCOLL (SNP)', 'Sian WILKIE (Ind)')","('Ian DICKSON (SNP)', 'Jim BOLLAN (WDuns)', 'John Kelly MILLAR (Lab)', 'Matthew DILLON (Con)', 'Michelle Marie MCGINTY (Lab)', 'Paula BAKER (Grn)', 'Ronnie MCCOLL (SNP)', 'Sian WILKIE (Ind)')"
govan_govan.csv,0.0,"('# ALTERNATIVE NAME 6: Allison Hunter (SNP)',)","('# ALTERNATIVE NAME 6: Allison Hunter (SNP)',)","('# ALTERNATIVE NAME 6: Allison Hunter (SNP)',)","('# ALTERNATIVE NAME 6: Allison Hunter (SNP)',)","('# ALTERNATIVE NAME 6: Allison Hunter (SNP)',)"
govan_govan.csv,0.01,"('# ALTERNATIVE NAME 6: Allison Hunter (SNP)',)","('# ALTERNATIVE NAME 6: Allison Hunter (SNP)',)","('# ALTERNATIVE NAME 6: Allison Hunter (SNP)',)","('# ALTERNATIVE NAME 4: John Flanagan (Lab)',)","('# ALTERNATIVE NAME 4: John Flanagan (Lab)',)"
