file,threshold,winner_baseline,winner_one_round
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.0,"('John Kelly MILLAR (Lab)',)","('Ian DICKSON (SNP)',)"
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.03,"('John Kelly MILLAR (Lab)',)","('Ian DICKSON (SNP)',)"
Ward2-Leven_west dunbartonshire2022ward 2.csv,0.06,"('John Kelly MILLAR (Lab)',)","('Ian DICKSON (SNP)',)"
govan_govan.csv,0.01,"('# ALTERNATIVE NAME 6: Allison Hunter (SNP)',)","('# ALTERNATIVE NAME 4: John Flanagan (Lab)',)"
govan_govan.csv,0.02,"('# ALTERNATIVE NAME 6: Allison Hunter (SNP)',)","('# ALTERNATIVE NAME 1: Shaukat Butt (Lab)', '# ALTERNATIVE NAME 3: Stephen Dornan (Lab)', '# ALTERNATIVE NAME 4: John Flanagan (Lab)')"
govan_govan.csv,0.04,"('# ALTERNATIVE NAME 3: Stephen Dornan (Lab)',)","('# ALTERNATIVE NAME 4: John Flanagan (Lab)', '# ALTERNATIVE NAME 6: Allison Hunter (SNP)')"
govan_govan.csv,0.05,"('# ALTERNATIVE NAME 3: Stephen Dornan (Lab)',)","('# ALTERNATIVE NAME 6: Allison Hunter (SNP)',)"
govan_govan.csv,0.06,"('# ALTERNATIVE NAME 4: John Flanagan (Lab)',)","('# ALTERNATIVE NAME 6: Allison Hunter (SNP)',)"
govan_govan.csv,0.07,"('# ALTERNATIVE NAME 3: Stephen Dornan (Lab)',)","('# ALTERNATIVE NAME 6: Allison Hunter (SNP)',)"
govan_govan.csv,0.08,"('# ALTERNATIVE NAME 3: Stephen Dornan (Lab)',)","('# ALTERNATIVE NAME 6: Allison Hunter (SNP)',)"
govan_govan.csv,0.09,"('# ALTERNATIVE NAME 4: John Flanagan (Lab)',)","('# ALTERNATIVE NAME 6: Allison Hunter (SNP)',)"
GlenrothesCentralAndThorntonWard_fife12-16.csv,0.01,"('Ian SLOAN (Lab)',)","('Ross VETTRAINO (SNP)',)"
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.0,"('John HOOD (Lab)',)","('John CALDWELL (Lab)',)"
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,0.01,"('Iain MCMILLAN (Lab)',)","('John CALDWELL (Lab)',)"
