file,threshold,winner,rounds,plurality_match,IRV_match,top-two_match,borda-pm_match,borda-om_match,borda-avg_match,top-3-truncation_match,condorcet_match,minimax_match,smith_plurality_match,smith_irv_match,smith-minimax_match,ranked-pairs_match,bucklin_match,approval_match,smith_match,plurality_match,IRV_match,top-two_match,borda-pm_match,borda-om_match,borda-avg_match,top-3-truncation_match,condorcet_match,minimax_match,smith_plurality_match,smith_irv_match,smith-minimax_match,ranked-pairs_match,bucklin_match,approval_match,smith_match
Ward2-Leven_west dunbartonshire2022ward 2.csv,OM,Michelle Marie MCGINTY (Lab),,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_winner,no_match,no_match,no_match,no_match,no_match,no_match,no_match,match,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_winner,no_match,no_match,no_match,no_match,no_match,no_match,no_match,match
Ward2-Leven_west dunbartonshire2022ward 2.csv,PM,John Kelly MILLAR (Lab),,no_match,match,match,match,no_match,no_match,no_match,no_winner,match,no_match,match,match,match,match,match,match,no_match,match,match,match,no_match,no_match,no_match,no_winner,match,no_match,match,match,match,match,match,match
Ward2-Leven_west dunbartonshire2022ward 2.csv,AVG,John Kelly MILLAR (Lab),,no_match,match,match,match,no_match,no_match,no_match,no_winner,match,no_match,match,match,match,match,match,match,no_match,match,match,match,no_match,no_match,no_match,no_winner,match,no_match,match,match,match,match,match,match
govan_govan.csv,OM,# ALTERNATIVE NAME 3: Stephen Dornan (Lab),,no_match,no_match,no_match,no_match,match,no_match,no_match,no_winner,match,no_match,no_match,match,match,no_match,no_match,match,no_match,no_match,no_match,no_match,match,no_match,no_match,no_winner,match,no_match,no_match,match,match,no_match,no_match,match
govan_govan.csv,PM,# ALTERNATIVE NAME 6: Allison Hunter (SNP),,match,match,no_match,match,no_match,match,match,no_winner,no_match,match,match,no_match,no_match,no_match,no_match,match,match,match,no_match,match,no_match,match,match,no_winner,no_match,match,match,no_match,no_match,no_match,no_match,match
govan_govan.csv,AVG,# ALTERNATIVE NAME 6: Allison Hunter (SNP),,match,match,no_match,match,no_match,match,match,no_winner,no_match,match,match,no_match,no_match,no_match,no_match,match,match,match,no_match,match,no_match,match,match,no_winner,no_match,match,match,no_match,no_match,no_match,no_match,match
GlenrothesCentralAndThorntonWard_fife12-16.csv,OM,Ian CRICHTON (Lab),,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_winner,match,no_match,no_match,match,match,no_match,no_match,match,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_winner,match,no_match,no_match,match,match,no_match,no_match,match
GlenrothesCentralAndThorntonWard_fife12-16.csv,PM,Ross VETTRAINO (SNP),,match,match,match,no_match,match,match,match,no_winner,no_match,match,match,no_match,no_match,no_match,no_match,match,match,match,match,no_match,match,match,match,no_winner,no_match,match,match,no_match,no_match,no_match,no_match,match
GlenrothesCentralAndThorntonWard_fife12-16.csv,AVG,Ian CRICHTON (Lab),,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_winner,match,no_match,no_match,match,match,no_match,no_match,match,no_match,no_match,no_match,no_match,no_match,no_match,no_match,no_winner,match,no_match,no_match,match,match,no_match,no_match,match
7.JohnstoneSouthElderslie&HowwoodWard_renfs12-07.csv,OM,John CALDWELL (Lab),,no_match,no_match,no_match,match,match,match,match,no_winner,match,no_match,no_match,match,match,match,match,match,no_match,no_match,no_match,match,match,match,match,no_winner,match,no_match,no_match,match,match,match,match,match
