file,threshold,winner,plurality_match,IRV_match,top-two_match,borda-pm_match,borda-om_match,borda-avg_match,top-3-truncation_match,condorcet_match,minimax_match,smith_plurality_match,smith_irv_match,smith-minimax_match,ranked-pairs_match,bucklin_match,approval_match,smith_match
Nith_dumgal17-09.csv,OM,Elaine MURRAY (Lab),no_match,match,match,match,match,match,no_match,match,match,match,match,match,match,match,match,match
Nith_dumgal17-09.csv,PM,Elaine MURRAY (Lab),no_match,match,match,match,match,match,no_match,match,match,match,match,match,match,match,match,match
Nith_dumgal17-09.csv,AVG,Elaine MURRAY (Lab),no_match,match,match,match,match,match,no_match,match,match,match,match,match,match,match,match,match
AnnandaleSouth_dumgal17-10.csv,OM,Ian CARRUTHERS (Con),match,match,match,match,no_match,no_match,match,match,match,match,match,match,match,no_match,no_match,match
AnnandaleSouth_dumgal17-10.csv,PM,Ian CARRUTHERS (Con),match,match,match,match,no_match,no_match,match,match,match,match,match,match,match,no_match,no_match,match
AnnandaleSouth_dumgal17-10.csv,AVG,Ian CARRUTHERS (Con),match,match,match,match,no_match,no_match,match,match,match,match,match,match,match,no_match,no_match,match
AnnandaleNorth_dumgal17-11.csv,OM,Doug FAIRBAIRN (Con),match,match,match,match,no_match,match,match,match,match,match,match,match,match,no_match,no_match,match
AnnandaleNorth_dumgal17-11.csv,PM,Doug FAIRBAIRN (Con),match,match,match,match,no_match,match,match,match,match,match,match,match,match,no_match,no_match,match
AnnandaleNorth_dumgal17-11.csv,AVG,Doug FAIRBAIRN (Con),match,match,match,match,no_match,match,match,match,match,match,match,match,match,no_match,no_match,match
MidGallowayandWigtownWest_dumgal17-02.csv,OM,David INGLIS (Con),match,match,match,match,no_match,match,match,match,match,match,match,match,match,match,match,match
MidGallowayandWigtownWest_dumgal17-02.csv,PM,David INGLIS (Con),match,match,match,match,no_match,match,match,match,match,match,match,match,match,match,match,match
MidGallowayandWigtownWest_dumgal17-02.csv,AVG,David INGLIS (Con),match,match,match,match,no_match,match,match,match,match,match,match,match,match,match,match,match
CastleDouglasandCrocketford_dumgal17-04.csv,OM,Iain HOWIE (Ind),no_match,match,match,match,match,match,no_match,match,match,match,match,match,match,match,match,match
CastleDouglasandCrocketford_dumgal17-04.csv,PM,Iain HOWIE (Ind),no_match,match,match,match,match,match,no_match,match,match,match,match,match,match,match,match,match
