percent,threshold,num_files_changed
0,0.0,2
0,0.01,2
0,0.02,3
0,0.03,2
0,0.04,2
0,0.05,1
0,0.06,1
0,0.07,2
0,0.08,1
0,0.09,1
10,0.0,2
10,0.01,2
10,0.02,3
10,0.03,2
10,0.04,2
10,0.05,1
10,0.06,1
10,0.07,2
10,0.08,1
10,0.09,1
20,0.0,2
20,0.01,2
20,0.02,3
20,0.03,2
20,0.04,2
20,0.05,1
20,0.06,1
20,0.07,2
20,0.08,1
20,0.09,1
30,0.0,2
30,0.01,3
30,0.02,3
30,0.03,2
30,0.04,2
30,0.05,1
30,0.06,1
30,0.07,2
30,0.08,1
30,0.09,1
40,0.0,2
40,0.01,2
40,0.02,3
40,0.03,3
40,0.04,2
40,0.05,1
40,0.06,1
40,0.07,2
40,0.08,1
40,0.09,1
50,0.0,2
50,0.01,3
50,0.02,4
50,0.03,2
50,0.04,3
50,0.05,1
50,0.06,1
50,0.07,2
50,0.08,1
50,0.09,1
60,0.0,2
60,0.01,2
60,0.02,3
60,0.03,2
60,0.04,2
60,0.05,1
60,0.06,1
60,0.07,2
60,0.08,1
60,0.09,1
70,0.0,2
70,0.01,2
70,0.02,3
70,0.03,2
70,0.04,2
70,0.05,1
70,0.06,1
70,0.07,2
70,0.08,1
70,0.09,1
80,0.0,2
80,0.01,2
80,0.02,3
80,0.03,2
80,0.04,2
80,0.05,1
80,0.06,1
80,0.07,2
80,0.08,1
80,0.09,1
90,0.0,2
90,0.01,2
90,0.02,3
90,0.03,2
90,0.04,2
90,0.05,1
90,0.06,1
90,0.07,2
90,0.08,1
90,0.09,1
