,file_name,num_cands,old_winner,new_winner,ballot_change_num,modified_ballots
0,"./data/America/Corvallis, OR/Corvallis_11082022_Mayor.csv",4,A,B,9864,"[['B', 'BDCA', 501], ['BA', 'BDCA', 304], ['BAC', 'BCDA', 3722], ['BAD', 'BDCA', 159], ['BC', 'BCDA', 212], ['BCA', 'BCDA', 2119], ['BCD', 'BCDA', 52], ['BD', 'BDCA', 16], ['BDA', 'BDCA', 32], ['BDC', 'BDCA', 6], ['CB', 'CBDA', 178], ['CBA', 'CBDA', 2484], ['CBD', 'CBDA', 26], ['CDB', 'CDBA', 12], ['DB', 'DBCA', 4], ['DBA', 'DBCA', 16], ['DBC', 'DBCA', 9], ['DCB', 'DCBA', 12]]"
1,./data/America/Burlington/Burlington_03072006_Mayor.csv,6,A,B,3985,"[['B', 'BFEDCA', 538], ['BA', 'BFEDCA', 873], ['BAC', 'BCFEDA', 199], ['BACD', 'BCDFEA', 6], ['BACDE', 'BCDEFA', 14], ['BACDF', 'BCDFEA', 88], ['BACED', 'BCEDFA', 9], ['BACF', 'BCFEDA', 7], ['BACFD', 'BCFDEA', 96], ['BACFE', 'BCFEDA', 2], ['BAD', 'BDFECA', 45], ['BADC', 'BDCFEA', 3], ['BADCE', 'BDCEFA', 1], ['BADCF', 'BDCFEA', 22], ['BADE', 'BDEFCA', 3], ['BADEC', 'BDECFA', 3], ['BADEF', 'BDEFCA', 1], ['BADF', 'BDFECA', 20], ['BADFC', 'BDFCEA', 76], ['BADFE', 'BDFECA', 3], ['BAE', 'BEFDCA', 11], ['BAEC', 'BECFDA', 1], ['BAECD', 'BECDFA', 1], ['BAECF', 'BECFDA', 1], ['BAEDC', 'BEDCFA', 5], ['BAEDF', 'BEDFCA', 1], ['BAF', 'BFEDCA', 52], ['BAFC', 'BFCEDA', 4], ['BAFCD', 'BFCDEA', 47], ['BAFCE', 'BFCEDA', 1], ['BAFD', 'BFDECA', 16], ['BAFDC', 'BFDCEA', 80], ['BAFE', 'BFEDCA', 2], ['BC', 'BCFEDA', 270], ['BCA', 'BCFEDA', 128], ['BCAD', 'BCDFEA', 3], ['BCADE', 'BCDEFA', 7], ['BCADF', 'BCDFEA', 53], ['BCAED', 'BCEDFA', 3], ['BCAF', 'BCFEDA', 2], ['BCAFD', 'BCFDEA', 84], ['BCD', 'BCDFEA', 9], ['BCDA', 'BCDFEA', 2], ['BCDAE', 'BCDEFA', 3], ['BCDAF', 'BCDFEA', 16], ['BCDEA', 'BCDEFA', 5], ['BCDFA', 'BCDFEA', 19], ['BCDFE', 'BCDFEA', 1], ['BCE', 'BCEFDA', 3], ['BCEDA', 'BCEDFA', 1], ['BCF', 'BCFEDA', 11], ['BCFA', 'BCFEDA', 3], ['BCFAD', 'BCFDEA', 19], ['BCFD', 'BCFDEA', 2], ['BCFDA', 'BCFDEA', 15], ['BD', 'BDFECA', 18], ['BDA', 'BDFECA', 5], ['BDAC', 'BDCFEA', 1], ['BDACF', 'BDCFEA', 5], ['BDAEC', 'BDECFA', 1], ['BDAF', 'BDFECA', 1], ['BDAFC', 'BDFCEA', 14], ['BDC', 'BDCFEA', 4], ['BDCA', 'BDCFEA', 3], ['BDCAF', 'BDCFEA', 5], ['BDCEA', 'BDCEFA', 1], ['BDCF', 'BDCFEA', 3], ['BDCFA', 'BDCFEA', 6], ['BDEAC', 'BDECFA', 1], ['BDF', 'BDFECA', 14], ['BDFA', 'BDFECA', 3], ['BDFAC', 'BDFCEA', 18], ['BDFCA', 'BDFCEA', 6], ['BE', 'BEFDCA', 10], ['BEA', 'BEFDCA', 1], ['BEAC', 'BECFDA', 1], ['BEAFD', 'BEFDCA', 2], ['BEC', 'BECFDA', 1], ['BECFA', 'BECFDA', 1], ['BED', 'BEDFCA', 1], ['BEDCA', 'BEDCFA', 1], ['BEFDC', 'BEFDCA', 1], ['BF', 'BFEDCA', 19], ['BFA', 'BFEDCA', 11], ['BFAC', 'BFCEDA', 2], ['BFACD', 'BFCDEA', 9], ['BFAD', 'BFDECA', 2], ['BFADC', 'BFDCEA', 17], ['BFADE', 'BFDECA', 1], ['BFC', 'BFCEDA', 2], ['BFCA', 'BFCEDA', 1], ['BFCAD', 'BFCDEA', 3], ['BFCDA', 'BFCDEA', 4], ['BFCED', 'BFCEDA', 1], ['BFD', 'BFDECA', 1], ['BFDAC', 'BFDCEA', 10], ['BFDCA', 'BFDCEA', 4], ['BFECD', 'BFECDA', 1], ['CB', 'CBFEDA', 296], ['CBA', 'CBFEDA', 136], ['CBAD', 'CBDFEA', 4], ['CBADE', 'CBDEFA', 10], ['CBADF', 'CBDFEA', 60], ['CBAE', 'CBEFDA', 2], ['CBAED', 'CBEDFA', 5], ['CBAF', 'CBFEDA', 1], ['CBAFD', 'CBFDEA', 68], ['CBAFE', 'CBFEDA', 1], ['CBD', 'CBDFEA', 18], ['CBDAF', 'CBDFEA', 18], ['CBDE', 'CBDEFA', 2], ['CBDEF', 'CBDEFA', 1], ['CBDF', 'CBDFEA', 5], ['CBDFA', 'CBDFEA', 27], ['CBE', 'CBEFDA', 2], ['CBED', 'CBEDFA', 1], ['CBF', 'CBFEDA', 19], ['CBFA', 'CBFEDA', 1], ['CBFAD', 'CBFDEA', 18], ['CBFD', 'CBFDEA', 3], ['CBFDA', 'CBFDEA', 18], ['CBFDE', 'CBFDEA', 2], ['CBFEA', 'CBFEDA', 1], ['CDB', 'CDBFEA', 21], ['CDBAE', 'CDBEFA', 1], ['CDBAF', 'CDBFEA', 10], ['CDBF', 'CDBFEA', 1], ['CDBFA', 'CDBFEA', 9], ['CDEBA', 'CDEBFA', 1], ['CDFB', 'CDFBEA', 1], ['CDFBA', 'CDFBEA', 17], ['CEB', 'CEBFDA', 1], ['CEBA', 'CEBFDA', 1], ['CEBAD', 'CEBDFA', 2], ['CEBAF', 'CEBFDA', 1], ['CEBFD', 'CEBFDA', 1], ['CEDBA', 'CEDBFA', 1], ['CEDBF', 'CEDBFA', 1], ['CEDFB', 'CEDFBA', 1], ['CEFDB', 'CEFDBA', 2], ['CFB', 'CFBEDA', 2], ['CFBA', 'CFBEDA', 2], ['CFBAD', 'CFBDEA', 6], ['CFBDA', 'CFBDEA', 3], ['CFDBA', 'CFDBEA', 14], ['DB', 'DBFECA', 2], ['DBA', 'DBFECA', 1], ['DBACF', 'DBCFEA', 4], ['DBAF', 'DBFECA', 1], ['DBAFC', 'DBFCEA', 2], ['DBC', 'DBCFEA', 2], ['DBCAF', 'DBCFEA', 2], ['DBCF', 'DBCFEA', 1], ['DBF', 'DBFECA', 1], ['DBFA', 'DBFECA', 1], ['DBFAC', 'DBFCEA', 1], ['DCBAE', 'DCBEFA', 1], ['DCBAF', 'DCBFEA', 1], ['DCBF', 'DCBFEA', 1], ['DFB', 'DFBECA', 1], ['DFBAC', 'DFBCEA', 1], ['DFCBA', 'DFCBEA', 1], ['EB', 'EBFDCA', 3], ['EBA', 'EBFDCA', 3], ['EBAC', 'EBCFDA', 1], ['EBADF', 'EBDFCA', 2], ['EBC', 'EBCFDA', 2], ['EBDAC', 'EBDCFA', 1], ['ECB', 'ECBFDA', 3], ['ECBA', 'ECBFDA', 1], ['EDBCA', 'EDBCFA', 1], ['EFBAC', 'EFBCDA', 1], ['FB', 'FBEDCA', 3], ['FBA', 'FBEDCA', 2], ['FBAC', 'FBCEDA', 1], ['FBADC', 'FBDCEA', 6], ['FBCAD', 'FBCDEA', 3], ['FBD', 'FBDECA', 1], ['FCDBA', 'FCDBEA', 1], ['FDBAE', 'FDBECA', 1], ['FDCBA', 'FDCBEA', 1]]"
2,./data/America/Burlington/Burlington_03032009_Mayor.csv,6,C,A,3664,"[['A', 'AFEDBC', 840], ['AB', 'ABFEDC', 80], ['ABC', 'ABFEDC', 24], ['ABCD', 'ABDFEC', 15], ['ABCDF', 'ABDFEC', 50], ['ABCFD', 'ABFDEC', 21], ['ABD', 'ABDFEC', 21], ['ABDC', 'ABDFEC', 5], ['ABDCF', 'ABDFEC', 45], ['ABDF', 'ABDFEC', 2], ['ABDFC', 'ABDFEC', 12], ['ABF', 'ABFEDC', 2], ['ABFC', 'ABFEDC', 1], ['ABFCD', 'ABFDEC', 1], ['ABFDC', 'ABFDEC', 2], ['AC', 'AFEDBC', 256], ['ACB', 'ABFEDC', 46], ['ACBD', 'ABDFEC', 15], ['ACBDE', 'ABDEFC', 1], ['ACBDF', 'ABDFEC', 69], ['ACBF', 'ABFEDC', 1], ['ACBFD', 'ABFDEC', 9], ['ACD', 'ADFEBC', 147], ['ACDB', 'ADBFEC', 54], ['ACDBE', 'ADBEFC', 1], ['ACDBF', 'ADBFEC', 102], ['ACDF', 'ADFEBC', 7], ['ACDFB', 'ADFBEC', 104], ['ACE', 'AEFDBC', 4], ['ACEDB', 'AEDBFC', 1], ['ACF', 'AFEDBC', 3], ['ACFB', 'AFBEDC', 2], ['ACFBD', 'AFBDEC', 7], ['ACFD', 'AFDEBC', 1], ['ACFDB', 'AFDBEC', 19], ['AD', 'ADFEBC', 272], ['ADB', 'ADBFEC', 30], ['ADBC', 'ADBFEC', 19], ['ADBCE', 'ADBEFC', 1], ['ADBCF', 'ADBFEC', 52], ['ADBFC', 'ADBFEC', 17], ['ADC', 'ADFEBC', 122], ['ADCB', 'ADBFEC', 45], ['ADCBF', 'ADBFEC', 101], ['ADCEB', 'ADEBFC', 1], ['ADCEF', 'ADEFBC', 1], ['ADCF', 'ADFEBC', 10], ['ADCFB', 'ADFBEC', 90], ['ADCFE', 'ADFEBC', 2], ['ADE', 'ADEFBC', 4], ['ADEC', 'ADEFBC', 1], ['ADECF', 'ADEFBC', 1], ['ADEF', 'ADEFBC', 1], ['ADF', 'ADFEBC', 16], ['ADFBC', 'ADFBEC', 15], ['ADFC', 'ADFEBC', 5], ['ADFCB', 'ADFBEC', 76], ['ADFCE', 'ADFEBC', 1], ['AE', 'AEFDBC', 11], ['AEB', 'AEBFDC', 1], ['AEC', 'AEFDBC', 1], ['AECB', 'AEBFDC', 2], ['AECDB', 'AEDBFC', 2], ['AECDF', 'AEDFBC', 1], ['AEDCF', 'AEDFBC', 1], ['AEF', 'AEFDBC', 1], ['AF', 'AFEDBC', 25], ['AFB', 'AFBEDC', 1], ['AFBCD', 'AFBDEC', 2], ['AFBDC', 'AFBDEC', 1], ['AFC', 'AFEDBC', 1], ['AFCB', 'AFBEDC', 4], ['AFCBD', 'AFBDEC', 4], ['AFCD', 'AFDEBC', 1], ['AFCDB', 'AFDBEC', 5], ['AFD', 'AFDEBC', 8], ['AFDBC', 'AFDBEC', 10], ['AFDCB', 'AFDBEC', 11], ['AFDCE', 'AFDEBC', 1], ['AFDEC', 'AFDEBC', 1], ['AFE', 'AFEDBC', 3], ['BA', 'BAFEDC', 66], ['BAC', 'BAFEDC', 31], ['BACD', 'BADFEC', 12], ['BACDF', 'BADFEC', 39], ['BACF', 'BAFEDC', 4], ['BACFD', 'BAFDEC', 12], ['BAD', 'BADFEC', 12], ['BADC', 'BADFEC', 15], ['BADCE', 'BADEFC', 1], ['BADCF', 'BADFEC', 21], ['BADF', 'BADFEC', 2], ['BADFC', 'BADFEC', 6], ['BAFC', 'BAFEDC', 1], ['BAFCD', 'BAFDEC', 5], ['BAFCE', 'BAFEDC', 1], ['BAFDC', 'BAFDEC', 6], ['BDA', 'BDAFEC', 13], ['BDAC', 'BDAFEC', 15], ['BDACF', 'BDAFEC', 26], ['BDAF', 'BDAFEC', 1], ['BDAFC', 'BDAFEC', 5], ['BDFAC', 'BDFAEC', 6], ['BEA', 'BEAFDC', 1], ['BEADF', 'BEADFC', 1], ['BEAFD', 'BEAFDC', 1], ['BFA', 'BFAEDC', 2], ['BFACD', 'BFADEC', 3], ['BFADC', 'BFADEC', 1], ['BFDA', 'BFDAEC', 2], ['BFDAC', 'BFDAEC', 3], ['BFDEA', 'BFDEAC', 1], ['DA', 'DAFEBC', 93], ['DAB', 'DABFEC', 16], ['DABC', 'DABFEC', 12], ['DABCE', 'DABEFC', 1], ['DABCF', 'DABFEC', 27], ['DABFC', 'DABFEC', 5], ['DAC', 'DAFEBC', 50], ['DACB', 'DABFEC', 17], ['DACBF', 'DABFEC', 52], ['DACF', 'DAFEBC', 3], ['DACFB', 'DAFBEC', 28], ['DAE', 'DAEFBC', 2], ['DAF', 'DAFEBC', 4], ['DAFBC', 'DAFBEC', 2], ['DAFC', 'DAFEBC', 3], ['DAFCB', 'DAFBEC', 12], ['DBA', 'DBAFEC', 11], ['DBAC', 'DBAFEC', 8], ['DBACF', 'DBAFEC', 16], ['DBAF', 'DBAFEC', 1], ['DBAFC', 'DBAFEC', 10], ['DBAFE', 'DBAFEC', 1], ['DBFA', 'DBFAEC', 1], ['DFA', 'DFAEBC', 2], ['DFABC', 'DFABEC', 1], ['DFACB', 'DFABEC', 2], ['DFBA', 'DFBAEC', 1], ['DFBAC', 'DFBAEC', 2], ['EA', 'EAFDBC', 3], ['EADFC', 'EADFBC', 1], ['EAFCB', 'EAFBDC', 1], ['EBAC', 'EBAFDC', 1], ['EDBAC', 'EDBAFC', 1], ['FA', 'FAEDBC', 3], ['FABDC', 'FABDEC', 1], ['FBACD', 'FBADEC', 1], ['FBDA', 'FBDAEC', 1], ['FDA', 'FDAEBC', 1], ['FDACB', 'FDABEC', 1]]"
3,"./data/America/Pierce County, WA/PierceCounty_11042008_CountyAssessorTreasurer.csv",7,A,B,85547,"[['B', 'BGFEDCA', 14868], ['BA', 'BGFEDCA', 1264], ['BAC', 'BCGFEDA', 2421], ['BAD', 'BDGFECA', 1658], ['BAE', 'BEGFDCA', 1325], ['BAF', 'BFGEDCA', 1490], ['BAG', 'BGFEDCA', 24], ['BC', 'BCGFEDA', 1691], ['BCA', 'BCGFEDA', 1922], ['BCD', 'BCDGFEA', 2836], ['BCE', 'BCEGFDA', 1498], ['BCF', 'BCFGEDA', 1746], ['BCG', 'BCGFEDA', 24], ['BD', 'BDGFECA', 2224], ['BDA', 'BDGFECA', 1345], ['BDC', 'BDCGFEA', 2952], ['BDE', 'BDEGFCA', 2111], ['BDF', 'BDFGECA', 499], ['BDG', 'BDGFECA', 19], ['BE', 'BEGFDCA', 589], ['BEA', 'BEGFDCA', 777], ['BEC', 'BECGFDA', 800], ['BED', 'BEDGFCA', 782], ['BEF', 'BEFGDCA', 489], ['BEG', 'BEGFDCA', 11], ['BF', 'BFGEDCA', 651], ['BFA', 'BFGEDCA', 1178], ['BFC', 'BFCGEDA', 946], ['BFD', 'BFDGECA', 930], ['BFE', 'BFEGDCA', 1124], ['BFG', 'BFGEDCA', 9], ['BG', 'BGFEDCA', 72], ['BGA', 'BGFEDCA', 1], ['BGC', 'BGCFEDA', 1], ['BGD', 'BGDFECA', 1], ['CB', 'CBGFEDA', 1329], ['CBA', 'CBGFEDA', 2181], ['CBD', 'CBDGFEA', 2259], ['CBE', 'CBEGFDA', 1226], ['CBF', 'CBFGEDA', 1048], ['CBG', 'CBGFEDA', 12], ['CDB', 'CDBGFEA', 1612], ['CEB', 'CEBGFDA', 805], ['CFB', 'CFBGEDA', 936], ['CGB', 'CGBFEDA', 1], ['DB', 'DBGFECA', 1190], ['DBA', 'DBGFECA', 1279], ['DBC', 'DBCGFEA', 1609], ['DBE', 'DBEGFCA', 2133], ['DBF', 'DBFGECA', 590], ['DBG', 'DBGFECA', 13], ['DCB', 'DCBGFEA', 1986], ['DEB', 'DEBGFCA', 2473], ['DFB', 'DFBGECA', 468], ['DGB', 'DGBFECA', 1], ['EB', 'EBGFDCA', 445], ['EBA', 'EBGFDCA', 832], ['EBC', 'EBCGFDA', 926], ['EBD', 'EBDGFCA', 867], ['EBF', 'EBFGDCA', 640], ['EBG', 'EBGFDCA', 13], ['ECB', 'ECBGFDA', 870], ['EDB', 'EDBGFCA', 1566], ['EFB', 'EFBGDCA', 666], ['EGB', 'EGBFDCA', 1], ['FB', 'FBGEDCA', 446], ['FBA', 'FBGEDCA', 797], ['FBC', 'FBCGEDA', 808], ['FBD', 'FBDGECA', 586], ['FBE', 'FBEGDCA', 741], ['FBG', 'FBGEDCA', 4], ['FCB', 'FCBGEDA', 1017], ['FDB', 'FDBGECA', 414], ['FEB', 'FEBGDCA', 435], ['FGB', 'FGBEDCA', 1], ['GB', 'GBFEDCA', 5], ['GBA', 'GBFEDCA', 6], ['GBC', 'GBCFEDA', 6], ['GBD', 'GBDFECA', 9], ['GBE', 'GBEFDCA', 2], ['GBF', 'GBFEDCA', 3], ['GCB', 'GCBFEDA', 2], ['GDB', 'GDBFECA', 4], ['GEB', 'GEBFDCA', 2], ['GFB', 'GFBEDCA', 4]]"
4,"./data/America/Pierce County, WA/PierceCounty_11042008_CountyExecutiveMember.csv",5,B,A,132292,"[['A', 'AEDCB', 47044], ['AB', 'AEDCB', 2344], ['ABC', 'ACEDB', 5541], ['ABD', 'ADECB', 4890], ['ABE', 'AEDCB', 31], ['AC', 'ACEDB', 2488], ['ACB', 'ACEDB', 6293], ['ACD', 'ACDEB', 4818], ['ACE', 'ACEDB', 42], ['AD', 'ADECB', 10076], ['ADB', 'ADECB', 10209], ['ADC', 'ADCEB', 9924], ['ADE', 'ADECB', 620], ['AE', 'AEDCB', 664], ['AEB', 'AEDCB', 8], ['AEC', 'AECDB', 14], ['AED', 'AEDCB', 51], ['CA', 'CAEDB', 1728], ['CAB', 'CAEDB', 3833], ['CAD', 'CADEB', 2893], ['CAE', 'CAEDB', 35], ['CDA', 'CDAEB', 2336], ['CEA', 'CEADB', 6], ['DA', 'DAECB', 4919], ['DAB', 'DAECB', 4351], ['DAC', 'DACEB', 4079], ['DAE', 'DAECB', 229], ['DCA', 'DCAEB', 2769], ['DEA', 'DEACB', 9], ['EA', 'EADCB', 28], ['EAB', 'EADCB', 1], ['EAC', 'EACDB', 3], ['EAD', 'EADCB', 12], ['ECA', 'ECADB', 2], ['EDA', 'EDACB', 2]]"
5,./data/America/Maine/Maine_11062018_CongressionalDistrict2.csv,4,B,A,116640,"[['A', 'ADCB', 89783], ['AB', 'ADCB', 3298], ['ABC', 'ACDB', 568], ['ABCD', 'ACDB', 3467], ['ABD', 'ADCB', 225], ['ABDC', 'ADCB', 2212], ['AC', 'ACDB', 2776], ['ACB', 'ACDB', 605], ['ACBD', 'ACDB', 1759], ['ACD', 'ACDB', 1980], ['AD', 'ADCB', 2822], ['ADB', 'ADCB', 346], ['ADBC', 'ADCB', 1983], ['ADC', 'ADCB', 2732], ['CA', 'CADB', 489], ['CAB', 'CADB', 95], ['CABD', 'CADB', 341], ['CAD', 'CADB', 116], ['CDA', 'CDAB', 284], ['DA', 'DACB', 262], ['DAB', 'DACB', 43], ['DABC', 'DACB', 200], ['DAC', 'DACB', 88], ['DCA', 'DCAB', 166]]"
6,./data/America/Maine/Maine_07142020_DemocraticCandidateforMaineStateSenateDistrict11.csv,3,A,B,1218,"[['B', 'BCA', 199], ['BA', 'BCA', 124], ['BAC', 'BCA', 788], ['BC', 'BCA', 51], ['CB', 'CBA', 56]]"
7,./data/America/Maine/Maine_11082022_CongressionalDistrict2.csv,4,A,B,143865,"[['B', 'BDCA', 97410], ['BA', 'BDCA', 3190], ['BAC', 'BCDA', 8099], ['BACD', 'BCDA', 326], ['BAD', 'BDCA', 23], ['BADC', 'BDCA', 44], ['BC', 'BCDA', 10625], ['BCA', 'BCDA', 17148], ['BCAD', 'BCDA', 729], ['BCD', 'BCDA', 614], ['BD', 'BDCA', 751], ['BDA', 'BDCA', 8], ['BDAC', 'BDCA', 89], ['BDC', 'BDCA', 137], ['CB', 'CBDA', 1242], ['CBA', 'CBDA', 3205], ['CBAD', 'CBDA', 117], ['CBD', 'CBDA', 43], ['CDB', 'CDBA', 7], ['DB', 'DBCA', 23], ['DBA', 'DBCA', 4], ['DBAC', 'DBCA', 21], ['DBC', 'DBCA', 6], ['DCB', 'DCBA', 4]]"
