,file_name,num_cands,old_winner,new_winner,ballot_change_num,modified_ballots
0,"./data/America/Corvallis, OR/Corvallis_11082022_Mayor.csv",4,A,B,9864,"[['B', 'BDCA', 501], ['BA', 'BDCA', 304], ['BAC', 'BCDA', 3722], ['BAD', 'BDCA', 159], ['BC', 'BCDA', 212], ['BCA', 'BCDA', 2119], ['BCD', 'BCDA', 52], ['BD', 'BDCA', 16], ['BDA', 'BDCA', 32], ['BDC', 'BDCA', 6], ['CB', 'CBDA', 178], ['CBA', 'CBDA', 2484], ['CBD', 'CBDA', 26], ['CDB', 'CDBA', 12], ['DB', 'DBCA', 4], ['DBA', 'DBCA', 16], ['DBC', 'DBCA', 9], ['DCB', 'DCBA', 12]]"
1,./data/America/Burlington/Burlington_03072006_Mayor.csv,6,A,B,3985,"[['B', 'BFEDCA', 538], ['BA', 'BFEDCA', 873], ['BAC', 'BCFEDA', 199], ['BACD', 'BCDFEA', 6], ['BACDE', 'BCDEFA', 14], ['BACDF', 'BCDFEA', 88], ['BACED', 'BCEDFA', 9], ['BACF', 'BCFEDA', 7], ['BACFD', 'BCFDEA', 96], ['BACFE', 'BCFEDA', 2], ['BAD', 'BDFECA', 45], ['BADC', 'BDCFEA', 3], ['BADCE', 'BDCEFA', 1], ['BADCF', 'BDCFEA', 22], ['BADE', 'BDEFCA', 3], ['BADEC', 'BDECFA', 3], ['BADEF', 'BDEFCA', 1], ['BADF', 'BDFECA', 20], ['BADFC', 'BDFCEA', 76], ['BADFE', 'BDFECA', 3], ['BAE', 'BEFDCA', 11], ['BAEC', 'BECFDA', 1], ['BAECD', 'BECDFA', 1], ['BAECF', 'BECFDA', 1], ['BAEDC', 'BEDCFA', 5], ['BAEDF', 'BEDFCA', 1], ['BAF', 'BFEDCA', 52], ['BAFC', 'BFCEDA', 4], ['BAFCD', 'BFCDEA', 47], ['BAFCE', 'BFCEDA', 1], ['BAFD', 'BFDECA', 16], ['BAFDC', 'BFDCEA', 80], ['BAFE', 'BFEDCA', 2], ['BC', 'BCFEDA', 270], ['BCA', 'BCFEDA', 128], ['BCAD', 'BCDFEA', 3], ['BCADE', 'BCDEFA', 7], ['BCADF', 'BCDFEA', 53], ['BCAED', 'BCEDFA', 3], ['BCAF', 'BCFEDA', 2], ['BCAFD', 'BCFDEA', 84], ['BCD', 'BCDFEA', 9], ['BCDA', 'BCDFEA', 2], ['BCDAE', 'BCDEFA', 3], ['BCDAF', 'BCDFEA', 16], ['BCDEA', 'BCDEFA', 5], ['BCDFA', 'BCDFEA', 19], ['BCDFE', 'BCDFEA', 1], ['BCE', 'BCEFDA', 3], ['BCEDA', 'BCEDFA', 1], ['BCF', 'BCFEDA', 11], ['BCFA', 'BCFEDA', 3], ['BCFAD', 'BCFDEA', 19], ['BCFD', 'BCFDEA', 2], ['BCFDA', 'BCFDEA', 15], ['BD', 'BDFECA', 18], ['BDA', 'BDFECA', 5], ['BDAC', 'BDCFEA', 1], ['BDACF', 'BDCFEA', 5], ['BDAEC', 'BDECFA', 1], ['BDAF', 'BDFECA', 1], ['BDAFC', 'BDFCEA', 14], ['BDC', 'BDCFEA', 4], ['BDCA', 'BDCFEA', 3], ['BDCAF', 'BDCFEA', 5], ['BDCEA', 'BDCEFA', 1], ['BDCF', 'BDCFEA', 3], ['BDCFA', 'BDCFEA', 6], ['BDEAC', 'BDECFA', 1], ['BDF', 'BDFECA', 14], ['BDFA', 'BDFECA', 3], ['BDFAC', 'BDFCEA', 18], ['BDFCA', 'BDFCEA', 6], ['BE', 'BEFDCA', 10], ['BEA', 'BEFDCA', 1], ['BEAC', 'BECFDA', 1], ['BEAFD', 'BEFDCA', 2], ['BEC', 'BECFDA', 1], ['BECFA', 'BECFDA', 1], ['BED', 'BEDFCA', 1], ['BEDCA', 'BEDCFA', 1], ['BEFDC', 'BEFDCA', 1], ['BF', 'BFEDCA', 19], ['BFA', 'BFEDCA', 11], ['BFAC', 'BFCEDA', 2], ['BFACD', 'BFCDEA', 9], ['BFAD', 'BFDECA', 2], ['BFADC', 'BFDCEA', 17], ['BFADE', 'BFDECA', 1], ['BFC', 'BFCEDA', 2], ['BFCA', 'BFCEDA', 1], ['BFCAD', 'BFCDEA', 3], ['BFCDA', 'BFCDEA', 4], ['BFCED', 'BFCEDA', 1], ['BFD', 'BFDECA', 1], ['BFDAC', 'BFDCEA', 10], ['BFDCA', 'BFDCEA', 4], ['BFECD', 'BFECDA', 1], ['CB', 'CBFEDA', 296], ['CBA', 'CBFEDA', 136], ['CBAD', 'CBDFEA', 4], ['CBADE', 'CBDEFA', 10], ['CBADF', 'CBDFEA', 60], ['CBAE', 'CBEFDA', 2], ['CBAED', 'CBEDFA', 5], ['CBAF', 'CBFEDA', 1], ['CBAFD', 'CBFDEA', 68], ['CBAFE', 'CBFEDA', 1], ['CBD', 'CBDFEA', 18], ['CBDAF', 'CBDFEA', 18], ['CBDE', 'CBDEFA', 2], ['CBDEF', 'CBDEFA', 1], ['CBDF', 'CBDFEA', 5], ['CBDFA', 'CBDFEA', 27], ['CBE', 'CBEFDA', 2], ['CBED', 'CBEDFA', 1], ['CBF', 'CBFEDA', 19], ['CBFA', 'CBFEDA', 1], ['CBFAD', 'CBFDEA', 18], ['CBFD', 'CBFDEA', 3], ['CBFDA', 'CBFDEA', 18], ['CBFDE', 'CBFDEA', 2], ['CBFEA', 'CBFEDA', 1], ['CDB', 'CDBFEA', 21], ['CDBAE', 'CDBEFA', 1], ['CDBAF', 'CDBFEA', 10], ['CDBF', 'CDBFEA', 1], ['CDBFA', 'CDBFEA', 9], ['CDEBA', 'CDEBFA', 1], ['CDFB', 'CDFBEA', 1], ['CDFBA', 'CDFBEA', 17], ['CEB', 'CEBFDA', 1], ['CEBA', 'CEBFDA', 1], ['CEBAD', 'CEBDFA', 2], ['CEBAF', 'CEBFDA', 1], ['CEBFD', 'CEBFDA', 1], ['CEDBA', 'CEDBFA', 1], ['CEDBF', 'CEDBFA', 1], ['CEDFB', 'CEDFBA', 1], ['CEFDB', 'CEFDBA', 2], ['CFB', 'CFBEDA', 2], ['CFBA', 'CFBEDA', 2], ['CFBAD', 'CFBDEA', 6], ['CFBDA', 'CFBDEA', 3], ['CFDBA', 'CFDBEA', 14], ['DB', 'DBFECA', 2], ['DBA', 'DBFECA', 1], ['DBACF', 'DBCFEA', 4], ['DBAF', 'DBFECA', 1], ['DBAFC', 'DBFCEA', 2], ['DBC', 'DBCFEA', 2], ['DBCAF', 'DBCFEA', 2], ['DBCF', 'DBCFEA', 1], ['DBF', 'DBFECA', 1], ['DBFA', 'DBFECA', 1], ['DBFAC', 'DBFCEA', 1], ['DCBAE', 'DCBEFA', 1], ['DCBAF', 'DCBFEA', 1], ['DCBF', 'DCBFEA', 1], ['DFB', 'DFBECA', 1], ['DFBAC', 'DFBCEA', 1], ['DFCBA', 'DFCBEA', 1], ['EB', 'EBFDCA', 3], ['EBA', 'EBFDCA', 3], ['EBAC', 'EBCFDA', 1], ['EBADF', 'EBDFCA', 2], ['EBC', 'EBCFDA', 2], ['EBDAC', 'EBDCFA', 1], ['ECB', 'ECBFDA', 3], ['ECBA', 'ECBFDA', 1], ['EDBCA', 'EDBCFA', 1], ['EFBAC', 'EFBCDA', 1], ['FB', 'FBEDCA', 3], ['FBA', 'FBEDCA', 2], ['FBAC', 'FBCEDA', 1], ['FBADC', 'FBDCEA', 6], ['FBCAD', 'FBCDEA', 3], ['FBD', 'FBDECA', 1], ['FCDBA', 'FCDBEA', 1], ['FDBAE', 'FDBECA', 1], ['FDCBA', 'FDCBEA', 1]]"
2,./data/America/Burlington/Burlington_03032009_Mayor.csv,6,C,B,3476,"[['AB', 'ABFEDC', 80], ['ABC', 'ABFEDC', 24], ['ABCD', 'ABDFEC', 15], ['ABCDF', 'ABDFEC', 50], ['ABCFD', 'ABFDEC', 21], ['ABD', 'ABDFEC', 21], ['ABDC', 'ABDFEC', 5], ['ABDCF', 'ABDFEC', 45], ['ABDF', 'ABDFEC', 2], ['ABDFC', 'ABDFEC', 12], ['ABF', 'ABFEDC', 2], ['ABFC', 'ABFEDC', 1], ['ABFCD', 'ABFDEC', 1], ['ABFDC', 'ABFDEC', 2], ['ADB', 'ADBFEC', 30], ['ADBC', 'ADBFEC', 19], ['ADBCE', 'ADBEFC', 1], ['ADBCF', 'ADBFEC', 52], ['ADBFC', 'ADBFEC', 17], ['ADFBC', 'ADFBEC', 15], ['AEB', 'AEBFDC', 1], ['AFB', 'AFBEDC', 1], ['AFBCD', 'AFBDEC', 2], ['AFBDC', 'AFBDEC', 1], ['AFDBC', 'AFDBEC', 10], ['B', 'BFEDAC', 326], ['BA', 'BAFEDC', 66], ['BAC', 'BAFEDC', 31], ['BACD', 'BADFEC', 12], ['BACDF', 'BADFEC', 39], ['BACF', 'BAFEDC', 4], ['BACFD', 'BAFDEC', 12], ['BAD', 'BADFEC', 12], ['BADC', 'BADFEC', 15], ['BADCE', 'BADEFC', 1], ['BADCF', 'BADFEC', 21], ['BADF', 'BADFEC', 2], ['BADFC', 'BADFEC', 6], ['BAFC', 'BAFEDC', 1], ['BAFCD', 'BAFDEC', 5], ['BAFCE', 'BAFEDC', 1], ['BAFDC', 'BAFDEC', 6], ['BC', 'BFEDAC', 355], ['BCA', 'BAFEDC', 48], ['BCAD', 'BADFEC', 24], ['BCADF', 'BADFEC', 71], ['BCAE', 'BAEFDC', 2], ['BCAFD', 'BAFDEC', 14], ['BCD', 'BDFEAC', 234], ['BCDA', 'BDAFEC', 60], ['BCDAE', 'BDAEFC', 1], ['BCDAF', 'BDAFEC', 123], ['BCDE', 'BDEFAC', 1], ['BCDF', 'BDFEAC', 42], ['BCDFA', 'BDFAEC', 120], ['BCDFE', 'BDFEAC', 9], ['BCE', 'BEFDAC', 2], ['BCEAF', 'BEAFDC', 1], ['BCF', 'BFEDAC', 52], ['BCFA', 'BFAEDC', 1], ['BCFAD', 'BFADEC', 13], ['BCFD', 'BFDEAC', 41], ['BCFDA', 'BFDAEC', 103], ['BCFDE', 'BFDEAC', 3], ['BCFEA', 'BFEADC', 1], ['BD', 'BDFEAC', 125], ['BDA', 'BDAFEC', 13], ['BDAC', 'BDAFEC', 15], ['BDACF', 'BDAFEC', 26], ['BDAF', 'BDAFEC', 1], ['BDAFC', 'BDAFEC', 5], ['BDC', 'BDFEAC', 121], ['BDCA', 'BDAFEC', 29], ['BDCAF', 'BDAFEC', 55], ['BDCE', 'BDEFAC', 1], ['BDCEA', 'BDEAFC', 1], ['BDCEF', 'BDEFAC', 4], ['BDCF', 'BDFEAC', 21], ['BDCFA', 'BDFAEC', 80], ['BDCFE', 'BDFEAC', 9], ['BDE', 'BDEFAC', 2], ['BDECF', 'BDEFAC', 3], ['BDF', 'BDFEAC', 15], ['BDFAC', 'BDFAEC', 6], ['BDFC', 'BDFEAC', 9], ['BDFCA', 'BDFAEC', 23], ['BDFCE', 'BDFEAC', 6], ['BDFEC', 'BDFEAC', 1], ['BE', 'BEFDAC', 4], ['BEA', 'BEAFDC', 1], ['BEADF', 'BEADFC', 1], ['BEAFD', 'BEAFDC', 1], ['BEC', 'BEFDAC', 1], ['BECD', 'BEDFAC', 1], ['BECDF', 'BEDFAC', 4], ['BEDCF', 'BEDFAC', 1], ['BF', 'BFEDAC', 19], ['BFA', 'BFAEDC', 2], ['BFACD', 'BFADEC', 3], ['BFADC', 'BFADEC', 1], ['BFC', 'BFEDAC', 16], ['BFCAD', 'BFADEC', 7], ['BFCAE', 'BFAEDC', 1], ['BFCD', 'BFDEAC', 8], ['BFCDA', 'BFDAEC', 24], ['BFCDE', 'BFDEAC', 1], ['BFCED', 'BFEDAC', 2], ['BFD', 'BFDEAC', 8], ['BFDA', 'BFDAEC', 2], ['BFDAC', 'BFDAEC', 3], ['BFDC', 'BFDEAC', 6], ['BFDCA', 'BFDAEC', 12], ['BFDE', 'BFDEAC', 1], ['BFDEA', 'BFDEAC', 1], ['BFE', 'BFEDAC', 1], ['BFECA', 'BFEADC', 1], ['DAB', 'DABFEC', 16], ['DABC', 'DABFEC', 12], ['DABCE', 'DABEFC', 1], ['DABCF', 'DABFEC', 27], ['DABFC', 'DABFEC', 5], ['DAFBC', 'DAFBEC', 2], ['DB', 'DBFEAC', 51], ['DBA', 'DBAFEC', 11], ['DBAC', 'DBAFEC', 8], ['DBACF', 'DBAFEC', 16], ['DBAF', 'DBAFEC', 1], ['DBAFC', 'DBAFEC', 10], ['DBAFE', 'DBAFEC', 1], ['DBC', 'DBFEAC', 88], ['DBCA', 'DBAFEC', 27], ['DBCAE', 'DBAEFC', 1], ['DBCAF', 'DBAFEC', 32], ['DBCEA', 'DBEAFC', 2], ['DBCEF', 'DBEFAC', 5], ['DBCF', 'DBFEAC', 13], ['DBCFA', 'DBFAEC', 58], ['DBCFE', 'DBFEAC', 1], ['DBECF', 'DBEFAC', 2], ['DBF', 'DBFEAC', 7], ['DBFA', 'DBFAEC', 1], ['DBFC', 'DBFEAC', 5], ['DBFCA', 'DBFAEC', 14], ['DBFCE', 'DBFEAC', 2], ['DFABC', 'DFABEC', 1], ['DFB', 'DFBEAC', 2], ['DFBA', 'DFBAEC', 1], ['DFBAC', 'DFBAEC', 2], ['DFBC', 'DFBEAC', 4], ['DFBCA', 'DFBAEC', 5], ['EB', 'EBFDAC', 3], ['EBAC', 'EBAFDC', 1], ['EBC', 'EBFDAC', 1], ['EBDFC', 'EBDFAC', 1], ['EDBAC', 'EDBAFC', 1], ['FABDC', 'FABDEC', 1], ['FB', 'FBEDAC', 3], ['FBACD', 'FBADEC', 1], ['FBC', 'FBEDAC', 2], ['FBCAD', 'FBADEC', 2], ['FBCAE', 'FBAEDC', 1], ['FBCD', 'FBDEAC', 1], ['FBCDA', 'FBDAEC', 1], ['FBDA', 'FBDAEC', 1], ['FBDC', 'FBDEAC', 1], ['FBDCE', 'FBDEAC', 1], ['FDB', 'FDBEAC', 1], ['FDBCA', 'FDBAEC', 4]]"
3,"./data/America/Pierce County, WA/PierceCounty_11042008_CountyAssessorTreasurer.csv",7,A,C,92322,"[['BC', 'BCGFEDA', 1691], ['BCA', 'BCGFEDA', 1922], ['BCD', 'BCDGFEA', 2836], ['BCE', 'BCEGFDA', 1498], ['BCF', 'BCFGEDA', 1746], ['BCG', 'BCGFEDA', 24], ['BDC', 'BDCGFEA', 2952], ['BEC', 'BECGFDA', 800], ['BFC', 'BFCGEDA', 946], ['BGC', 'BGCFEDA', 1], ['C', 'CGFEDBA', 16763], ['CA', 'CGFEDBA', 1409], ['CAB', 'CBGFEDA', 2074], ['CAD', 'CDGFEBA', 1805], ['CAE', 'CEGFDBA', 1241], ['CAF', 'CFGEDBA', 877], ['CAG', 'CGFEDBA', 23], ['CB', 'CBGFEDA', 1329], ['CBA', 'CBGFEDA', 2181], ['CBD', 'CBDGFEA', 2259], ['CBE', 'CBEGFDA', 1226], ['CBF', 'CBFGEDA', 1048], ['CBG', 'CBGFEDA', 12], ['CD', 'CDGFEBA', 1645], ['CDA', 'CDGFEBA', 1421], ['CDB', 'CDBGFEA', 1612], ['CDE', 'CDEGFBA', 4532], ['CDF', 'CDFGEBA', 531], ['CDG', 'CDGFEBA', 17], ['CE', 'CEGFDBA', 726], ['CEA', 'CEGFDBA', 736], ['CEB', 'CEBGFDA', 805], ['CED', 'CEDGFBA', 1142], ['CEF', 'CEFGDBA', 435], ['CEG', 'CEGFDBA', 13], ['CF', 'CFGEDBA', 587], ['CFA', 'CFGEDBA', 853], ['CFB', 'CFBGEDA', 936], ['CFD', 'CFDGEBA', 924], ['CFE', 'CFEGDBA', 756], ['CFG', 'CFGEDBA', 6], ['CG', 'CGFEDBA', 89], ['CGA', 'CGFEDBA', 1], ['CGB', 'CGBFEDA', 1], ['CGD', 'CGDFEBA', 7], ['CGF', 'CGFEDBA', 1], ['DBC', 'DBCGFEA', 1609], ['DC', 'DCGFEBA', 1680], ['DCA', 'DCGFEBA', 1576], ['DCB', 'DCBGFEA', 1986], ['DCE', 'DCEGFBA', 2753], ['DCF', 'DCFGEBA', 602], ['DCG', 'DCGFEBA', 18], ['DEC', 'DECGFBA', 4044], ['DFC', 'DFCGEBA', 511], ['EBC', 'EBCGFDA', 926], ['EC', 'ECGFDBA', 491], ['ECA', 'ECGFDBA', 791], ['ECB', 'ECBGFDA', 870], ['ECD', 'ECDGFBA', 1147], ['ECF', 'ECFGDBA', 523], ['ECG', 'ECGFDBA', 8], ['EDC', 'EDCGFBA', 2715], ['EFC', 'EFCGDBA', 421], ['EGC', 'EGCFDBA', 3], ['FBC', 'FBCGEDA', 808], ['FC', 'FCGEDBA', 525], ['FCA', 'FCGEDBA', 681], ['FCB', 'FCBGEDA', 1017], ['FCD', 'FCDGEBA', 657], ['FCE', 'FCEGDBA', 653], ['FCG', 'FCGEDBA', 9], ['FDC', 'FDCGEBA', 419], ['FEC', 'FECGDBA', 413], ['FGC', 'FGCEDBA', 1], ['GBC', 'GBCFEDA', 6], ['GCA', 'GCFEDBA', 1], ['GCB', 'GCBFEDA', 2], ['GCD', 'GCDFEBA', 5], ['GCE', 'GCEFDBA', 3], ['GCF', 'GCFEDBA', 2], ['GDC', 'GDCFEBA', 6], ['GFC', 'GFCEDBA', 1]]"
4,"./data/America/Pierce County, WA/PierceCounty_11042008_CountyExecutiveMember.csv",5,B,C,105088,"[['AC', 'ACEDB', 2488], ['ACB', 'ACEDB', 6293], ['ACD', 'ACDEB', 4818], ['ACE', 'ACEDB', 42], ['ADC', 'ADCEB', 9924], ['AEC', 'AECDB', 14], ['C', 'CEDAB', 16757], ['CA', 'CAEDB', 1728], ['CAB', 'CAEDB', 3833], ['CAD', 'CADEB', 2893], ['CAE', 'CAEDB', 35], ['CB', 'CEDAB', 11047], ['CBA', 'CAEDB', 7050], ['CBD', 'CDEAB', 16823], ['CBE', 'CEDAB', 262], ['CD', 'CDEAB', 1490], ['CDA', 'CDAEB', 2336], ['CDB', 'CDEAB', 4678], ['CDE', 'CDEAB', 22], ['CE', 'CEDAB', 81], ['CEA', 'CEADB', 6], ['CEB', 'CEDAB', 7], ['CED', 'CEDAB', 4], ['DAC', 'DACEB', 4079], ['DC', 'DCEAB', 1282], ['DCA', 'DCAEB', 2769], ['DCB', 'DCEAB', 4264], ['DCE', 'DCEAB', 24], ['DEC', 'DECAB', 4], ['EAC', 'EACDB', 3], ['EC', 'ECDAB', 6], ['ECA', 'ECADB', 2], ['ECB', 'ECDAB', 7], ['ECD', 'ECDAB', 7], ['EDC', 'EDCAB', 10]]"
