election,candidates,complete,incomplete
BallotPaperDetails-Brighton with candidates.csv,9,98.3,1.7
BallotPaperDetails-Northcote with candidates.csv,11,98.3,1.7
BallotPaperDetails-Werribee with candidates.csv,15,98.7,1.3
BallotPaperDetails-Point Cook with candidates.csv,15,98.6,1.4
BallotPaperDetails-Hawthorn with candidates.csv,8,99.0,1.0
BallotPaperDetails-Preston with Candidates.csv,10,98.0,2.0
BallotPaperDetails-Melton with candidates.csv,14,98.7,1.3
Ballina-mayoral-finalpreferencedatafile (1).csv,5,15.3,84.7
The_Hills_Shire-mayoral-finalpreferencedatafile.csv,5,18.7,81.3
Nambucca_Valley-mayoral-finalpreferencedatafile.csv,2,8.0,92.0
City_of_Sydney-mayoral-finalpreferencedatafile.csv,6,26.9,73.1
City_of_Coffs_Harbour-mayoral-finalpreferencedatafile.csv,10,10.1,89.9
City_of_Lismore-mayoral-finalpreferencedatafile.csv,6,23.8,76.2
Eurobodalla-mayoral-finalpreferencedatafile.csv,7,15.7,84.3
City_of_Shellharbour-mayoral-finalpreferencedatafile.csv,2,10.9,89.1
Singleton-mayoral-finalpreferencedatafile.csv,4,25.5,74.5
Uralla-mayoral-finalpreferencedatafile.csv,3,31.2,68.8
City_of_Shoalhaven-mayoral-finalpreferencedatafile.csv,6,19.1,80.9
Port_Macquarie-Hastings-mayoral-finalpreferencedatafile.csv,5,19.1,80.9
Richmond_Valley-mayoral-finalpreferencedatafile.csv,2,6.6,93.4
City_of_Lake_Macquarie-mayoral-finalpreferencedatafile.csv,4,25.8,74.2
Port_Stephens-mayoral-finalpreferencedatafile.csv,2,6.1,93.9
Wollondilly-mayoral-finalpreferencedatafile.csv,6,17.7,82.3
City_of_Griffith-mayoral-finalpreferencedatafile.csv,5,19.4,80.6
Hunters_Hill-mayoral-finalpreferencedatafile.csv,4,43.0,57.0
City_of_Cessnock-mayoral-finalpreferencedatafile.csv,4,27.3,72.7
City_of_Newcastle-mayoral-finalpreferencedatafile.csv,6,29.3,70.7
City_of_Willoughby-mayoral-finalpreferencedatafile.csv,3,26.4,73.6
City_of_Maitland-mayoral-finalpreferencedatafile.csv,7,22.9,77.1
City_of_Broken_Hill-mayoral-finalpreferencedatafile.csv,3,34.0,66.0
Bellingen-mayoral-finalpreferencedatafile (1).csv,3,28.5,71.5
Byron-mayoral-finalpreferencedatafile.csv,9,19.2,80.8
City_of_Orange-mayoral-finalpreferencedatafile.csv,7,18.6,81.4
Hornsby-mayoral-finalpreferencedatafile.csv,2,5.9,94.1
Kempsey-mayoral-finalpreferencedatafile.csv,7,10.9,89.1
Burwood-mayoral-finalpreferencedatafile.csv,4,22.3,77.7
City_of_Wollongong-mayoral-finalpreferencedatafile.csv,6,23.4,76.6
City_of_Liverpool-mayoral-finalpreferencedatafile.csv,5,20.9,79.1
SB1702 LA Pref Data_NA_Cootamundra.csv,6,26.3,73.7
SB1702 LA Pref Data_NA_Murray.csv,6,27.1,72.9
SB1701 LA Pref Data_NA_Gosford.csv,6,25.1,74.9
SB1701 LA Pref Data_NA_North Shore.csv,8,30.7,69.3
SB1701 LA Pref Data_NA_Manly.csv,12,7.7,92.3
SB1702 LA Pref Data_NA_Blacktown.csv,4,24.6,75.4
SGE2019 LA Pref Data Murray.csv,10,11.4,88.6
SGE2019 LA Pref Data Sydney.csv,6,30.1,69.9
SGE2019 LA Pref Data Newtown.csv,7,29.8,70.2
SGE2019 LA Pref Data Balmain.csv,6,29.5,70.5
SGE2019 LA Pref Data Camden.csv,7,18.9,81.1
SGE2019 LA Pref Data Maitland.csv,8,14.6,85.4
SGE2019 LA Pref Data Ku-ring-gai.csv,6,21.4,78.6
SGE2019 LA Pref Data Bega.csv,6,32.2,67.8
SGE2019 LA Pref Data Orange.csv,9,15.1,84.9
SGE2019 LA Pref Data Goulburn.csv,7,19.7,80.3
SGE2019 LA Pref Data Kiama.csv,5,27.1,72.9
SGE2019 LA Pref Data Wollondilly.csv,8,20.2,79.8
SGE2019 LA Pref Data Fairfield.csv,4,32.6,67.4
SGE2019 LA Pref Data Coogee.csv,8,20.2,79.8
SGE2019 LA Pref Data Cessnock.csv,5,22.8,77.2
SGE2019 LA Pref Data Maroubra.csv,7,15.2,84.8
SGE2019 LA Pref Data The Entrance.csv,7,24.5,75.5
SGE2019 LA Pref Data Bathurst.csv,6,22.3,77.7
SGE2019 LA Pref Data Oatley.csv,5,24.6,75.4
SGE2019 LA Pref Data Swansea.csv,5,20.4,79.6
SGE2019 LA Pref Data Blue Mountains.csv,7,24.1,75.9
SGE2019 LA Pref Data Miranda.csv,6,17.1,82.9
SGE2019 LA Pref Data Auburn.csv,5,25.2,74.8
SGE2019 LA Pref Data Barwon.csv,9,17.4,82.6
SGE2019 LA Pref Data Lakemba.csv,6,22.2,77.8
SGE2019 LA Pref Data Mount Druitt.csv,5,19.5,80.5
SGE2019 LA Pref Data Pittwater.csv,8,18.2,81.8
SGE2019 LA Pref Data East Hills.csv,7,13.7,86.3
