election,complete,incomplete
Eastpointe_11022021_CityCouncil.csv,0.0,100.0
Eastpointe_11052019_CityCouncil.csv,49.7,50.3
StLouisPark_11022021_CityCouncilWard3.csv,51.6,48.4
StLouisPark_11022021_CityCouncilWard2.csv,4.0,96.0
StLouisPark_11022021_CityCouncilWard1.csv,100.0,0.0
StLouisPark_11022021_CityCouncilWard4.csv,100.0,0.0
Alaska_11082022_HouseDistrict23.csv,36.0,64.0
Alaska_11082022_HouseDistrict37.csv,100.0,0.0
Alaska_11082022_HouseDistrict36.csv,20.3,79.7
Alaska_11082022_HouseDistrict22.csv,25.1,74.9
Alaska_08162022_HouseofRepresentativesSpecial.csv,27.5,72.5
Alaska_11082022_HouseDistrict34.csv,18.5,81.5
Alaska_11082022_HouseDistrict20.csv,19.1,80.9
Alaska_11082022_HouseDistrict21.csv,21.6,78.4
Alaska_11082022_HouseDistrict35.csv,15.8,84.2
Alaska_11082022_HouseDistrict19.csv,51.8,48.2
Alaska_11082022_HouseDistrict31.csv,25.0,75.0
Alaska_11082022_HouseDistrict25.csv,37.1,62.9
Alaska_11082022_HouseDistrict24.csv,19.2,80.8
Alaska_11082022_HouseDistrict30.csv,15.7,84.3
Alaska_11082022_HouseDistrict18.csv,25.8,74.2
Alaska_11082022_HouseDistrict26.csv,20.0,80.0
Alaska_11082022_HouseDistrict32.csv,23.2,76.8
Alaska_11052024_StateHouseD40.csv,32.5,67.5
Alaska_11082022_HouseDistrict33.csv,100.0,0.0
Alaska_11082022_HouseDistrict27.csv,39.0,61.0
Alaska_11082022_HouseDistrict40.csv,100.0,0.0
Alaska_11052024_StateHouseD33.csv,100.0,0.0
Alaska_11052024_StateHouseD27.csv,25.9,74.1
Alaska_11082022_HouseDistrict1.csv,25.4,74.6
Alaska_11052024_StateHouseD26.csv,100.0,0.0
Alaska_11052024_StateHouseD32.csv,20.2,79.8
Alaska_11052024_StateHouseD1.csv,16.5,83.5
Alaska_11082022_SenateDistrictA.csv,31.9,68.1
Alaska_11052024_StateSenateJ.csv,20.2,79.8
Alaska_11052024_StateSenateH.csv,16.2,83.8
Alaska_11082022_SenateDistrictC.csv,24.4,75.6
Alaska_11052024_StateHouseD3.csv,100.0,0.0
Alaska_11052024_StateHouseD24.csv,100.0,0.0
Alaska_11052024_StateHouseD30.csv,25.4,74.6
Alaska_11052024_StateHouseD18.csv,17.5,82.5
Alaska_11082022_HouseDistrict2.csv,22.3,77.7
Alaska_11082022_HouseDistrict3.csv,100.0,0.0
Alaska_11052024_StateHouseD19.csv,16.0,84.0
Alaska_11052024_StateHouseD31.csv,19.8,80.2
Alaska_11052024_StateHouseD25.csv,100.0,0.0
Alaska_11052024_StateHouseD2.csv,100.0,0.0
Alaska_11082022_SenateDistrictB.csv,100.0,0.0
Alaska_11082022_GovernorLieutenantGovernor.csv,17.4,82.6
Alaska_11082022_SenateDistrictQ.csv,20.9,79.1
Alaska_11082022_SenateDistrictF.csv,20.4,79.6
Alaska_11052024_StateHouseD6.csv,10.2,89.8
Alaska_11052024_StateHouseD21.csv,16.5,83.5
Alaska_11052024_StateHouseD35.csv,15.5,84.5
Alaska_11082022_HouseDistrict7.csv,35.9,64.1
Alaska_11082022_HouseDistrict6.csv,15.3,84.7
Alaska_11052024_StateHouseD34.csv,24.7,75.3
Alaska_11052024_StateHouseD20.csv,21.4,78.6
Alaska_11052024_StateHouseD7.csv,23.7,76.3
Alaska_11082022_SenateDistrictG.csv,22.6,77.4
Alaska_11082022_SenateDistrictP.csv,25.0,75.0
Alaska_11052024_StateSenateL.csv,13.4,86.6
Alaska_11052024_StateSenateN.csv,23.3,76.7
Alaska_11082022_SenateDistrictR.csv,23.2,76.8
Alaska_11082022_SenateDistrictE.csv,18.8,81.2
Alaska_11052024_StateHouseD5.csv,17.6,82.4
Alaska_11052024_StateHouseD36.csv,11.4,88.6
Alaska_11052024_StateHouseD22.csv,22.2,77.8
Alaska_11082022_HouseDistrict4.csv,23.5,76.5
Alaska_11082022_HouseDistrict5.csv,31.9,68.1
Alaska_11052024_StateHouseD23.csv,15.2,84.8
Alaska_11052024_StateHouseD37.csv,24.4,75.6
Alaska_11052024_StateHouseD4.csv,100.0,0.0
Alaska_11082022_SenateDistrictD.csv,17.7,82.3
Alaska_11082022_SenateDistrictS.csv,40.9,59.1
Alaska_11052024_StateSenateB.csv,100.0,0.0
Alaska_11082022_SenateDistrictI.csv,27.8,72.2
Alaska_11052024_StateHouseD9.csv,15.3,84.7
Alaska_11052024_StateHouseD12.csv,19.4,80.6
Alaska_11082022_HouseDistrict8.csv,100.0,0.0
Alaska_11082022_HouseDistrict9.csv,19.0,81.0
Alaska_11052024_StateHouseD13.csv,19.1,80.9
Alaska_11052024_StateHouseD8.csv,27.1,72.9
Alaska_11082022_SenateDistrictH.csv,22.0,78.0
Alaska_11082022_USRepresentative.csv,17.7,82.3
Alaska_11052024_StateSenateT.csv,100.0,0.0
Alaska_11082022_SenateDistrictJ.csv,23.9,76.1
Alaska_11052024_StateHouseD11.csv,15.9,84.1
Alaska_11052024_StateHouseD39.csv,37.5,62.5
Alaska_11052024_StateHouseD38.csv,28.8,71.2
Alaska_11052024_StateHouseD10.csv,27.7,72.3
Alaska_11082022_SenateDistrictK.csv,23.0,77.0
Alaska_11052024_StateSenateD.csv,11.1,88.9
Alaska_11082022_SenateDistrictO.csv,41.1,58.9
Alaska_11052024_StateHouseD28.csv,24.0,76.0
Alaska_11052024_StateHouseD14.csv,27.0,73.0
Alaska_11052024_StateHouseD15.csv,13.4,86.6
Alaska_11052024_StateHouseD29.csv,100.0,0.0
Alaska_11082022_SenateDistrictN.csv,42.1,57.9
Alaska_11052024_StateSenateR.csv,14.9,85.1
Alaska_11052024_StateSenateP.csv,20.3,79.7
Alaska_11082022_SenateDistrictL.csv,38.9,61.1
Alaska_11082022_USSenator.csv,16.9,83.1
Alaska_11052024_StateHouseD17.csv,100.0,0.0
Alaska_11052024_StateHouseD16.csv,21.1,78.9
Alaska_11082022_SenateDistrictM.csv,17.8,82.2
Alaska_11052024_StateSenateF.csv,14.0,86.0
Alaska_11052024_President.csv,10.9,89.1
Alaska_11082022_HouseDistrict16.csv,20.4,79.6
Alaska_11082022_HouseDistrict17.csv,51.9,48.1
Alaska_11082022_HouseDistrict15.csv,19.9,80.1
Alaska_11082022_HouseDistrict29.csv,22.8,77.2
Alaska_11082022_HouseDistrict28.csv,31.3,68.7
Alaska_11082022_HouseDistrict14.csv,21.6,78.4
Alaska_11082022_HouseDistrict38.csv,100.0,0.0
Alaska_11082022_HouseDistrict10.csv,20.1,79.9
Alaska_11082022_HouseDistrict11.csv,19.8,80.2
Alaska_11082022_HouseDistrict39.csv,51.6,48.4
Alaska_11052024_US_House.csv,11.2,88.8
Alaska_11082022_HouseDistrict13.csv,23.3,76.7
Alaska_11082022_HouseDistrict12.csv,22.9,77.1
Minneapolis_11072023_CityCouncilWard12.csv,38.0,62.0
Minneapolis_11072017_BoardofEstimateandTaxation.csv,0.6,99.4
Minneapolis_11072017_ParkBoardAtLarge.csv,0.0,100.0
Minneapolis_11072017_Ward6CityCouncil.csv,0.0,100.0
Minneapolis_11072017_Mayor.csv,0.0,100.0
Minneapolis_11062009_PRBoardDistrict6.csv,0.0,100.0
Minneapolis_11062009_Ward10CityCouncil.csv,0.0,100.0
Minneapolis_11072023_CityCouncilWard13.csv,0.0,100.0
Minneapolis_11022021_BoardofEstimateandTaxationAtLarge.csv,0.0,100.0
Minneapolis_11072017_Ward1CityCouncil.csv,38.2,61.8
Minneapolis_11062009_PRBoardDistrict5.csv,0.0,100.0
Minneapolis_11062009_PRBoardDistrict4.csv,100.0,0.0
Minneapolis_11072017_Ward9CityCouncil.csv,0.0,100.0
Minneapolis_11072023_CityCouncilWard10.csv,0.0,100.0
Minneapolis_11062009_BoardofEstimateandTaxation.csv,0.0,100.0
Minneapolis_11072017_Ward8CityCouncil.csv,0.0,100.0
Minneapolis_11022021_Mayor.csv,0.0,100.0
Minneapolis_11062009_PRBoardDistrict1.csv,22.7,77.3
Minneapolis_11022021_ParkBoardAtLarge.csv,0.0,100.0
Minneapolis_11062009_Ward11CityCouncil.csv,11.4,88.6
Minneapolis_11052013_PRBoardDistrict6.csv,46.0,54.0
Minneapolis_11062009_PRBoardDistrict3.csv,25.9,74.1
Minneapolis_11062009_PRBoardDistrict2.csv,34.9,65.1
Minneapolis_11072017_Ward7CityCouncil.csv,0.0,100.0
Minneapolis_11022021_CityCouncilWard4.csv,25.6,74.4
Minneapolis_11062009_Ward13CityCouncil.csv,15.9,84.1
Minneapolis_11072017_Ward5CityCouncil.csv,0.0,100.0
Minneapolis_11022021_CityCouncilWard10.csv,0.0,100.0
